***************** properties *****************
"updateproportion"="1"
"operationcount"="500000"
"requestdistribution"="zipfian"
"readallfields"="true"
"tikv.pd"="10.0.0.9:2379"
"dotransactions"="true"
"readproportion"="0"
"insertproportion"="0"
"scanproportion"="0"
"recordcount"="500000"
"workload"="core"
"threadcount"="1"
**********************************************
UPDATE - Takes(s): 9.8, Count: 802, OPS: 81.7, Avg(us): 12444, Min(us): 9208, Max(us): 187632, 99th(us): 20000, 99.9th(us): 188000, 99.99th(us): 188000
UPDATE - Takes(s): 19.8, Count: 1547, OPS: 78.1, Avg(us): 12905, Min(us): 9096, Max(us): 187632, 99th(us): 24000, 99.9th(us): 50000, 99.99th(us): 188000
UPDATE - Takes(s): 29.8, Count: 2319, OPS: 77.8, Avg(us): 12912, Min(us): 7913, Max(us): 187632, 99th(us): 24000, 99.9th(us): 32000, 99.99th(us): 188000
UPDATE - Takes(s): 39.8, Count: 3070, OPS: 77.1, Avg(us): 13005, Min(us): 7913, Max(us): 187632, 99th(us): 23000, 99.9th(us): 31000, 99.99th(us): 188000
UPDATE - Takes(s): 49.8, Count: 3783, OPS: 75.9, Avg(us): 13196, Min(us): 7913, Max(us): 187632, 99th(us): 24000, 99.9th(us): 33000, 99.99th(us): 188000
UPDATE - Takes(s): 59.8, Count: 4496, OPS: 75.2, Avg(us): 13323, Min(us): 7913, Max(us): 187632, 99th(us): 24000, 99.9th(us): 33000, 99.99th(us): 188000
UPDATE - Takes(s): 69.8, Count: 5287, OPS: 75.7, Avg(us): 13218, Min(us): 7503, Max(us): 187632, 99th(us): 24000, 99.9th(us): 33000, 99.99th(us): 188000
UPDATE - Takes(s): 79.8, Count: 6074, OPS: 76.1, Avg(us): 13150, Min(us): 7503, Max(us): 187632, 99th(us): 23000, 99.9th(us): 33000, 99.99th(us): 188000
UPDATE - Takes(s): 89.8, Count: 6883, OPS: 76.6, Avg(us): 13054, Min(us): 7503, Max(us): 187632, 99th(us): 23000, 99.9th(us): 33000, 99.99th(us): 188000
UPDATE - Takes(s): 99.8, Count: 7664, OPS: 76.8, Avg(us): 13026, Min(us): 7503, Max(us): 187632, 99th(us): 23000, 99.9th(us): 33000, 99.99th(us): 188000
UPDATE - Takes(s): 109.8, Count: 8459, OPS: 77.0, Avg(us): 12982, Min(us): 7503, Max(us): 187632, 99th(us): 23000, 99.9th(us): 33000, 99.99th(us): 188000
UPDATE - Takes(s): 119.8, Count: 9266, OPS: 77.3, Avg(us): 12928, Min(us): 7503, Max(us): 187632, 99th(us): 23000, 99.9th(us): 32000, 99.99th(us): 188000
UPDATE - Takes(s): 129.8, Count: 10088, OPS: 77.7, Avg(us): 12864, Min(us): 7503, Max(us): 187632, 99th(us): 22000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 139.8, Count: 10949, OPS: 78.3, Avg(us): 12764, Min(us): 7503, Max(us): 187632, 99th(us): 22000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 149.8, Count: 11751, OPS: 78.4, Avg(us): 12742, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 159.8, Count: 12529, OPS: 78.4, Avg(us): 12748, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 169.8, Count: 13255, OPS: 78.1, Avg(us): 12803, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 179.8, Count: 13974, OPS: 77.7, Avg(us): 12858, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 189.8, Count: 14749, OPS: 77.7, Avg(us): 12860, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 199.8, Count: 15541, OPS: 77.8, Avg(us): 12847, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 209.8, Count: 16340, OPS: 77.9, Avg(us): 12830, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 219.8, Count: 17169, OPS: 78.1, Avg(us): 12791, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 229.8, Count: 17974, OPS: 78.2, Avg(us): 12774, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 239.8, Count: 18806, OPS: 78.4, Avg(us): 12739, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 249.8, Count: 19627, OPS: 78.6, Avg(us): 12715, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 259.8, Count: 20404, OPS: 78.5, Avg(us): 12720, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 50000
UPDATE - Takes(s): 269.8, Count: 21188, OPS: 78.5, Avg(us): 12721, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 31000, 99.99th(us): 50000
UPDATE - Takes(s): 279.8, Count: 22014, OPS: 78.7, Avg(us): 12696, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 30000, 99.99th(us): 50000
UPDATE - Takes(s): 289.8, Count: 22829, OPS: 78.8, Avg(us): 12680, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 30000, 99.99th(us): 50000

Got signal [interrupt] to exit.
Run finished, takes 4m59.969120154s
UPDATE - Takes(s): 299.8, Count: 23588, OPS: 78.7, Avg(us): 12695, Min(us): 7358, Max(us): 187632, 99th(us): 22000, 99.9th(us): 30000, 99.99th(us): 50000
