***************** properties *****************
"dotransactions"="true"
"readproportion"="0"
"updateproportion"="1"
"readallfields"="true"
"workload"="core"
"threadcount"="1"
"operationcount"="500000"
"scanproportion"="0"
"insertproportion"="0"
"requestdistribution"="zipfian"
"tikv.pd"="10.0.0.9:2379"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 9.8, Count: 925, OPS: 94.2, Avg(us): 10789, Min(us): 7915, Max(us): 182722, 99th(us): 18000, 99.9th(us): 183000, 99.99th(us): 183000
UPDATE - Takes(s): 19.8, Count: 1835, OPS: 92.6, Avg(us): 10877, Min(us): 6938, Max(us): 182722, 99th(us): 18000, 99.9th(us): 27000, 99.99th(us): 183000
UPDATE - Takes(s): 29.8, Count: 2761, OPS: 92.6, Avg(us): 10841, Min(us): 6938, Max(us): 182722, 99th(us): 18000, 99.9th(us): 24000, 99.99th(us): 183000
UPDATE - Takes(s): 39.8, Count: 3592, OPS: 90.2, Avg(us): 11111, Min(us): 6938, Max(us): 182722, 99th(us): 19000, 99.9th(us): 24000, 99.99th(us): 183000
UPDATE - Takes(s): 49.8, Count: 4458, OPS: 89.5, Avg(us): 11192, Min(us): 6938, Max(us): 182722, 99th(us): 19000, 99.9th(us): 24000, 99.99th(us): 183000
UPDATE - Takes(s): 59.8, Count: 5307, OPS: 88.7, Avg(us): 11283, Min(us): 6938, Max(us): 182722, 99th(us): 20000, 99.9th(us): 24000, 99.99th(us): 183000
UPDATE - Takes(s): 69.8, Count: 6246, OPS: 89.5, Avg(us): 11184, Min(us): 6938, Max(us): 182722, 99th(us): 19000, 99.9th(us): 24000, 99.99th(us): 183000
UPDATE - Takes(s): 79.8, Count: 7162, OPS: 89.7, Avg(us): 11147, Min(us): 6938, Max(us): 182722, 99th(us): 19000, 99.9th(us): 24000, 99.99th(us): 183000
UPDATE - Takes(s): 89.8, Count: 8056, OPS: 89.7, Avg(us): 11148, Min(us): 6938, Max(us): 182722, 99th(us): 20000, 99.9th(us): 25000, 99.99th(us): 183000
UPDATE - Takes(s): 99.8, Count: 9019, OPS: 90.4, Avg(us): 11065, Min(us): 6938, Max(us): 182722, 99th(us): 20000, 99.9th(us): 24000, 99.99th(us): 183000
UPDATE - Takes(s): 109.8, Count: 9959, OPS: 90.7, Avg(us): 11023, Min(us): 6938, Max(us): 182722, 99th(us): 20000, 99.9th(us): 24000, 99.99th(us): 183000
