***************** properties *****************
"tikv.pd"="10.0.0.9:2379"
"recordcount"="500000"
"operationcount"="500000"
"insertproportion"="0"
"dotransactions"="true"
"readallfields"="true"
"readproportion"="0"
"workload"="core"
"scanproportion"="0"
"threadcount"="1"
"updateproportion"="1"
"requestdistribution"="zipfian"
**********************************************
UPDATE - Takes(s): 9.8, Count: 936, OPS: 95.3, Avg(us): 10653, Min(us): 8382, Max(us): 180705, 99th(us): 17000, 99.9th(us): 181000, 99.99th(us): 181000
UPDATE - Takes(s): 19.8, Count: 1825, OPS: 92.1, Avg(us): 10937, Min(us): 7638, Max(us): 180705, 99th(us): 17000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 29.8, Count: 2759, OPS: 92.5, Avg(us): 10850, Min(us): 7638, Max(us): 180705, 99th(us): 17000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 39.8, Count: 3677, OPS: 92.3, Avg(us): 10856, Min(us): 7638, Max(us): 180705, 99th(us): 17000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 49.8, Count: 4606, OPS: 92.5, Avg(us): 10832, Min(us): 7406, Max(us): 180705, 99th(us): 17000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 59.8, Count: 5570, OPS: 93.1, Avg(us): 10750, Min(us): 7406, Max(us): 180705, 99th(us): 17000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 69.8, Count: 6474, OPS: 92.7, Avg(us): 10790, Min(us): 7406, Max(us): 180705, 99th(us): 18000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 79.8, Count: 7392, OPS: 92.6, Avg(us): 10800, Min(us): 7406, Max(us): 180705, 99th(us): 18000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 89.8, Count: 8314, OPS: 92.6, Avg(us): 10803, Min(us): 7223, Max(us): 180705, 99th(us): 17000, 99.9th(us): 26000, 99.99th(us): 181000
UPDATE - Takes(s): 99.8, Count: 9241, OPS: 92.6, Avg(us): 10799, Min(us): 7223, Max(us): 180705, 99th(us): 17000, 99.9th(us): 28000, 99.99th(us): 181000
UPDATE - Takes(s): 109.8, Count: 10207, OPS: 92.9, Avg(us): 10755, Min(us): 7223, Max(us): 180705, 99th(us): 17000, 99.9th(us): 28000, 99.99th(us): 82000
