***************** properties *****************
"tikv.pd"="10.0.0.5:2379"
"updateproportion"="1"
"requestdistribution"="uniform"
"operationcount"="500000"
"recordcount"="500000"
"scanproportion"="0"
"insertproportion"="0"
"workload"="core"
"readproportion"="0"
"readallfields"="true"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 1160, OPS: 118.0, Avg(us): 8583, Min(us): 6036, Max(us): 165778, 99th(us): 24000, 99.9th(us): 40000, 99.99th(us): 166000
UPDATE - Takes(s): 19.8, Count: 2357, OPS: 118.8, Avg(us): 8452, Min(us): 5859, Max(us): 165778, 99th(us): 21000, 99.9th(us): 31000, 99.99th(us): 166000
UPDATE - Takes(s): 29.8, Count: 3562, OPS: 119.4, Avg(us): 8388, Min(us): 5859, Max(us): 165778, 99th(us): 21000, 99.9th(us): 34000, 99.99th(us): 166000
UPDATE - Takes(s): 39.8, Count: 4762, OPS: 119.5, Avg(us): 8367, Min(us): 5833, Max(us): 165778, 99th(us): 21000, 99.9th(us): 34000, 99.99th(us): 166000
UPDATE - Takes(s): 49.8, Count: 5940, OPS: 119.2, Avg(us): 8388, Min(us): 5833, Max(us): 165778, 99th(us): 21000, 99.9th(us): 37000, 99.99th(us): 166000
UPDATE - Takes(s): 59.8, Count: 7093, OPS: 118.5, Avg(us): 8429, Min(us): 5833, Max(us): 165778, 99th(us): 21000, 99.9th(us): 37000, 99.99th(us): 166000
UPDATE - Takes(s): 69.8, Count: 8242, OPS: 118.0, Avg(us): 8463, Min(us): 5833, Max(us): 165778, 99th(us): 22000, 99.9th(us): 38000, 99.99th(us): 166000
UPDATE - Takes(s): 79.8, Count: 9409, OPS: 117.9, Avg(us): 8471, Min(us): 5833, Max(us): 165778, 99th(us): 22000, 99.9th(us): 38000, 99.99th(us): 166000
UPDATE - Takes(s): 89.8, Count: 10614, OPS: 118.2, Avg(us): 8449, Min(us): 5833, Max(us): 165778, 99th(us): 22000, 99.9th(us): 40000, 99.99th(us): 59000
UPDATE - Takes(s): 99.8, Count: 11840, OPS: 118.6, Avg(us): 8415, Min(us): 5833, Max(us): 165778, 99th(us): 22000, 99.9th(us): 40000, 99.99th(us): 59000
UPDATE - Takes(s): 109.8, Count: 13044, OPS: 118.8, Avg(us): 8402, Min(us): 5833, Max(us): 165778, 99th(us): 21000, 99.9th(us): 38000, 99.99th(us): 59000
UPDATE - Takes(s): 119.8, Count: 14260, OPS: 119.0, Avg(us): 8384, Min(us): 5833, Max(us): 165778, 99th(us): 21000, 99.9th(us): 39000, 99.99th(us): 82000
UPDATE - Takes(s): 129.8, Count: 15517, OPS: 119.5, Avg(us): 8348, Min(us): 5833, Max(us): 165778, 99th(us): 21000, 99.9th(us): 38000, 99.99th(us): 82000
UPDATE - Takes(s): 139.8, Count: 16748, OPS: 119.8, Avg(us): 8329, Min(us): 5802, Max(us): 165778, 99th(us): 21000, 99.9th(us): 38000, 99.99th(us): 82000
UPDATE - Takes(s): 149.8, Count: 17859, OPS: 119.2, Avg(us): 8369, Min(us): 5802, Max(us): 165778, 99th(us): 21000, 99.9th(us): 38000, 99.99th(us): 82000
UPDATE - Takes(s): 159.8, Count: 18962, OPS: 118.6, Avg(us): 8408, Min(us): 5802, Max(us): 165778, 99th(us): 21000, 99.9th(us): 38000, 99.99th(us): 82000
