***************** properties *****************
"readproportion"="0"
"readallfields"="true"
"recordcount"="500000"
"insertproportion"="0"
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"operationcount"="500000"
"updateproportion"="1"
"workload"="core"
"requestdistribution"="uniform"
**********************************************
UPDATE - Takes(s): 9.8, Count: 839, OPS: 85.5, Avg(us): 11904, Min(us): 8793, Max(us): 186484, 99th(us): 20000, 99.9th(us): 187000, 99.99th(us): 187000
UPDATE - Takes(s): 19.8, Count: 1674, OPS: 84.5, Avg(us): 11932, Min(us): 8600, Max(us): 186484, 99th(us): 20000, 99.9th(us): 34000, 99.99th(us): 187000
UPDATE - Takes(s): 29.8, Count: 2520, OPS: 84.5, Avg(us): 11889, Min(us): 8600, Max(us): 186484, 99th(us): 19000, 99.9th(us): 34000, 99.99th(us): 187000
UPDATE - Takes(s): 39.8, Count: 3403, OPS: 85.5, Avg(us): 11738, Min(us): 8600, Max(us): 186484, 99th(us): 19000, 99.9th(us): 34000, 99.99th(us): 187000
UPDATE - Takes(s): 49.8, Count: 4293, OPS: 86.2, Avg(us): 11630, Min(us): 8600, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 187000
UPDATE - Takes(s): 59.8, Count: 5186, OPS: 86.7, Avg(us): 11553, Min(us): 8600, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 187000
UPDATE - Takes(s): 69.8, Count: 6042, OPS: 86.5, Avg(us): 11568, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 187000
UPDATE - Takes(s): 79.8, Count: 6879, OPS: 86.2, Avg(us): 11613, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 187000
UPDATE - Takes(s): 89.8, Count: 7724, OPS: 86.0, Avg(us): 11635, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 187000
UPDATE - Takes(s): 99.8, Count: 8526, OPS: 85.4, Avg(us): 11712, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 187000
UPDATE - Takes(s): 109.8, Count: 9377, OPS: 85.4, Avg(us): 11714, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 187000
UPDATE - Takes(s): 119.8, Count: 10233, OPS: 85.4, Avg(us): 11710, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 49000
UPDATE - Takes(s): 129.8, Count: 11090, OPS: 85.4, Avg(us): 11706, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 49000
UPDATE - Takes(s): 139.8, Count: 11947, OPS: 85.4, Avg(us): 11702, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 49000
UPDATE - Takes(s): 149.8, Count: 12814, OPS: 85.5, Avg(us): 11689, Min(us): 7325, Max(us): 186484, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 49000
UPDATE - Takes(s): 159.8, Count: 13582, OPS: 85.0, Avg(us): 11764, Min(us): 7325, Max(us): 186484, 99th(us): 20000, 99.9th(us): 32000, 99.99th(us): 55000
