***************** properties *****************
"operationcount"="500000"
"dotransactions"="true"
"readproportion"="0"
"updateproportion"="1"
"readallfields"="true"
"requestdistribution"="uniform"
"threadcount"="1"
"workload"="core"
"insertproportion"="0"
"scanproportion"="0"
"recordcount"="500000"
"tikv.pd"="10.0.0.9:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 94, OPS: 9.6, Avg(us): 104631, Min(us): 8070, Max(us): 1722311, 99th(us): 1723000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 19.8, Count: 199, OPS: 10.1, Avg(us): 100056, Min(us): 7558, Max(us): 1722311, 99th(us): 331000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 29.8, Count: 323, OPS: 10.8, Avg(us): 92678, Min(us): 7006, Max(us): 1722311, 99th(us): 304000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 39.8, Count: 445, OPS: 11.2, Avg(us): 89806, Min(us): 7006, Max(us): 1722311, 99th(us): 280000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 49.8, Count: 566, OPS: 11.4, Avg(us): 88269, Min(us): 7006, Max(us): 1722311, 99th(us): 304000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 59.8, Count: 665, OPS: 11.1, Avg(us): 90198, Min(us): 7006, Max(us): 1722311, 99th(us): 304000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 69.8, Count: 781, OPS: 11.2, Avg(us): 89581, Min(us): 6570, Max(us): 1722311, 99th(us): 280000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 79.8, Count: 891, OPS: 11.2, Avg(us): 89705, Min(us): 6570, Max(us): 1722311, 99th(us): 280000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 89.8, Count: 994, OPS: 11.1, Avg(us): 90512, Min(us): 6570, Max(us): 1722311, 99th(us): 276000, 99.9th(us): 1723000, 99.99th(us): 1723000
UPDATE - Takes(s): 99.8, Count: 1095, OPS: 11.0, Avg(us): 91250, Min(us): 6570, Max(us): 1722311, 99th(us): 275000, 99.9th(us): 429000, 99.99th(us): 1723000
UPDATE - Takes(s): 109.8, Count: 1187, OPS: 10.8, Avg(us): 92593, Min(us): 6570, Max(us): 1722311, 99th(us): 276000, 99.9th(us): 429000, 99.99th(us): 1723000
