***************** properties *****************
"scanproportion"="0"
"requestdistribution"="uniform"
"dotransactions"="true"
"operationcount"="500000"
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"insertproportion"="0"
"workload"="core"
"recordcount"="500000"
"readproportion"="0"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.3, Count: 341, OPS: 36.6, Avg(us): 29144, Min(us): 6436, Max(us): 720531, 99th(us): 688000, 99.9th(us): 721000, 99.99th(us): 721000
UPDATE - Takes(s): 19.3, Count: 714, OPS: 37.0, Avg(us): 27983, Min(us): 6436, Max(us): 757107, 99th(us): 656000, 99.9th(us): 758000, 99.99th(us): 758000
UPDATE - Takes(s): 29.3, Count: 1071, OPS: 36.5, Avg(us): 27994, Min(us): 6222, Max(us): 791141, 99th(us): 680000, 99.9th(us): 758000, 99.99th(us): 792000
UPDATE - Takes(s): 39.3, Count: 1409, OPS: 35.8, Avg(us): 28371, Min(us): 6222, Max(us): 791141, 99th(us): 665000, 99.9th(us): 758000, 99.99th(us): 792000
UPDATE - Takes(s): 49.3, Count: 1797, OPS: 36.4, Avg(us): 27805, Min(us): 6161, Max(us): 791141, 99th(us): 665000, 99.9th(us): 758000, 99.99th(us): 792000
UPDATE - Takes(s): 59.3, Count: 2170, OPS: 36.6, Avg(us): 27634, Min(us): 6161, Max(us): 791141, 99th(us): 665000, 99.9th(us): 743000, 99.99th(us): 792000
UPDATE - Takes(s): 69.3, Count: 2526, OPS: 36.4, Avg(us): 27696, Min(us): 6161, Max(us): 791141, 99th(us): 665000, 99.9th(us): 743000, 99.99th(us): 792000
UPDATE - Takes(s): 79.3, Count: 2946, OPS: 37.1, Avg(us): 27139, Min(us): 6161, Max(us): 791141, 99th(us): 662000, 99.9th(us): 743000, 99.99th(us): 792000
UPDATE - Takes(s): 89.3, Count: 3352, OPS: 37.5, Avg(us): 26832, Min(us): 6161, Max(us): 791141, 99th(us): 660000, 99.9th(us): 732000, 99.99th(us): 792000
UPDATE - Takes(s): 99.3, Count: 3733, OPS: 37.6, Avg(us): 26770, Min(us): 6161, Max(us): 791141, 99th(us): 660000, 99.9th(us): 732000, 99.99th(us): 792000
UPDATE - Takes(s): 109.3, Count: 4139, OPS: 37.9, Avg(us): 26559, Min(us): 6161, Max(us): 791141, 99th(us): 658000, 99.9th(us): 729000, 99.99th(us): 792000
UPDATE - Takes(s): 119.3, Count: 4497, OPS: 37.7, Avg(us): 26667, Min(us): 6161, Max(us): 791141, 99th(us): 658000, 99.9th(us): 732000, 99.99th(us): 758000
UPDATE - Takes(s): 129.3, Count: 4869, OPS: 37.7, Avg(us): 26682, Min(us): 6161, Max(us): 791141, 99th(us): 660000, 99.9th(us): 743000, 99.99th(us): 792000
UPDATE - Takes(s): 139.3, Count: 5291, OPS: 38.0, Avg(us): 26444, Min(us): 6018, Max(us): 791141, 99th(us): 658000, 99.9th(us): 738000, 99.99th(us): 792000
UPDATE - Takes(s): 149.3, Count: 5772, OPS: 38.7, Avg(us): 25972, Min(us): 6018, Max(us): 791141, 99th(us): 657000, 99.9th(us): 743000, 99.99th(us): 792000
UPDATE - Takes(s): 159.3, Count: 6209, OPS: 39.0, Avg(us): 25753, Min(us): 5775, Max(us): 791141, 99th(us): 654000, 99.9th(us): 738000, 99.99th(us): 792000
UPDATE - Takes(s): 169.3, Count: 6622, OPS: 39.1, Avg(us): 25655, Min(us): 5775, Max(us): 791141, 99th(us): 646000, 99.9th(us): 738000, 99.99th(us): 760000
UPDATE - Takes(s): 179.3, Count: 7000, OPS: 39.0, Avg(us): 25699, Min(us): 5775, Max(us): 791141, 99th(us): 653000, 99.9th(us): 741000, 99.99th(us): 792000
UPDATE - Takes(s): 189.3, Count: 7397, OPS: 39.1, Avg(us): 25670, Min(us): 5775, Max(us): 791141, 99th(us): 653000, 99.9th(us): 741000, 99.99th(us): 792000
UPDATE - Takes(s): 199.3, Count: 7812, OPS: 39.2, Avg(us): 25585, Min(us): 5775, Max(us): 791141, 99th(us): 646000, 99.9th(us): 741000, 99.99th(us): 792000
UPDATE - Takes(s): 209.3, Count: 8204, OPS: 39.2, Avg(us): 25581, Min(us): 5775, Max(us): 791141, 99th(us): 646000, 99.9th(us): 738000, 99.99th(us): 792000
UPDATE - Takes(s): 219.3, Count: 8624, OPS: 39.3, Avg(us): 25494, Min(us): 5745, Max(us): 791141, 99th(us): 646000, 99.9th(us): 738000, 99.99th(us): 792000
UPDATE - Takes(s): 229.3, Count: 9140, OPS: 39.9, Avg(us): 25147, Min(us): 5745, Max(us): 791141, 99th(us): 639000, 99.9th(us): 732000, 99.99th(us): 792000
UPDATE - Takes(s): 239.3, Count: 9652, OPS: 40.3, Avg(us): 24849, Min(us): 5745, Max(us): 791141, 99th(us): 637000, 99.9th(us): 732000, 99.99th(us): 792000
UPDATE - Takes(s): 249.3, Count: 10137, OPS: 40.7, Avg(us): 24646, Min(us): 5617, Max(us): 791141, 99th(us): 634000, 99.9th(us): 732000, 99.99th(us): 765000
UPDATE - Takes(s): 259.3, Count: 10710, OPS: 41.3, Avg(us): 24260, Min(us): 5617, Max(us): 791141, 99th(us): 628000, 99.9th(us): 732000, 99.99th(us): 765000
UPDATE - Takes(s): 269.3, Count: 11186, OPS: 41.5, Avg(us): 24122, Min(us): 5617, Max(us): 791141, 99th(us): 627000, 99.9th(us): 732000, 99.99th(us): 765000
