***************** properties *****************
"scanproportion"="0"
"requestdistribution"="uniform"
"operationcount"="500000"
"readallfields"="true"
"workload"="core"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"recordcount"="500000"
"readproportion"="0"
"insertproportion"="0"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.8, Count: 351, OPS: 35.7, Avg(us): 28470, Min(us): 5473, Max(us): 681078, 99th(us): 629000, 99.9th(us): 682000, 99.99th(us): 682000
UPDATE - Takes(s): 19.8, Count: 713, OPS: 36.0, Avg(us): 28026, Min(us): 5437, Max(us): 730661, 99th(us): 611000, 99.9th(us): 731000, 99.99th(us): 731000
UPDATE - Takes(s): 29.8, Count: 1080, OPS: 36.2, Avg(us): 27757, Min(us): 5437, Max(us): 751089, 99th(us): 628000, 99.9th(us): 731000, 99.99th(us): 752000
UPDATE - Takes(s): 39.8, Count: 1410, OPS: 35.4, Avg(us): 28349, Min(us): 5437, Max(us): 829519, 99th(us): 628000, 99.9th(us): 752000, 99.99th(us): 830000
UPDATE - Takes(s): 49.8, Count: 1760, OPS: 35.3, Avg(us): 28392, Min(us): 5437, Max(us): 829519, 99th(us): 628000, 99.9th(us): 752000, 99.99th(us): 830000
UPDATE - Takes(s): 59.8, Count: 2135, OPS: 35.7, Avg(us): 28086, Min(us): 5437, Max(us): 829519, 99th(us): 628000, 99.9th(us): 731000, 99.99th(us): 830000
UPDATE - Takes(s): 69.8, Count: 2528, OPS: 36.2, Avg(us): 27670, Min(us): 5437, Max(us): 829519, 99th(us): 627000, 99.9th(us): 731000, 99.99th(us): 830000
UPDATE - Takes(s): 79.8, Count: 2939, OPS: 36.8, Avg(us): 27200, Min(us): 5437, Max(us): 829519, 99th(us): 627000, 99.9th(us): 731000, 99.99th(us): 830000
UPDATE - Takes(s): 89.8, Count: 3316, OPS: 36.9, Avg(us): 27124, Min(us): 5437, Max(us): 829519, 99th(us): 623000, 99.9th(us): 731000, 99.99th(us): 830000
UPDATE - Takes(s): 99.8, Count: 3695, OPS: 37.0, Avg(us): 27046, Min(us): 5437, Max(us): 829519, 99th(us): 621000, 99.9th(us): 731000, 99.99th(us): 830000
UPDATE - Takes(s): 109.8, Count: 4069, OPS: 37.1, Avg(us): 27016, Min(us): 5437, Max(us): 829519, 99th(us): 623000, 99.9th(us): 727000, 99.99th(us): 830000
