***************** properties *****************
"insertproportion"="0"
"recordcount"="500000"
"readproportion"="0"
"operationcount"="500000"
"scanproportion"="0"
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"updateproportion"="1"
"requestdistribution"="uniform"
"workload"="core"
**********************************************
UPDATE - Takes(s): 6.7, Count: 9, OPS: 1.3, Avg(us): 12154203, Min(us): 9503, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 16.7, Count: 20, OPS: 1.2, Avg(us): 5974566, Min(us): 8071, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 26.7, Count: 30, OPS: 1.1, Avg(us): 4306152, Min(us): 8071, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 36.7, Count: 43, OPS: 1.2, Avg(us): 3249641, Min(us): 8071, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 46.7, Count: 56, OPS: 1.2, Avg(us): 2669002, Min(us): 8059, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 56.7, Count: 66, OPS: 1.2, Avg(us): 2417607, Min(us): 8059, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 66.7, Count: 76, OPS: 1.1, Avg(us): 2232401, Min(us): 7819, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 76.7, Count: 84, OPS: 1.1, Avg(us): 2139759, Min(us): 7819, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 86.7, Count: 94, OPS: 1.1, Avg(us): 2015290, Min(us): 7819, Max(us): 103290713, 99th(us): 103291000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 96.7, Count: 106, OPS: 1.1, Avg(us): 1886446, Min(us): 7819, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 106.7, Count: 113, OPS: 1.1, Avg(us): 1848044, Min(us): 7819, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 116.7, Count: 123, OPS: 1.1, Avg(us): 1786310, Min(us): 7819, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 126.7, Count: 131, OPS: 1.0, Avg(us): 1754117, Min(us): 7819, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 136.7, Count: 140, OPS: 1.0, Avg(us): 1710538, Min(us): 7755, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 146.7, Count: 149, OPS: 1.0, Avg(us): 1674900, Min(us): 7755, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 156.7, Count: 160, OPS: 1.0, Avg(us): 1622827, Min(us): 7751, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 166.7, Count: 170, OPS: 1.0, Avg(us): 1586742, Min(us): 7751, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 176.7, Count: 181, OPS: 1.0, Avg(us): 1543907, Min(us): 7751, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 186.7, Count: 193, OPS: 1.0, Avg(us): 1498205, Min(us): 7622, Max(us): 103290713, 99th(us): 1614000, 99.9th(us): 103291000, 99.99th(us): 103291000
UPDATE - Takes(s): 196.7, Count: 204, OPS: 1.0, Avg(us): 1465004, Min(us): 7622, Max(us): 103290713, 99th(us): 1613000, 99.9th(us): 103291000, 99.99th(us): 103291000
