***************** properties *****************
"readproportion"="0"
"recordcount"="500000"
"tikv.pd"="10.0.0.5:2379"
"insertproportion"="0"
"readallfields"="true"
"scanproportion"="0"
"requestdistribution"="uniform"
"updateproportion"="1"
"operationcount"="500000"
"dotransactions"="true"
"workload"="core"
**********************************************
UPDATE - Takes(s): 5.7, Count: 5, OPS: 0.9, Avg(us): 21985154, Min(us): 1209995, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 15.7, Count: 11, OPS: 0.7, Avg(us): 10763213, Min(us): 1209201, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 25.7, Count: 20, OPS: 0.8, Avg(us): 6484402, Min(us): 1208770, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 35.7, Count: 27, OPS: 0.8, Avg(us): 5146986, Min(us): 1208770, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 45.7, Count: 35, OPS: 0.8, Avg(us): 4270395, Min(us): 1208770, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 55.7, Count: 43, OPS: 0.8, Avg(us): 3719645, Min(us): 1208770, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 65.7, Count: 50, OPS: 0.8, Avg(us): 3376485, Min(us): 1208770, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 75.7, Count: 58, OPS: 0.8, Avg(us): 3098474, Min(us): 1208770, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 85.7, Count: 65, OPS: 0.8, Avg(us): 2901138, Min(us): 1208008, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 95.7, Count: 73, OPS: 0.8, Avg(us): 2732449, Min(us): 1208008, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
UPDATE - Takes(s): 105.7, Count: 81, OPS: 0.8, Avg(us): 2592074, Min(us): 1208008, Max(us): 104282298, 99th(us): 104283000, 99.9th(us): 104283000, 99.99th(us): 104283000
