***************** properties *****************
"dotransactions"="true"
"readallfields"="true"
"threadcount"="1"
"readproportion"="0"
"operationcount"="500000"
"workload"="core"
"updateproportion"="1"
"tikv.pd"="10.0.0.9:2379"
"requestdistribution"="uniform"
"scanproportion"="0"
"insertproportion"="0"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 9.7, Count: 778, OPS: 80.0, Avg(us): 12827, Min(us): 7102, Max(us): 270185, 99th(us): 63000, 99.9th(us): 271000, 99.99th(us): 271000
UPDATE - Takes(s): 19.7, Count: 1574, OPS: 79.8, Avg(us): 12681, Min(us): 7102, Max(us): 270185, 99th(us): 60000, 99.9th(us): 210000, 99.99th(us): 271000
UPDATE - Takes(s): 29.7, Count: 2353, OPS: 79.1, Avg(us): 12720, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 76000, 99.99th(us): 271000
UPDATE - Takes(s): 39.7, Count: 3121, OPS: 78.6, Avg(us): 12789, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 72000, 99.99th(us): 271000
UPDATE - Takes(s): 49.7, Count: 3933, OPS: 79.1, Avg(us): 12686, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 75000, 99.99th(us): 271000
UPDATE - Takes(s): 59.7, Count: 4721, OPS: 79.0, Avg(us): 12682, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 73000, 99.99th(us): 271000
UPDATE - Takes(s): 69.7, Count: 5498, OPS: 78.8, Avg(us): 12704, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 73000, 99.99th(us): 271000
UPDATE - Takes(s): 79.7, Count: 6278, OPS: 78.7, Avg(us): 12717, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 75000, 99.99th(us): 271000
UPDATE - Takes(s): 89.7, Count: 7054, OPS: 78.6, Avg(us): 12731, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 75000, 99.99th(us): 271000
UPDATE - Takes(s): 99.7, Count: 7806, OPS: 78.3, Avg(us): 12784, Min(us): 6835, Max(us): 270185, 99th(us): 59000, 99.9th(us): 76000, 99.99th(us): 271000
UPDATE - Takes(s): 109.7, Count: 8610, OPS: 78.5, Avg(us): 12750, Min(us): 6835, Max(us): 270185, 99th(us): 58000, 99.9th(us): 76000, 99.99th(us): 271000
