***************** properties *****************
"readallfields"="true"
"readproportion"="0"
"insertproportion"="0"
"threadcount"="1"
"workload"="core"
"scanproportion"="0"
"requestdistribution"="uniform"
"tikv.pd"="10.0.0.9:2379"
"recordcount"="500000"
"operationcount"="500000"
"updateproportion"="1"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 903, OPS: 92.0, Avg(us): 11046, Min(us): 7467, Max(us): 366059, 99th(us): 18000, 99.9th(us): 367000, 99.99th(us): 367000
UPDATE - Takes(s): 19.8, Count: 1894, OPS: 95.6, Avg(us): 10533, Min(us): 6337, Max(us): 366059, 99th(us): 20000, 99.9th(us): 204000, 99.99th(us): 367000
UPDATE - Takes(s): 29.8, Count: 2891, OPS: 97.0, Avg(us): 10353, Min(us): 6337, Max(us): 366059, 99th(us): 18000, 99.9th(us): 183000, 99.99th(us): 367000
UPDATE - Takes(s): 39.8, Count: 3888, OPS: 97.6, Avg(us): 10263, Min(us): 6337, Max(us): 366059, 99th(us): 18000, 99.9th(us): 48000, 99.99th(us): 367000
UPDATE - Takes(s): 49.8, Count: 4855, OPS: 97.5, Avg(us): 10274, Min(us): 6337, Max(us): 366059, 99th(us): 19000, 99.9th(us): 39000, 99.99th(us): 367000
UPDATE - Takes(s): 59.8, Count: 5847, OPS: 97.7, Avg(us): 10238, Min(us): 6337, Max(us): 366059, 99th(us): 18000, 99.9th(us): 38000, 99.99th(us): 367000
UPDATE - Takes(s): 69.8, Count: 6834, OPS: 97.9, Avg(us): 10219, Min(us): 6200, Max(us): 366059, 99th(us): 18000, 99.9th(us): 35000, 99.99th(us): 367000
UPDATE - Takes(s): 79.8, Count: 7788, OPS: 97.6, Avg(us): 10248, Min(us): 6200, Max(us): 366059, 99th(us): 18000, 99.9th(us): 35000, 99.99th(us): 367000
UPDATE - Takes(s): 89.8, Count: 8785, OPS: 97.8, Avg(us): 10221, Min(us): 6200, Max(us): 366059, 99th(us): 18000, 99.9th(us): 35000, 99.99th(us): 367000
UPDATE - Takes(s): 99.8, Count: 9771, OPS: 97.9, Avg(us): 10211, Min(us): 6200, Max(us): 366059, 99th(us): 18000, 99.9th(us): 34000, 99.99th(us): 367000
UPDATE - Takes(s): 109.8, Count: 10751, OPS: 97.9, Avg(us): 10208, Min(us): 6200, Max(us): 366059, 99th(us): 18000, 99.9th(us): 33000, 99.99th(us): 204000
UPDATE - Takes(s): 119.8, Count: 11744, OPS: 98.0, Avg(us): 10193, Min(us): 6200, Max(us): 366059, 99th(us): 18000, 99.9th(us): 33000, 99.99th(us): 204000
UPDATE - Takes(s): 129.8, Count: 12336, OPS: 95.0, Avg(us): 10191, Min(us): 6200, Max(us): 366059, 99th(us): 18000, 99.9th(us): 32000, 99.99th(us): 204000
