***************** properties *****************
"insertproportion"="0"
"dotransactions"="true"
"threadcount"="1"
"updateproportion"="1"
"operationcount"="500000"
"workload"="core"
"requestdistribution"="uniform"
"recordcount"="500000"
"readproportion"="0"
"scanproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"readallfields"="true"
**********************************************
UPDATE - Takes(s): 9.7, Count: 920, OPS: 94.4, Avg(us): 10833, Min(us): 6110, Max(us): 255871, 99th(us): 18000, 99.9th(us): 256000, 99.99th(us): 256000
UPDATE - Takes(s): 19.7, Count: 1882, OPS: 95.3, Avg(us): 10596, Min(us): 6006, Max(us): 255871, 99th(us): 18000, 99.9th(us): 214000, 99.99th(us): 256000
UPDATE - Takes(s): 29.7, Count: 2835, OPS: 95.3, Avg(us): 10555, Min(us): 6006, Max(us): 255871, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 256000
UPDATE - Takes(s): 39.7, Count: 3779, OPS: 95.1, Avg(us): 10558, Min(us): 6006, Max(us): 255871, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 256000
UPDATE - Takes(s): 49.7, Count: 4702, OPS: 94.5, Avg(us): 10606, Min(us): 6006, Max(us): 255871, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 256000
UPDATE - Takes(s): 59.7, Count: 5680, OPS: 95.1, Avg(us): 10537, Min(us): 6006, Max(us): 255871, 99th(us): 18000, 99.9th(us): 29000, 99.99th(us): 256000
UPDATE - Takes(s): 69.7, Count: 6639, OPS: 95.2, Avg(us): 10517, Min(us): 6006, Max(us): 255871, 99th(us): 18000, 99.9th(us): 29000, 99.99th(us): 256000
UPDATE - Takes(s): 79.7, Count: 7620, OPS: 95.6, Avg(us): 10472, Min(us): 5975, Max(us): 255871, 99th(us): 18000, 99.9th(us): 27000, 99.99th(us): 256000
UPDATE - Takes(s): 89.7, Count: 8434, OPS: 94.0, Avg(us): 10645, Min(us): 5975, Max(us): 255871, 99th(us): 20000, 99.9th(us): 29000, 99.99th(us): 256000
UPDATE - Takes(s): 99.7, Count: 9365, OPS: 93.9, Avg(us): 10652, Min(us): 5975, Max(us): 255871, 99th(us): 21000, 99.9th(us): 29000, 99.99th(us): 256000
UPDATE - Takes(s): 109.7, Count: 10322, OPS: 94.1, Avg(us): 10631, Min(us): 5975, Max(us): 255871, 99th(us): 20000, 99.9th(us): 28000, 99.99th(us): 214000
UPDATE - Takes(s): 119.7, Count: 11303, OPS: 94.4, Avg(us): 10591, Min(us): 5975, Max(us): 255871, 99th(us): 20000, 99.9th(us): 28000, 99.99th(us): 220000
UPDATE - Takes(s): 129.7, Count: 12345, OPS: 95.1, Avg(us): 10505, Min(us): 5975, Max(us): 255871, 99th(us): 20000, 99.9th(us): 28000, 99.99th(us): 220000
UPDATE - Takes(s): 139.7, Count: 13348, OPS: 95.5, Avg(us): 10463, Min(us): 5975, Max(us): 255871, 99th(us): 20000, 99.9th(us): 28000, 99.99th(us): 220000
UPDATE - Takes(s): 149.7, Count: 14369, OPS: 96.0, Avg(us): 10413, Min(us): 5918, Max(us): 255871, 99th(us): 20000, 99.9th(us): 28000, 99.99th(us): 220000
