***************** properties *****************
"updateproportion"="1"
"readallfields"="true"
"tikv.pd"="10.0.0.9:2379"
"requestdistribution"="uniform"
"readproportion"="0"
"dotransactions"="true"
"workload"="core"
"recordcount"="500000"
"threadcount"="1"
"insertproportion"="0"
"scanproportion"="0"
"operationcount"="500000"
**********************************************
UPDATE - Takes(s): 9.8, Count: 862, OPS: 88.0, Avg(us): 11564, Min(us): 8454, Max(us): 202884, 99th(us): 20000, 99.9th(us): 203000, 99.99th(us): 203000
UPDATE - Takes(s): 19.8, Count: 1752, OPS: 88.5, Avg(us): 11384, Min(us): 8454, Max(us): 202884, 99th(us): 19000, 99.9th(us): 25000, 99.99th(us): 203000
UPDATE - Takes(s): 29.8, Count: 2675, OPS: 89.8, Avg(us): 11190, Min(us): 8454, Max(us): 202884, 99th(us): 18000, 99.9th(us): 25000, 99.99th(us): 203000
UPDATE - Takes(s): 39.8, Count: 3569, OPS: 89.7, Avg(us): 11181, Min(us): 6746, Max(us): 238363, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 239000
UPDATE - Takes(s): 49.8, Count: 4496, OPS: 90.3, Avg(us): 11096, Min(us): 6698, Max(us): 238363, 99th(us): 18000, 99.9th(us): 27000, 99.99th(us): 239000
UPDATE - Takes(s): 59.8, Count: 5439, OPS: 91.0, Avg(us): 11006, Min(us): 6366, Max(us): 238363, 99th(us): 17000, 99.9th(us): 27000, 99.99th(us): 239000
UPDATE - Takes(s): 69.8, Count: 6386, OPS: 91.5, Avg(us): 10935, Min(us): 6366, Max(us): 238363, 99th(us): 17000, 99.9th(us): 25000, 99.99th(us): 239000
UPDATE - Takes(s): 79.8, Count: 7298, OPS: 91.5, Avg(us): 10936, Min(us): 6366, Max(us): 238363, 99th(us): 17000, 99.9th(us): 25000, 99.99th(us): 239000
UPDATE - Takes(s): 89.8, Count: 8206, OPS: 91.4, Avg(us): 10942, Min(us): 6366, Max(us): 238363, 99th(us): 17000, 99.9th(us): 25000, 99.99th(us): 239000
UPDATE - Takes(s): 99.8, Count: 9127, OPS: 91.5, Avg(us): 10930, Min(us): 6365, Max(us): 238363, 99th(us): 17000, 99.9th(us): 25000, 99.99th(us): 239000
UPDATE - Takes(s): 109.8, Count: 10063, OPS: 91.7, Avg(us): 10905, Min(us): 6365, Max(us): 238363, 99th(us): 17000, 99.9th(us): 25000, 99.99th(us): 203000
