***************** properties *****************
"dotransactions"="true"
"threadcount"="1"
"operationcount"="500000"
"recordcount"="500000"
"requestdistribution"="uniform"
"readallfields"="true"
"workload"="core"
"tikv.pd"="10.0.0.9:2379"
"insertproportion"="0"
"updateproportion"="1"
"readproportion"="0"
"scanproportion"="0"
**********************************************
UPDATE - Takes(s): 9.8, Count: 874, OPS: 88.9, Avg(us): 11416, Min(us): 6290, Max(us): 282907, 99th(us): 22000, 99.9th(us): 283000, 99.99th(us): 283000
UPDATE - Takes(s): 19.8, Count: 1838, OPS: 92.7, Avg(us): 10851, Min(us): 6290, Max(us): 282907, 99th(us): 20000, 99.9th(us): 40000, 99.99th(us): 168000
UPDATE - Takes(s): 29.8, Count: 2820, OPS: 94.5, Avg(us): 10612, Min(us): 6290, Max(us): 282907, 99th(us): 20000, 99.9th(us): 40000, 99.99th(us): 283000
UPDATE - Takes(s): 39.8, Count: 3845, OPS: 96.5, Avg(us): 10377, Min(us): 6290, Max(us): 282907, 99th(us): 19000, 99.9th(us): 34000, 99.99th(us): 283000
UPDATE - Takes(s): 49.8, Count: 4842, OPS: 97.2, Avg(us): 10301, Min(us): 6290, Max(us): 282907, 99th(us): 19000, 99.9th(us): 34000, 99.99th(us): 283000
UPDATE - Takes(s): 59.8, Count: 5847, OPS: 97.7, Avg(us): 10236, Min(us): 6290, Max(us): 282907, 99th(us): 19000, 99.9th(us): 34000, 99.99th(us): 283000
UPDATE - Takes(s): 69.8, Count: 6549, OPS: 93.8, Avg(us): 10659, Min(us): 6290, Max(us): 282907, 99th(us): 36000, 99.9th(us): 53000, 99.99th(us): 283000
UPDATE - Takes(s): 79.8, Count: 6969, OPS: 87.3, Avg(us): 11451, Min(us): 6290, Max(us): 282907, 99th(us): 40000, 99.9th(us): 55000, 99.99th(us): 283000
UPDATE - Takes(s): 89.8, Count: 7760, OPS: 86.4, Avg(us): 11571, Min(us): 6290, Max(us): 282907, 99th(us): 40000, 99.9th(us): 55000, 99.99th(us): 283000
UPDATE - Takes(s): 99.8, Count: 8681, OPS: 87.0, Avg(us): 11494, Min(us): 6290, Max(us): 282907, 99th(us): 39000, 99.9th(us): 55000, 99.99th(us): 283000
UPDATE - Takes(s): 109.8, Count: 9504, OPS: 86.5, Avg(us): 11547, Min(us): 6290, Max(us): 282907, 99th(us): 39000, 99.9th(us): 55000, 99.99th(us): 168000
