***************** properties *****************
"scanproportion"="0"
"threadcount"="1"
"insertproportion"="0"
"requestdistribution"="uniform"
"recordcount"="500000"
"operationcount"="500000"
"workload"="core"
"readallfields"="true"
"readproportion"="0"
"updateproportion"="1"
"tikv.pd"="10.0.0.9:2379"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 876, OPS: 89.8, Avg(us): 11384, Min(us): 6492, Max(us): 248308, 99th(us): 23000, 99.9th(us): 249000, 99.99th(us): 249000
UPDATE - Takes(s): 19.8, Count: 1804, OPS: 91.3, Avg(us): 11057, Min(us): 6432, Max(us): 248308, 99th(us): 24000, 99.9th(us): 241000, 99.99th(us): 249000
UPDATE - Takes(s): 29.8, Count: 2803, OPS: 94.2, Avg(us): 10677, Min(us): 6200, Max(us): 248308, 99th(us): 22000, 99.9th(us): 38000, 99.99th(us): 249000
UPDATE - Takes(s): 39.8, Count: 3733, OPS: 93.9, Avg(us): 10687, Min(us): 6176, Max(us): 248308, 99th(us): 22000, 99.9th(us): 35000, 99.99th(us): 249000
UPDATE - Takes(s): 49.8, Count: 4734, OPS: 95.1, Avg(us): 10536, Min(us): 6043, Max(us): 248308, 99th(us): 21000, 99.9th(us): 34000, 99.99th(us): 249000
UPDATE - Takes(s): 59.8, Count: 5660, OPS: 94.7, Avg(us): 10575, Min(us): 6043, Max(us): 248308, 99th(us): 23000, 99.9th(us): 53000, 99.99th(us): 249000
UPDATE - Takes(s): 69.8, Count: 6147, OPS: 88.1, Avg(us): 11358, Min(us): 6043, Max(us): 248308, 99th(us): 40000, 99.9th(us): 57000, 99.99th(us): 249000
UPDATE - Takes(s): 79.8, Count: 6726, OPS: 84.3, Avg(us): 11867, Min(us): 6043, Max(us): 248308, 99th(us): 45000, 99.9th(us): 57000, 99.99th(us): 249000
UPDATE - Takes(s): 89.8, Count: 7703, OPS: 85.8, Avg(us): 11657, Min(us): 6043, Max(us): 248308, 99th(us): 42000, 99.9th(us): 56000, 99.99th(us): 249000
UPDATE - Takes(s): 99.8, Count: 8603, OPS: 86.2, Avg(us): 11597, Min(us): 6043, Max(us): 248308, 99th(us): 41000, 99.9th(us): 56000, 99.99th(us): 249000
UPDATE - Takes(s): 109.8, Count: 9575, OPS: 87.2, Avg(us): 11462, Min(us): 6043, Max(us): 248308, 99th(us): 40000, 99.9th(us): 56000, 99.99th(us): 249000
UPDATE - Takes(s): 119.8, Count: 10578, OPS: 88.3, Avg(us): 11318, Min(us): 6043, Max(us): 248308, 99th(us): 40000, 99.9th(us): 56000, 99.99th(us): 241000
