***************** properties *****************
"requestdistribution"="zipfian"
"scanproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"workload"="core"
"readallfields"="true"
"threadcount"="1"
"readproportion"="0"
"recordcount"="500000"
"dotransactions"="true"
"updateproportion"="1"
"insertproportion"="0"
"operationcount"="500000"
**********************************************
UPDATE - Takes(s): 9.8, Count: 933, OPS: 94.8, Avg(us): 10686, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 162000, 99.99th(us): 162000
UPDATE - Takes(s): 19.8, Count: 1898, OPS: 95.7, Avg(us): 10512, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 27000, 99.99th(us): 162000
UPDATE - Takes(s): 29.8, Count: 2879, OPS: 96.5, Avg(us): 10398, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 162000
UPDATE - Takes(s): 39.8, Count: 3857, OPS: 96.8, Avg(us): 10348, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 27000, 99.99th(us): 162000
UPDATE - Takes(s): 49.8, Count: 4833, OPS: 97.0, Avg(us): 10323, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 27000, 99.99th(us): 162000
UPDATE - Takes(s): 59.8, Count: 5822, OPS: 97.3, Avg(us): 10283, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 23000, 99.99th(us): 162000
UPDATE - Takes(s): 69.8, Count: 6804, OPS: 97.4, Avg(us): 10267, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 23000, 99.99th(us): 162000
UPDATE - Takes(s): 79.8, Count: 7784, OPS: 97.5, Avg(us): 10256, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 24000, 99.99th(us): 162000
UPDATE - Takes(s): 89.8, Count: 8780, OPS: 97.7, Avg(us): 10229, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 24000, 99.99th(us): 162000
UPDATE - Takes(s): 99.8, Count: 9753, OPS: 97.7, Avg(us): 10232, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 23000, 99.99th(us): 162000
UPDATE - Takes(s): 109.8, Count: 10728, OPS: 97.7, Avg(us): 10232, Min(us): 6590, Max(us): 161166, 99th(us): 17000, 99.9th(us): 23000, 99.99th(us): 93000
