Adding shard node URL: jdbc:postgresql://10.0.0.30:26257/ycsb?sslmode=disable
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 900252
[OVERALL], Throughput(ops/sec), 0.9464016741978912
[TOTAL_GCS_Copy], Count, 0
[TOTAL_GC_TIME_Copy], Time(ms), 0
[TOTAL_GC_TIME_%_Copy], Time(%), 0.0
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 330.0
[CLEANUP], MinLatency(us), 330
[CLEANUP], MaxLatency(us), 330
[CLEANUP], 99thPercentileLatency(us), 330
[CLEANUP], 99.9PercentileLatency(us), 330
[UPDATE], Operations, 852
[UPDATE], AverageLatency(us), 1053808.9765258215
[UPDATE], MinLatency(us), 801792
[UPDATE], MaxLatency(us), 5640191
[UPDATE], 99thPercentileLatency(us), 1451007
[UPDATE], 99.9PercentileLatency(us), 2813951
[UPDATE], Return=OK, 852
