***************** properties *****************
"readallfields"="true"
"readproportion"="0"
"requestdistribution"="uniform"
"insertproportion"="0"
"operationcount"="500000"
"dotransactions"="true"
"scanproportion"="0"
"recordcount"="500000"
"tikv.pd"="10.0.0.5:2379"
"workload"="core"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4783, OPS: 489.0, Avg(us): 2075, Min(us): 1083, Max(us): 221439, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 222000
UPDATE - Takes(s): 19.8, Count: 10002, OPS: 505.7, Avg(us): 1985, Min(us): 1034, Max(us): 221439, 99th(us): 13000, 99.9th(us): 25000, 99.99th(us): 221000
UPDATE - Takes(s): 29.8, Count: 12737, OPS: 427.7, Avg(us): 2319, Min(us): 1034, Max(us): 1038668, 99th(us): 13000, 99.9th(us): 32000, 99.99th(us): 886000
UPDATE - Takes(s): 39.8, Count: 13449, OPS: 338.1, Avg(us): 2945, Min(us): 1034, Max(us): 1038668, 99th(us): 14000, 99.9th(us): 820000, 99.99th(us): 924000
UPDATE - Takes(s): 49.8, Count: 14211, OPS: 285.5, Avg(us): 3490, Min(us): 1034, Max(us): 1038668, 99th(us): 15000, 99.9th(us): 868000, 99.99th(us): 958000
UPDATE - Takes(s): 59.8, Count: 15040, OPS: 251.6, Avg(us): 3959, Min(us): 1034, Max(us): 1038668, 99th(us): 15000, 99.9th(us): 875000, 99.99th(us): 961000
UPDATE - Takes(s): 69.8, Count: 15901, OPS: 227.9, Avg(us): 4371, Min(us): 1034, Max(us): 1038668, 99th(us): 15000, 99.9th(us): 881000, 99.99th(us): 961000
UPDATE - Takes(s): 79.8, Count: 16703, OPS: 209.4, Avg(us): 4763, Min(us): 1034, Max(us): 1038668, 99th(us): 16000, 99.9th(us): 891000, 99.99th(us): 961000
UPDATE - Takes(s): 89.8, Count: 17583, OPS: 195.8, Avg(us): 5092, Min(us): 1034, Max(us): 1038668, 99th(us): 16000, 99.9th(us): 896000, 99.99th(us): 961000
UPDATE - Takes(s): 99.8, Count: 18389, OPS: 184.3, Avg(us): 5413, Min(us): 1034, Max(us): 1038668, 99th(us): 17000, 99.9th(us): 895000, 99.99th(us): 961000
UPDATE - Takes(s): 109.8, Count: 19354, OPS: 176.3, Avg(us): 5669, Min(us): 1034, Max(us): 1038668, 99th(us): 17000, 99.9th(us): 895000, 99.99th(us): 961000
UPDATE - Takes(s): 119.8, Count: 21546, OPS: 179.9, Avg(us): 5547, Min(us): 1034, Max(us): 1038668, 99th(us): 18000, 99.9th(us): 891000, 99.99th(us): 958000
UPDATE - Takes(s): 129.8, Count: 22730, OPS: 175.1, Avg(us): 5700, Min(us): 1034, Max(us): 1038668, 99th(us): 18000, 99.9th(us): 891000, 99.99th(us): 958000
UPDATE - Takes(s): 139.8, Count: 23747, OPS: 169.9, Avg(us): 5870, Min(us): 1034, Max(us): 1038668, 99th(us): 19000, 99.9th(us): 887000, 99.99th(us): 958000
UPDATE - Takes(s): 149.8, Count: 24767, OPS: 165.4, Avg(us): 6038, Min(us): 1034, Max(us): 1758283, 99th(us): 19000, 99.9th(us): 891000, 99.99th(us): 961000
UPDATE - Takes(s): 159.8, Count: 25970, OPS: 162.5, Avg(us): 6142, Min(us): 1034, Max(us): 1758283, 99th(us): 20000, 99.9th(us): 891000, 99.99th(us): 961000
