***************** properties *****************
"dotransactions"="true"
"readproportion"="0"
"workload"="core"
"tikv.pd"="10.0.0.5:2379"
"requestdistribution"="uniform"
"readallfields"="true"
"scanproportion"="0"
"updateproportion"="1"
"operationcount"="500000"
"insertproportion"="0"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4989, OPS: 506.6, Avg(us): 1988, Min(us): 918, Max(us): 174492, 99th(us): 14000, 99.9th(us): 26000, 99.99th(us): 175000
UPDATE - Takes(s): 19.8, Count: 10668, OPS: 537.5, Avg(us): 1859, Min(us): 918, Max(us): 174492, 99th(us): 13000, 99.9th(us): 25000, 99.99th(us): 153000
UPDATE - Takes(s): 29.8, Count: 15354, OPS: 514.4, Avg(us): 1936, Min(us): 918, Max(us): 174492, 99th(us): 13000, 99.9th(us): 25000, 99.99th(us): 153000
UPDATE - Takes(s): 39.8, Count: 20930, OPS: 525.2, Avg(us): 1895, Min(us): 918, Max(us): 174492, 99th(us): 13000, 99.9th(us): 26000, 99.99th(us): 55000
UPDATE - Takes(s): 49.8, Count: 26963, OPS: 540.9, Avg(us): 1839, Min(us): 918, Max(us): 174492, 99th(us): 12000, 99.9th(us): 26000, 99.99th(us): 61000
UPDATE - Takes(s): 59.8, Count: 33168, OPS: 554.2, Avg(us): 1793, Min(us): 918, Max(us): 174492, 99th(us): 12000, 99.9th(us): 26000, 99.99th(us): 57000
UPDATE - Takes(s): 69.8, Count: 39399, OPS: 564.1, Avg(us): 1761, Min(us): 918, Max(us): 174492, 99th(us): 12000, 99.9th(us): 26000, 99.99th(us): 61000
UPDATE - Takes(s): 79.8, Count: 45098, OPS: 564.8, Avg(us): 1758, Min(us): 918, Max(us): 174492, 99th(us): 12000, 99.9th(us): 26000, 99.99th(us): 57000
UPDATE - Takes(s): 89.8, Count: 50825, OPS: 565.7, Avg(us): 1755, Min(us): 918, Max(us): 174492, 99th(us): 11000, 99.9th(us): 26000, 99.99th(us): 55000
UPDATE - Takes(s): 99.8, Count: 56398, OPS: 564.8, Avg(us): 1758, Min(us): 918, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 57000
UPDATE - Takes(s): 109.8, Count: 61850, OPS: 563.1, Avg(us): 1763, Min(us): 918, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 55000
UPDATE - Takes(s): 119.8, Count: 67344, OPS: 561.9, Avg(us): 1766, Min(us): 904, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 51000
UPDATE - Takes(s): 129.8, Count: 73113, OPS: 563.1, Avg(us): 1763, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 51000
UPDATE - Takes(s): 139.8, Count: 78770, OPS: 563.3, Avg(us): 1762, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 55000
UPDATE - Takes(s): 149.8, Count: 84243, OPS: 562.2, Avg(us): 1765, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 55000
UPDATE - Takes(s): 159.8, Count: 89927, OPS: 562.6, Avg(us): 1764, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 52000
UPDATE - Takes(s): 169.8, Count: 95531, OPS: 562.4, Avg(us): 1764, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 52000
UPDATE - Takes(s): 179.8, Count: 101054, OPS: 561.9, Avg(us): 1766, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 52000
UPDATE - Takes(s): 189.8, Count: 106519, OPS: 561.1, Avg(us): 1768, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 52000
UPDATE - Takes(s): 199.8, Count: 111958, OPS: 560.2, Avg(us): 1771, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 51000
UPDATE - Takes(s): 209.8, Count: 117600, OPS: 560.4, Avg(us): 1770, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 51000
UPDATE - Takes(s): 219.8, Count: 123446, OPS: 561.5, Avg(us): 1767, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 51000
UPDATE - Takes(s): 229.8, Count: 129310, OPS: 562.6, Avg(us): 1763, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 51000
UPDATE - Takes(s): 239.8, Count: 135187, OPS: 563.6, Avg(us): 1760, Min(us): 890, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 49000
UPDATE - Takes(s): 249.8, Count: 141111, OPS: 564.8, Avg(us): 1756, Min(us): 864, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 49000
UPDATE - Takes(s): 259.8, Count: 146834, OPS: 565.1, Avg(us): 1755, Min(us): 864, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 49000
UPDATE - Takes(s): 269.8, Count: 152505, OPS: 565.2, Avg(us): 1755, Min(us): 864, Max(us): 174492, 99th(us): 11000, 99.9th(us): 25000, 99.99th(us): 48000
