***************** properties *****************
"readproportion"="0"
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"operationcount"="500000"
"recordcount"="500000"
"requestdistribution"="uniform"
"updateproportion"="1"
"insertproportion"="0"
"readallfields"="true"
"workload"="core"
**********************************************
UPDATE - Takes(s): 9.8, Count: 5412, OPS: 551.4, Avg(us): 1832, Min(us): 865, Max(us): 196255, 99th(us): 10000, 99.9th(us): 40000, 99.99th(us): 197000
UPDATE - Takes(s): 19.8, Count: 11212, OPS: 565.9, Avg(us): 1768, Min(us): 830, Max(us): 196255, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 187000
UPDATE - Takes(s): 29.8, Count: 17197, OPS: 576.8, Avg(us): 1729, Min(us): 830, Max(us): 196255, 99th(us): 7000, 99.9th(us): 26000, 99.99th(us): 187000
UPDATE - Takes(s): 39.8, Count: 23215, OPS: 583.1, Avg(us): 1708, Min(us): 830, Max(us): 196255, 99th(us): 8000, 99.9th(us): 26000, 99.99th(us): 183000
UPDATE - Takes(s): 49.8, Count: 29181, OPS: 585.8, Avg(us): 1698, Min(us): 830, Max(us): 196255, 99th(us): 8000, 99.9th(us): 26000, 99.99th(us): 183000
UPDATE - Takes(s): 59.8, Count: 35112, OPS: 587.0, Avg(us): 1694, Min(us): 830, Max(us): 196255, 99th(us): 8000, 99.9th(us): 26000, 99.99th(us): 55000
UPDATE - Takes(s): 69.8, Count: 41024, OPS: 587.6, Avg(us): 1692, Min(us): 830, Max(us): 196255, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 46000
UPDATE - Takes(s): 79.8, Count: 46880, OPS: 587.4, Avg(us): 1692, Min(us): 830, Max(us): 196255, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 46000
UPDATE - Takes(s): 89.8, Count: 52702, OPS: 586.8, Avg(us): 1693, Min(us): 826, Max(us): 196255, 99th(us): 9000, 99.9th(us): 28000, 99.99th(us): 46000
UPDATE - Takes(s): 99.8, Count: 58733, OPS: 588.4, Avg(us): 1688, Min(us): 826, Max(us): 196255, 99th(us): 9000, 99.9th(us): 28000, 99.99th(us): 46000
UPDATE - Takes(s): 109.8, Count: 64814, OPS: 590.2, Avg(us): 1682, Min(us): 826, Max(us): 196255, 99th(us): 9000, 99.9th(us): 28000, 99.99th(us): 55000
UPDATE - Takes(s): 119.8, Count: 70973, OPS: 592.4, Avg(us): 1676, Min(us): 826, Max(us): 196255, 99th(us): 10000, 99.9th(us): 29000, 99.99th(us): 46000
UPDATE - Takes(s): 129.8, Count: 77143, OPS: 594.3, Avg(us): 1671, Min(us): 826, Max(us): 196255, 99th(us): 10000, 99.9th(us): 29000, 99.99th(us): 46000
UPDATE - Takes(s): 139.8, Count: 83147, OPS: 594.7, Avg(us): 1669, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 149.8, Count: 89316, OPS: 596.2, Avg(us): 1665, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 159.8, Count: 95356, OPS: 596.7, Avg(us): 1663, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 169.8, Count: 101430, OPS: 597.3, Avg(us): 1661, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 51000
UPDATE - Takes(s): 179.8, Count: 107562, OPS: 598.2, Avg(us): 1659, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 189.8, Count: 113697, OPS: 599.0, Avg(us): 1656, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 51000
UPDATE - Takes(s): 199.8, Count: 119549, OPS: 598.3, Avg(us): 1658, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 51000
UPDATE - Takes(s): 209.8, Count: 125465, OPS: 598.0, Avg(us): 1659, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 50000
UPDATE - Takes(s): 219.8, Count: 131184, OPS: 596.8, Avg(us): 1662, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 50000
UPDATE - Takes(s): 229.8, Count: 137052, OPS: 596.4, Avg(us): 1663, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 50000
UPDATE - Takes(s): 239.8, Count: 143070, OPS: 596.6, Avg(us): 1663, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 50000
UPDATE - Takes(s): 249.8, Count: 149144, OPS: 597.0, Avg(us): 1662, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 50000
UPDATE - Takes(s): 259.8, Count: 155183, OPS: 597.3, Avg(us): 1661, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 49000
UPDATE - Takes(s): 269.8, Count: 161121, OPS: 597.2, Avg(us): 1661, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 47000
UPDATE - Takes(s): 279.8, Count: 167227, OPS: 597.6, Avg(us): 1660, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 289.8, Count: 173209, OPS: 597.7, Avg(us): 1660, Min(us): 826, Max(us): 196255, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 299.8, Count: 179206, OPS: 597.7, Avg(us): 1659, Min(us): 826, Max(us): 196255, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 309.8, Count: 185268, OPS: 598.0, Avg(us): 1659, Min(us): 826, Max(us): 196255, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 319.8, Count: 191254, OPS: 598.0, Avg(us): 1658, Min(us): 802, Max(us): 196255, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 46000
UPDATE - Takes(s): 329.8, Count: 197156, OPS: 597.8, Avg(us): 1659, Min(us): 802, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 339.8, Count: 203301, OPS: 598.3, Avg(us): 1658, Min(us): 802, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 349.8, Count: 209333, OPS: 598.4, Avg(us): 1657, Min(us): 802, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 49000
UPDATE - Takes(s): 359.8, Count: 215250, OPS: 598.2, Avg(us): 1658, Min(us): 802, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 49000
UPDATE - Takes(s): 369.8, Count: 221480, OPS: 598.9, Avg(us): 1656, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 379.8, Count: 227454, OPS: 598.9, Avg(us): 1656, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 389.8, Count: 233426, OPS: 598.8, Avg(us): 1656, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 399.8, Count: 239511, OPS: 599.1, Avg(us): 1655, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 409.8, Count: 245519, OPS: 599.1, Avg(us): 1655, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 419.8, Count: 251719, OPS: 599.6, Avg(us): 1654, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 429.8, Count: 257863, OPS: 599.9, Avg(us): 1653, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 439.8, Count: 263841, OPS: 599.9, Avg(us): 1653, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 449.8, Count: 269969, OPS: 600.2, Avg(us): 1652, Min(us): 799, Max(us): 213018, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 47000
