***************** properties *****************
"readproportion"="0"
"scanproportion"="0"
"dotransactions"="true"
"workload"="core"
"requestdistribution"="uniform"
"tikv.pd"="10.0.0.13:2379"
"operationcount"="500000"
"readallfields"="true"
"recordcount"="500000"
"insertproportion"="0"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 8.1, Count: 533, OPS: 65.9, Avg(us): 18711, Min(us): 954, Max(us): 1909693, 99th(us): 114000, 99.9th(us): 1910000, 99.99th(us): 1910000
UPDATE - Takes(s): 18.1, Count: 1229, OPS: 67.9, Avg(us): 16237, Min(us): 882, Max(us): 1909693, 99th(us): 111000, 99.9th(us): 348000, 99.99th(us): 1910000
UPDATE - Takes(s): 28.1, Count: 1931, OPS: 68.7, Avg(us): 15511, Min(us): 882, Max(us): 1909693, 99th(us): 111000, 99.9th(us): 348000, 99.99th(us): 1910000
UPDATE - Takes(s): 38.1, Count: 2849, OPS: 74.8, Avg(us): 14011, Min(us): 833, Max(us): 1909693, 99th(us): 105000, 99.9th(us): 245000, 99.99th(us): 1910000
UPDATE - Takes(s): 48.1, Count: 3876, OPS: 80.6, Avg(us): 12872, Min(us): 833, Max(us): 1909693, 99th(us): 104000, 99.9th(us): 245000, 99.99th(us): 1910000
UPDATE - Takes(s): 58.1, Count: 4876, OPS: 83.9, Avg(us): 12277, Min(us): 833, Max(us): 1909693, 99th(us): 103000, 99.9th(us): 245000, 99.99th(us): 1910000
UPDATE - Takes(s): 68.1, Count: 5645, OPS: 82.9, Avg(us): 12373, Min(us): 833, Max(us): 1909693, 99th(us): 104000, 99.9th(us): 245000, 99.99th(us): 1910000
UPDATE - Takes(s): 78.1, Count: 6372, OPS: 81.6, Avg(us): 12533, Min(us): 833, Max(us): 1909693, 99th(us): 104000, 99.9th(us): 216000, 99.99th(us): 1910000
UPDATE - Takes(s): 88.1, Count: 7088, OPS: 80.5, Avg(us): 12676, Min(us): 833, Max(us): 1909693, 99th(us): 103000, 99.9th(us): 209000, 99.99th(us): 1910000
UPDATE - Takes(s): 98.1, Count: 7671, OPS: 78.2, Avg(us): 13011, Min(us): 833, Max(us): 1909693, 99th(us): 104000, 99.9th(us): 216000, 99.99th(us): 1910000
UPDATE - Takes(s): 108.1, Count: 8228, OPS: 76.1, Avg(us): 13347, Min(us): 833, Max(us): 1909693, 99th(us): 105000, 99.9th(us): 216000, 99.99th(us): 1910000
UPDATE - Takes(s): 118.1, Count: 8703, OPS: 73.7, Avg(us): 13767, Min(us): 833, Max(us): 1909693, 99th(us): 105000, 99.9th(us): 241000, 99.99th(us): 1910000
UPDATE - Takes(s): 128.1, Count: 9171, OPS: 71.6, Avg(us): 14152, Min(us): 833, Max(us): 1909693, 99th(us): 107000, 99.9th(us): 244000, 99.99th(us): 1910000
UPDATE - Takes(s): 138.1, Count: 9705, OPS: 70.3, Avg(us): 14404, Min(us): 833, Max(us): 1909693, 99th(us): 107000, 99.9th(us): 244000, 99.99th(us): 1910000
UPDATE - Takes(s): 148.1, Count: 10226, OPS: 69.1, Avg(us): 14640, Min(us): 828, Max(us): 1909693, 99th(us): 109000, 99.9th(us): 241000, 99.99th(us): 373000
UPDATE - Takes(s): 158.1, Count: 10727, OPS: 67.9, Avg(us): 14892, Min(us): 828, Max(us): 1909693, 99th(us): 113000, 99.9th(us): 241000, 99.99th(us): 373000
UPDATE - Takes(s): 168.1, Count: 11247, OPS: 66.9, Avg(us): 15092, Min(us): 828, Max(us): 1909693, 99th(us): 113000, 99.9th(us): 240000, 99.99th(us): 373000
UPDATE - Takes(s): 178.1, Count: 11674, OPS: 65.6, Avg(us): 15391, Min(us): 828, Max(us): 1909693, 99th(us): 117000, 99.9th(us): 241000, 99.99th(us): 373000
UPDATE - Takes(s): 188.1, Count: 12136, OPS: 64.5, Avg(us): 15632, Min(us): 828, Max(us): 1909693, 99th(us): 118000, 99.9th(us): 240000, 99.99th(us): 373000
UPDATE - Takes(s): 198.1, Count: 12606, OPS: 63.6, Avg(us): 15841, Min(us): 828, Max(us): 1909693, 99th(us): 119000, 99.9th(us): 240000, 99.99th(us): 373000
UPDATE - Takes(s): 208.1, Count: 13045, OPS: 62.7, Avg(us): 16076, Min(us): 828, Max(us): 1909693, 99th(us): 122000, 99.9th(us): 238000, 99.99th(us): 373000
UPDATE - Takes(s): 218.1, Count: 13443, OPS: 61.6, Avg(us): 16343, Min(us): 828, Max(us): 1909693, 99th(us): 122000, 99.9th(us): 241000, 99.99th(us): 373000
UPDATE - Takes(s): 228.1, Count: 13877, OPS: 60.8, Avg(us): 16550, Min(us): 828, Max(us): 1909693, 99th(us): 122000, 99.9th(us): 241000, 99.99th(us): 373000
UPDATE - Takes(s): 238.1, Count: 14329, OPS: 60.2, Avg(us): 16725, Min(us): 828, Max(us): 1909693, 99th(us): 122000, 99.9th(us): 240000, 99.99th(us): 373000
