***************** properties *****************
"scanproportion"="0"
"updateproportion"="1"
"recordcount"="500000"
"dotransactions"="true"
"workload"="core"
"tikv.pd"="10.0.0.13:2379"
"readallfields"="true"
"readproportion"="0"
"operationcount"="500000"
"requestdistribution"="uniform"
"insertproportion"="0"
**********************************************
UPDATE - Takes(s): 9.9, Count: 8325, OPS: 839.8, Avg(us): 1188, Min(us): 794, Max(us): 86668, 99th(us): 4000, 99.9th(us): 9000, 99.99th(us): 14000
UPDATE - Takes(s): 19.9, Count: 16479, OPS: 827.5, Avg(us): 1199, Min(us): 739, Max(us): 133004, 99th(us): 4000, 99.9th(us): 21000, 99.99th(us): 87000
UPDATE - Takes(s): 29.9, Count: 24284, OPS: 811.8, Avg(us): 1222, Min(us): 728, Max(us): 133004, 99th(us): 5000, 99.9th(us): 23000, 99.99th(us): 35000
UPDATE - Takes(s): 39.9, Count: 32177, OPS: 806.2, Avg(us): 1230, Min(us): 728, Max(us): 133004, 99th(us): 5000, 99.9th(us): 23000, 99.99th(us): 35000
UPDATE - Takes(s): 49.9, Count: 39647, OPS: 794.3, Avg(us): 1248, Min(us): 728, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 54000
UPDATE - Takes(s): 59.9, Count: 47810, OPS: 798.0, Avg(us): 1242, Min(us): 728, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 45000
UPDATE - Takes(s): 69.9, Count: 55745, OPS: 797.3, Avg(us): 1242, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 44000
UPDATE - Takes(s): 79.9, Count: 64305, OPS: 804.7, Avg(us): 1231, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 44000
UPDATE - Takes(s): 89.9, Count: 73633, OPS: 818.9, Avg(us): 1209, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 43000
UPDATE - Takes(s): 99.9, Count: 82719, OPS: 827.9, Avg(us): 1196, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 24000, 99.99th(us): 44000
UPDATE - Takes(s): 109.9, Count: 91804, OPS: 835.2, Avg(us): 1186, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 24000, 99.99th(us): 44000
UPDATE - Takes(s): 119.9, Count: 100224, OPS: 835.8, Avg(us): 1185, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 24000, 99.99th(us): 44000
UPDATE - Takes(s): 129.9, Count: 108999, OPS: 839.0, Avg(us): 1180, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 45000
UPDATE - Takes(s): 139.9, Count: 117726, OPS: 841.4, Avg(us): 1177, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 44000
UPDATE - Takes(s): 149.9, Count: 125930, OPS: 840.0, Avg(us): 1179, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 44000
UPDATE - Takes(s): 159.9, Count: 134054, OPS: 838.3, Avg(us): 1182, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 25000, 99.99th(us): 44000
UPDATE - Takes(s): 169.9, Count: 142038, OPS: 835.9, Avg(us): 1185, Min(us): 668, Max(us): 197841, 99th(us): 5000, 99.9th(us): 26000, 99.99th(us): 44000
