***************** properties *****************
"operationcount"="500000"
"tikv.pd"="10.0.0.13:2379"
"readallfields"="true"
"readproportion"="0"
"updateproportion"="1"
"workload"="core"
"requestdistribution"="uniform"
"dotransactions"="true"
"scanproportion"="0"
"recordcount"="500000"
"insertproportion"="0"
**********************************************
UPDATE - Takes(s): 9.9, Count: 6231, OPS: 631.4, Avg(us): 1593, Min(us): 747, Max(us): 192513, 99th(us): 14000, 99.9th(us): 33000, 99.99th(us): 193000
UPDATE - Takes(s): 19.9, Count: 13195, OPS: 664.1, Avg(us): 1504, Min(us): 742, Max(us): 192513, 99th(us): 12000, 99.9th(us): 32000, 99.99th(us): 164000
UPDATE - Takes(s): 29.9, Count: 19491, OPS: 652.6, Avg(us): 1527, Min(us): 742, Max(us): 192513, 99th(us): 13000, 99.9th(us): 33000, 99.99th(us): 164000
UPDATE - Takes(s): 39.9, Count: 26744, OPS: 670.8, Avg(us): 1484, Min(us): 732, Max(us): 192513, 99th(us): 12000, 99.9th(us): 33000, 99.99th(us): 132000
UPDATE - Takes(s): 49.9, Count: 32822, OPS: 658.2, Avg(us): 1512, Min(us): 732, Max(us): 192513, 99th(us): 13000, 99.9th(us): 33000, 99.99th(us): 59000
UPDATE - Takes(s): 59.9, Count: 40113, OPS: 670.0, Avg(us): 1484, Min(us): 732, Max(us): 192513, 99th(us): 12000, 99.9th(us): 33000, 99.99th(us): 57000
UPDATE - Takes(s): 69.9, Count: 47073, OPS: 673.7, Avg(us): 1475, Min(us): 732, Max(us): 192513, 99th(us): 12000, 99.9th(us): 33000, 99.99th(us): 57000
UPDATE - Takes(s): 79.9, Count: 54468, OPS: 682.0, Avg(us): 1457, Min(us): 693, Max(us): 192513, 99th(us): 11000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 89.9, Count: 61595, OPS: 685.4, Avg(us): 1449, Min(us): 693, Max(us): 192513, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 99.9, Count: 68325, OPS: 684.1, Avg(us): 1452, Min(us): 693, Max(us): 192513, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 109.9, Count: 75020, OPS: 682.8, Avg(us): 1455, Min(us): 693, Max(us): 192513, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 52000
UPDATE - Takes(s): 119.9, Count: 81357, OPS: 678.7, Avg(us): 1463, Min(us): 693, Max(us): 192513, 99th(us): 11000, 99.9th(us): 31000, 99.99th(us): 55000
UPDATE - Takes(s): 129.9, Count: 88754, OPS: 683.4, Avg(us): 1453, Min(us): 693, Max(us): 192513, 99th(us): 11000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 139.9, Count: 95437, OPS: 682.3, Avg(us): 1455, Min(us): 693, Max(us): 192513, 99th(us): 11000, 99.9th(us): 32000, 99.99th(us): 55000
