***************** properties *****************
"requestdistribution"="uniform"
"readproportion"="0"
"workload"="core"
"dotransactions"="true"
"insertproportion"="0"
"updateproportion"="1"
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"operationcount"="500000"
"recordcount"="500000"
"scanproportion"="0"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4993, OPS: 508.1, Avg(us): 1986, Min(us): 1023, Max(us): 172887, 99th(us): 9000, 99.9th(us): 20000, 99.99th(us): 173000
UPDATE - Takes(s): 19.8, Count: 10352, OPS: 522.1, Avg(us): 1915, Min(us): 1003, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 29.8, Count: 15697, OPS: 526.3, Avg(us): 1894, Min(us): 990, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 39.8, Count: 21065, OPS: 528.9, Avg(us): 1882, Min(us): 990, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 49.8, Count: 26379, OPS: 529.4, Avg(us): 1878, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 59.8, Count: 31786, OPS: 531.3, Avg(us): 1871, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 69.8, Count: 37072, OPS: 530.9, Avg(us): 1871, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 79.8, Count: 42380, OPS: 530.9, Avg(us): 1871, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 89.8, Count: 47665, OPS: 530.6, Avg(us): 1871, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 99.8, Count: 53056, OPS: 531.5, Avg(us): 1868, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 109.8, Count: 58493, OPS: 532.6, Avg(us): 1864, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 18000, 99.99th(us): 32000
UPDATE - Takes(s): 119.8, Count: 63899, OPS: 533.3, Avg(us): 1861, Min(us): 987, Max(us): 172887, 99th(us): 9000, 99.9th(us): 17000, 99.99th(us): 31000
UPDATE - Takes(s): 129.8, Count: 69245, OPS: 533.4, Avg(us): 1861, Min(us): 967, Max(us): 172887, 99th(us): 9000, 99.9th(us): 17000, 99.99th(us): 32000
UPDATE - Takes(s): 139.8, Count: 74664, OPS: 534.0, Avg(us): 1859, Min(us): 967, Max(us): 172887, 99th(us): 9000, 99.9th(us): 17000, 99.99th(us): 36000
