***************** properties *****************
"dotransactions"="true"
"insertproportion"="0"
"requestdistribution"="uniform"
"operationcount"="500000"
"workload"="core"
"updateproportion"="1"
"scanproportion"="0"
"readallfields"="true"
"readproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 9.7, Count: 4883, OPS: 501.3, Avg(us): 2033, Min(us): 1371, Max(us): 259611, 99th(us): 6000, 99.9th(us): 14000, 99.99th(us): 30000
UPDATE - Takes(s): 19.7, Count: 9082, OPS: 460.1, Avg(us): 2187, Min(us): 1371, Max(us): 259611, 99th(us): 9000, 99.9th(us): 29000, 99.99th(us): 260000
UPDATE - Takes(s): 29.7, Count: 13072, OPS: 439.5, Avg(us): 2280, Min(us): 1371, Max(us): 259611, 99th(us): 10000, 99.9th(us): 30000, 99.99th(us): 49000
UPDATE - Takes(s): 39.7, Count: 17157, OPS: 431.7, Avg(us): 2317, Min(us): 1371, Max(us): 259611, 99th(us): 11000, 99.9th(us): 30000, 99.99th(us): 49000
UPDATE - Takes(s): 49.7, Count: 21213, OPS: 426.5, Avg(us): 2343, Min(us): 1371, Max(us): 259611, 99th(us): 13000, 99.9th(us): 30000, 99.99th(us): 41000
UPDATE - Takes(s): 59.7, Count: 25348, OPS: 424.3, Avg(us): 2352, Min(us): 1371, Max(us): 259611, 99th(us): 13000, 99.9th(us): 31000, 99.99th(us): 44000
UPDATE - Takes(s): 69.7, Count: 29386, OPS: 421.4, Avg(us): 2368, Min(us): 1371, Max(us): 259611, 99th(us): 14000, 99.9th(us): 31000, 99.99th(us): 49000
UPDATE - Takes(s): 79.7, Count: 33425, OPS: 419.2, Avg(us): 2379, Min(us): 1371, Max(us): 259611, 99th(us): 14000, 99.9th(us): 31000, 99.99th(us): 49000
UPDATE - Takes(s): 89.7, Count: 37420, OPS: 417.0, Avg(us): 2391, Min(us): 1371, Max(us): 259611, 99th(us): 15000, 99.9th(us): 31000, 99.99th(us): 49000
UPDATE - Takes(s): 99.7, Count: 41528, OPS: 416.4, Avg(us): 2394, Min(us): 1371, Max(us): 259611, 99th(us): 15000, 99.9th(us): 31000, 99.99th(us): 47000
UPDATE - Takes(s): 109.7, Count: 45583, OPS: 415.4, Avg(us): 2399, Min(us): 1371, Max(us): 259611, 99th(us): 15000, 99.9th(us): 31000, 99.99th(us): 47000
UPDATE - Takes(s): 119.7, Count: 49676, OPS: 414.9, Avg(us): 2401, Min(us): 1371, Max(us): 259611, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 47000
UPDATE - Takes(s): 129.7, Count: 53780, OPS: 414.5, Avg(us): 2403, Min(us): 1371, Max(us): 259611, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 44000
UPDATE - Takes(s): 139.7, Count: 57793, OPS: 413.6, Avg(us): 2408, Min(us): 1371, Max(us): 259611, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 44000
UPDATE - Takes(s): 149.7, Count: 61875, OPS: 413.2, Avg(us): 2410, Min(us): 1371, Max(us): 259611, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 42000
UPDATE - Takes(s): 159.7, Count: 65931, OPS: 412.7, Avg(us): 2412, Min(us): 1371, Max(us): 259611, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 44000
UPDATE - Takes(s): 169.7, Count: 69895, OPS: 411.8, Avg(us): 2418, Min(us): 1371, Max(us): 259611, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 44000
UPDATE - Takes(s): 179.7, Count: 73904, OPS: 411.2, Avg(us): 2421, Min(us): 1371, Max(us): 259611, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 44000
UPDATE - Takes(s): 189.7, Count: 78026, OPS: 411.2, Avg(us): 2421, Min(us): 1371, Max(us): 259611, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 44000
UPDATE - Takes(s): 199.7, Count: 81962, OPS: 410.3, Avg(us): 2426, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 44000
UPDATE - Takes(s): 209.7, Count: 86047, OPS: 410.3, Avg(us): 2426, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 44000
UPDATE - Takes(s): 219.7, Count: 90457, OPS: 411.7, Avg(us): 2418, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 44000
UPDATE - Takes(s): 229.7, Count: 94727, OPS: 412.3, Avg(us): 2414, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 44000
UPDATE - Takes(s): 239.7, Count: 99058, OPS: 413.2, Avg(us): 2408, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 44000
UPDATE - Takes(s): 249.7, Count: 103288, OPS: 413.6, Avg(us): 2406, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 45000
UPDATE - Takes(s): 259.7, Count: 107515, OPS: 413.9, Avg(us): 2404, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 45000
UPDATE - Takes(s): 269.7, Count: 111615, OPS: 413.8, Avg(us): 2405, Min(us): 1371, Max(us): 259611, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 45000
