***************** properties *****************
"readproportion"="0"
"requestdistribution"="uniform"
"dotransactions"="true"
"updateproportion"="1"
"threadcount"="1"
"workload"="core"
"insertproportion"="0"
"recordcount"="500000"
"scanproportion"="0"
"operationcount"="500000"
"tikv.pd"="10.0.0.22:2379"
"readallfields"="true"
**********************************************
UPDATE - Takes(s): 8.0, Count: 117, OPS: 14.6, Avg(us): 85183, Min(us): 10591, Max(us): 1968589, 99th(us): 329000, 99.9th(us): 1969000, 99.99th(us): 1969000
UPDATE - Takes(s): 18.0, Count: 312, OPS: 17.3, Avg(us): 63137, Min(us): 8405, Max(us): 1968589, 99th(us): 165000, 99.9th(us): 1969000, 99.99th(us): 1969000
UPDATE - Takes(s): 28.0, Count: 530, OPS: 18.9, Avg(us): 56567, Min(us): 8405, Max(us): 1968589, 99th(us): 165000, 99.9th(us): 1969000, 99.99th(us): 1969000
UPDATE - Takes(s): 38.0, Count: 733, OPS: 19.3, Avg(us): 54509, Min(us): 8405, Max(us): 1968589, 99th(us): 164000, 99.9th(us): 1969000, 99.99th(us): 1969000
UPDATE - Takes(s): 48.0, Count: 945, OPS: 19.7, Avg(us): 52852, Min(us): 8405, Max(us): 1968589, 99th(us): 156000, 99.9th(us): 1969000, 99.99th(us): 1969000
UPDATE - Takes(s): 58.0, Count: 1184, OPS: 20.4, Avg(us): 50610, Min(us): 8405, Max(us): 1968589, 99th(us): 153000, 99.9th(us): 329000, 99.99th(us): 1969000
UPDATE - Takes(s): 68.0, Count: 1423, OPS: 20.9, Avg(us): 49126, Min(us): 8405, Max(us): 1968589, 99th(us): 152000, 99.9th(us): 329000, 99.99th(us): 1969000
UPDATE - Takes(s): 78.0, Count: 1659, OPS: 21.3, Avg(us): 48051, Min(us): 8405, Max(us): 1968589, 99th(us): 149000, 99.9th(us): 329000, 99.99th(us): 1969000
UPDATE - Takes(s): 88.0, Count: 1910, OPS: 21.7, Avg(us): 47089, Min(us): 8405, Max(us): 1968589, 99th(us): 149000, 99.9th(us): 329000, 99.99th(us): 1969000
UPDATE - Takes(s): 98.0, Count: 2195, OPS: 22.4, Avg(us): 45527, Min(us): 8354, Max(us): 1968589, 99th(us): 149000, 99.9th(us): 325000, 99.99th(us): 1969000
UPDATE - Takes(s): 108.0, Count: 2444, OPS: 22.6, Avg(us): 44869, Min(us): 8354, Max(us): 1968589, 99th(us): 148000, 99.9th(us): 325000, 99.99th(us): 1969000
UPDATE - Takes(s): 118.0, Count: 2697, OPS: 22.8, Avg(us): 44455, Min(us): 8049, Max(us): 1968589, 99th(us): 148000, 99.9th(us): 325000, 99.99th(us): 1969000
UPDATE - Takes(s): 128.0, Count: 2969, OPS: 23.2, Avg(us): 43752, Min(us): 8049, Max(us): 1968589, 99th(us): 145000, 99.9th(us): 329000, 99.99th(us): 1969000
UPDATE - Takes(s): 138.0, Count: 3227, OPS: 23.4, Avg(us): 43269, Min(us): 8049, Max(us): 1968589, 99th(us): 141000, 99.9th(us): 325000, 99.99th(us): 1969000
UPDATE - Takes(s): 148.0, Count: 3472, OPS: 23.5, Avg(us): 43170, Min(us): 8049, Max(us): 1968589, 99th(us): 141000, 99.9th(us): 325000, 99.99th(us): 1969000
UPDATE - Takes(s): 158.0, Count: 3714, OPS: 23.5, Avg(us): 43038, Min(us): 8049, Max(us): 1968589, 99th(us): 141000, 99.9th(us): 325000, 99.99th(us): 1969000
UPDATE - Takes(s): 168.0, Count: 3931, OPS: 23.4, Avg(us): 43211, Min(us): 8049, Max(us): 1968589, 99th(us): 142000, 99.9th(us): 325000, 99.99th(us): 1969000
UPDATE - Takes(s): 178.0, Count: 4172, OPS: 23.4, Avg(us): 43115, Min(us): 8049, Max(us): 1968589, 99th(us): 141000, 99.9th(us): 308000, 99.99th(us): 1969000
UPDATE - Takes(s): 188.0, Count: 4414, OPS: 23.5, Avg(us): 43007, Min(us): 8049, Max(us): 1968589, 99th(us): 141000, 99.9th(us): 308000, 99.99th(us): 1969000
UPDATE - Takes(s): 198.0, Count: 4646, OPS: 23.5, Avg(us): 43014, Min(us): 8049, Max(us): 1968589, 99th(us): 140000, 99.9th(us): 308000, 99.99th(us): 1969000
UPDATE - Takes(s): 208.0, Count: 4888, OPS: 23.5, Avg(us): 42933, Min(us): 8049, Max(us): 1968589, 99th(us): 140000, 99.9th(us): 308000, 99.99th(us): 1969000
UPDATE - Takes(s): 218.0, Count: 5124, OPS: 23.5, Avg(us): 42905, Min(us): 1765, Max(us): 1968589, 99th(us): 140000, 99.9th(us): 304000, 99.99th(us): 1969000
UPDATE - Takes(s): 228.0, Count: 5447, OPS: 23.9, Avg(us): 42146, Min(us): 1181, Max(us): 1968589, 99th(us): 140000, 99.9th(us): 304000, 99.99th(us): 1969000
