***************** properties *****************
"readproportion"="0"
"threadcount"="1"
"insertproportion"="0"
"requestdistribution"="uniform"
"scanproportion"="0"
"updateproportion"="1"
"dotransactions"="true"
"operationcount"="500000"
"workload"="core"
"readallfields"="true"
"tikv.pd"="10.0.0.22:2379"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 5.7, Count: 4, OPS: 0.7, Avg(us): 27282801, Min(us): 1605911, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 15.7, Count: 12, OPS: 0.8, Avg(us): 9964654, Min(us): 1202820, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 25.7, Count: 20, OPS: 0.8, Avg(us): 6481977, Min(us): 1202820, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 35.7, Count: 27, OPS: 0.8, Avg(us): 5128681, Min(us): 1202820, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 45.7, Count: 35, OPS: 0.8, Avg(us): 4266110, Min(us): 1202820, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 55.7, Count: 43, OPS: 0.8, Avg(us): 3705815, Min(us): 1202820, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 65.7, Count: 51, OPS: 0.8, Avg(us): 3321356, Min(us): 1202820, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 75.7, Count: 59, OPS: 0.8, Avg(us): 3047963, Min(us): 1202782, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 85.7, Count: 66, OPS: 0.8, Avg(us): 2864587, Min(us): 1202782, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 95.7, Count: 74, OPS: 0.8, Avg(us): 2696032, Min(us): 1202708, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
UPDATE - Takes(s): 105.7, Count: 81, OPS: 0.8, Avg(us): 2582028, Min(us): 1202708, Max(us): 104311758, 99th(us): 104312000, 99.9th(us): 104312000, 99.99th(us): 104312000
