***************** properties *****************
"updateproportion"="1"
"workload"="core"
"insertproportion"="0"
"tikv.pd"="10.0.0.22:2379"
"threadcount"="1"
"recordcount"="500000"
"readproportion"="0"
"dotransactions"="true"
"operationcount"="500000"
"scanproportion"="0"
"requestdistribution"="uniform"
"readallfields"="true"
**********************************************
UPDATE - Takes(s): 5.7, Count: 5, OPS: 0.9, Avg(us): 21977375, Min(us): 1203378, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 15.7, Count: 12, OPS: 0.8, Avg(us): 9926658, Min(us): 1203000, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 25.7, Count: 20, OPS: 0.8, Avg(us): 6477571, Min(us): 1202650, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 35.7, Count: 28, OPS: 0.8, Avg(us): 4999401, Min(us): 1202650, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 45.7, Count: 35, OPS: 0.8, Avg(us): 4263379, Min(us): 1202650, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 55.7, Count: 42, OPS: 0.8, Avg(us): 3782112, Min(us): 1202650, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 65.7, Count: 50, OPS: 0.8, Avg(us): 3377590, Min(us): 1202650, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 75.7, Count: 58, OPS: 0.8, Avg(us): 3077797, Min(us): 1202650, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 85.7, Count: 66, OPS: 0.8, Avg(us): 2862768, Min(us): 1202534, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 95.7, Count: 74, OPS: 0.8, Avg(us): 2688833, Min(us): 1202534, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
UPDATE - Takes(s): 105.7, Count: 82, OPS: 0.8, Avg(us): 2553711, Min(us): 1202302, Max(us): 104267483, 99th(us): 104268000, 99.9th(us): 104268000, 99.99th(us): 104268000
