***************** properties *****************
"requestdistribution"="uniform"
"scanproportion"="0"
"operationcount"="500000"
"workload"="core"
"recordcount"="500000"
"readallfields"="true"
"dotransactions"="true"
"insertproportion"="0"
"tikv.pd"="10.0.0.22:2379"
"threadcount"="1"
"readproportion"="0"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.8, Count: 1384, OPS: 141.4, Avg(us): 7195, Min(us): 869, Max(us): 230199, 99th(us): 83000, 99.9th(us): 210000, 99.99th(us): 231000
UPDATE - Takes(s): 19.8, Count: 2069, OPS: 104.5, Avg(us): 9605, Min(us): 869, Max(us): 271310, 99th(us): 107000, 99.9th(us): 231000, 99.99th(us): 272000
UPDATE - Takes(s): 29.8, Count: 2638, OPS: 88.6, Avg(us): 11354, Min(us): 869, Max(us): 271310, 99th(us): 112000, 99.9th(us): 231000, 99.99th(us): 272000
UPDATE - Takes(s): 39.8, Count: 3292, OPS: 82.7, Avg(us): 12121, Min(us): 869, Max(us): 271310, 99th(us): 111000, 99.9th(us): 228000, 99.99th(us): 272000
UPDATE - Takes(s): 49.8, Count: 3790, OPS: 76.1, Avg(us): 13170, Min(us): 869, Max(us): 271310, 99th(us): 113000, 99.9th(us): 228000, 99.99th(us): 272000
UPDATE - Takes(s): 59.8, Count: 4244, OPS: 71.0, Avg(us): 14118, Min(us): 869, Max(us): 271310, 99th(us): 116000, 99.9th(us): 228000, 99.99th(us): 272000
UPDATE - Takes(s): 69.8, Count: 4663, OPS: 66.8, Avg(us): 14979, Min(us): 869, Max(us): 271310, 99th(us): 131000, 99.9th(us): 236000, 99.99th(us): 272000
UPDATE - Takes(s): 79.8, Count: 5048, OPS: 63.3, Avg(us): 15824, Min(us): 869, Max(us): 271310, 99th(us): 138000, 99.9th(us): 231000, 99.99th(us): 272000
UPDATE - Takes(s): 89.8, Count: 5426, OPS: 60.4, Avg(us): 16563, Min(us): 869, Max(us): 278591, 99th(us): 138000, 99.9th(us): 236000, 99.99th(us): 279000
UPDATE - Takes(s): 99.8, Count: 5777, OPS: 57.9, Avg(us): 17287, Min(us): 869, Max(us): 278591, 99th(us): 138000, 99.9th(us): 236000, 99.99th(us): 279000
UPDATE - Takes(s): 109.8, Count: 6110, OPS: 55.7, Avg(us): 17977, Min(us): 869, Max(us): 278591, 99th(us): 138000, 99.9th(us): 231000, 99.99th(us): 279000
