***************** properties *****************
"scanproportion"="0"
"requestdistribution"="uniform"
"dotransactions"="true"
"recordcount"="500000"
"updateproportion"="1"
"tikv.pd"="10.0.0.5:2379"
"operationcount"="500000"
"readproportion"="0"
"workload"="core"
"readallfields"="true"
"insertproportion"="0"
**********************************************
UPDATE - Takes(s): 9.7, Count: 2081, OPS: 213.8, Avg(us): 4783, Min(us): 1232, Max(us): 301650, 99th(us): 29000, 99.9th(us): 252000, 99.99th(us): 302000
UPDATE - Takes(s): 19.7, Count: 3800, OPS: 192.6, Avg(us): 5244, Min(us): 1232, Max(us): 901610, 99th(us): 33000, 99.9th(us): 267000, 99.99th(us): 902000
UPDATE - Takes(s): 29.7, Count: 5518, OPS: 185.6, Avg(us): 5419, Min(us): 1232, Max(us): 901610, 99th(us): 34000, 99.9th(us): 252000, 99.99th(us): 654000
UPDATE - Takes(s): 39.7, Count: 6796, OPS: 171.0, Avg(us): 5866, Min(us): 1180, Max(us): 901610, 99th(us): 36000, 99.9th(us): 267000, 99.99th(us): 902000
UPDATE - Takes(s): 49.7, Count: 7838, OPS: 157.6, Avg(us): 6356, Min(us): 1180, Max(us): 901610, 99th(us): 39000, 99.9th(us): 267000, 99.99th(us): 902000
UPDATE - Takes(s): 59.7, Count: 8788, OPS: 147.1, Avg(us): 6807, Min(us): 1180, Max(us): 901610, 99th(us): 40000, 99.9th(us): 267000, 99.99th(us): 902000
UPDATE - Takes(s): 69.7, Count: 9333, OPS: 133.8, Avg(us): 7476, Min(us): 1180, Max(us): 901610, 99th(us): 47000, 99.9th(us): 267000, 99.99th(us): 902000
UPDATE - Takes(s): 79.7, Count: 10039, OPS: 125.9, Avg(us): 7951, Min(us): 1180, Max(us): 901610, 99th(us): 50000, 99.9th(us): 259000, 99.99th(us): 654000
UPDATE - Takes(s): 89.7, Count: 10803, OPS: 120.4, Avg(us): 8313, Min(us): 1160, Max(us): 901610, 99th(us): 50000, 99.9th(us): 267000, 99.99th(us): 654000
UPDATE - Takes(s): 99.7, Count: 11645, OPS: 116.8, Avg(us): 8569, Min(us): 1160, Max(us): 901610, 99th(us): 52000, 99.9th(us): 267000, 99.99th(us): 654000
UPDATE - Takes(s): 109.7, Count: 12407, OPS: 113.1, Avg(us): 8847, Min(us): 1160, Max(us): 901610, 99th(us): 54000, 99.9th(us): 267000, 99.99th(us): 654000
UPDATE - Takes(s): 119.7, Count: 13105, OPS: 109.5, Avg(us): 9137, Min(us): 1160, Max(us): 901610, 99th(us): 56000, 99.9th(us): 259000, 99.99th(us): 654000
UPDATE - Takes(s): 129.7, Count: 13646, OPS: 105.2, Avg(us): 9509, Min(us): 1160, Max(us): 901610, 99th(us): 57000, 99.9th(us): 259000, 99.99th(us): 654000
UPDATE - Takes(s): 139.7, Count: 14146, OPS: 101.2, Avg(us): 9877, Min(us): 1160, Max(us): 901610, 99th(us): 60000, 99.9th(us): 252000, 99.99th(us): 654000
UPDATE - Takes(s): 149.7, Count: 14655, OPS: 97.9, Avg(us): 10217, Min(us): 1160, Max(us): 901610, 99th(us): 62000, 99.9th(us): 252000, 99.99th(us): 654000
UPDATE - Takes(s): 159.7, Count: 15267, OPS: 95.6, Avg(us): 10461, Min(us): 1160, Max(us): 901610, 99th(us): 64000, 99.9th(us): 238000, 99.99th(us): 654000
UPDATE - Takes(s): 169.7, Count: 15910, OPS: 93.7, Avg(us): 10667, Min(us): 1160, Max(us): 901610, 99th(us): 66000, 99.9th(us): 238000, 99.99th(us): 654000
UPDATE - Takes(s): 179.7, Count: 16510, OPS: 91.9, Avg(us): 10885, Min(us): 1160, Max(us): 901610, 99th(us): 68000, 99.9th(us): 208000, 99.99th(us): 654000
UPDATE - Takes(s): 189.7, Count: 17026, OPS: 89.7, Avg(us): 11141, Min(us): 1160, Max(us): 901610, 99th(us): 68000, 99.9th(us): 208000, 99.99th(us): 654000
UPDATE - Takes(s): 199.7, Count: 17528, OPS: 87.8, Avg(us): 11393, Min(us): 1160, Max(us): 901610, 99th(us): 71000, 99.9th(us): 208000, 99.99th(us): 654000
UPDATE - Takes(s): 209.7, Count: 18106, OPS: 86.3, Avg(us): 11579, Min(us): 1160, Max(us): 901610, 99th(us): 73000, 99.9th(us): 204000, 99.99th(us): 654000
UPDATE - Takes(s): 219.7, Count: 18755, OPS: 85.4, Avg(us): 11713, Min(us): 1160, Max(us): 901610, 99th(us): 77000, 99.9th(us): 208000, 99.99th(us): 654000
UPDATE - Takes(s): 229.7, Count: 19360, OPS: 84.3, Avg(us): 11860, Min(us): 1160, Max(us): 901610, 99th(us): 80000, 99.9th(us): 233000, 99.99th(us): 654000
UPDATE - Takes(s): 239.7, Count: 19974, OPS: 83.3, Avg(us): 11995, Min(us): 1160, Max(us): 901610, 99th(us): 84000, 99.9th(us): 238000, 99.99th(us): 654000
UPDATE - Takes(s): 249.7, Count: 20560, OPS: 82.3, Avg(us): 12142, Min(us): 1160, Max(us): 901610, 99th(us): 86000, 99.9th(us): 251000, 99.99th(us): 579000
UPDATE - Takes(s): 259.7, Count: 21160, OPS: 81.5, Avg(us): 12267, Min(us): 1160, Max(us): 901610, 99th(us): 89000, 99.9th(us): 252000, 99.99th(us): 579000
UPDATE - Takes(s): 269.7, Count: 21729, OPS: 80.6, Avg(us): 12406, Min(us): 1160, Max(us): 901610, 99th(us): 93000, 99.9th(us): 252000, 99.99th(us): 579000
UPDATE - Takes(s): 279.7, Count: 22302, OPS: 79.7, Avg(us): 12537, Min(us): 1160, Max(us): 901610, 99th(us): 96000, 99.9th(us): 252000, 99.99th(us): 579000
UPDATE - Takes(s): 289.7, Count: 22890, OPS: 79.0, Avg(us): 12652, Min(us): 1160, Max(us): 901610, 99th(us): 99000, 99.9th(us): 252000, 99.99th(us): 579000
UPDATE - Takes(s): 299.7, Count: 23455, OPS: 78.3, Avg(us): 12772, Min(us): 1160, Max(us): 901610, 99th(us): 100000, 99.9th(us): 251000, 99.99th(us): 579000
UPDATE - Takes(s): 309.7, Count: 23985, OPS: 77.4, Avg(us): 12906, Min(us): 1160, Max(us): 901610, 99th(us): 102000, 99.9th(us): 251000, 99.99th(us): 579000
UPDATE - Takes(s): 319.7, Count: 24562, OPS: 76.8, Avg(us): 13011, Min(us): 1160, Max(us): 901610, 99th(us): 106000, 99.9th(us): 251000, 99.99th(us): 579000
UPDATE - Takes(s): 329.7, Count: 25073, OPS: 76.0, Avg(us): 13141, Min(us): 1160, Max(us): 901610, 99th(us): 110000, 99.9th(us): 244000, 99.99th(us): 579000
UPDATE - Takes(s): 339.7, Count: 25558, OPS: 75.2, Avg(us): 13286, Min(us): 1160, Max(us): 901610, 99th(us): 111000, 99.9th(us): 259000, 99.99th(us): 579000
UPDATE - Takes(s): 349.7, Count: 26036, OPS: 74.4, Avg(us): 13425, Min(us): 1160, Max(us): 901610, 99th(us): 114000, 99.9th(us): 257000, 99.99th(us): 579000
UPDATE - Takes(s): 359.7, Count: 26530, OPS: 73.7, Avg(us): 13550, Min(us): 1160, Max(us): 901610, 99th(us): 115000, 99.9th(us): 269000, 99.99th(us): 579000
UPDATE - Takes(s): 369.7, Count: 27026, OPS: 73.1, Avg(us): 13672, Min(us): 1160, Max(us): 901610, 99th(us): 117000, 99.9th(us): 267000, 99.99th(us): 579000
UPDATE - Takes(s): 379.7, Count: 27532, OPS: 72.5, Avg(us): 13784, Min(us): 1160, Max(us): 901610, 99th(us): 118000, 99.9th(us): 269000, 99.99th(us): 579000
UPDATE - Takes(s): 389.7, Count: 27997, OPS: 71.8, Avg(us): 13911, Min(us): 1160, Max(us): 901610, 99th(us): 121000, 99.9th(us): 274000, 99.99th(us): 579000
UPDATE - Takes(s): 399.7, Count: 28523, OPS: 71.4, Avg(us): 14006, Min(us): 1160, Max(us): 901610, 99th(us): 123000, 99.9th(us): 272000, 99.99th(us): 579000
UPDATE - Takes(s): 409.7, Count: 28991, OPS: 70.8, Avg(us): 14123, Min(us): 1160, Max(us): 901610, 99th(us): 125000, 99.9th(us): 272000, 99.99th(us): 579000
