***************** properties *****************
"insertproportion"="0"
"dotransactions"="true"
"scanproportion"="0"
"recordcount"="500000"
"updateproportion"="1"
"requestdistribution"="uniform"
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"operationcount"="500000"
"workload"="core"
"readproportion"="0"
**********************************************
UPDATE - Takes(s): 9.8, Count: 2079, OPS: 213.0, Avg(us): 4619, Min(us): 1131, Max(us): 238430, 99th(us): 32000, 99.9th(us): 194000, 99.99th(us): 239000
UPDATE - Takes(s): 19.8, Count: 3777, OPS: 191.1, Avg(us): 5191, Min(us): 1046, Max(us): 584709, 99th(us): 37000, 99.9th(us): 218000, 99.99th(us): 585000
UPDATE - Takes(s): 29.8, Count: 5365, OPS: 180.3, Avg(us): 5510, Min(us): 1046, Max(us): 708750, 99th(us): 36000, 99.9th(us): 201000, 99.99th(us): 709000
UPDATE - Takes(s): 39.8, Count: 6850, OPS: 172.3, Avg(us): 5770, Min(us): 1046, Max(us): 708750, 99th(us): 37000, 99.9th(us): 218000, 99.99th(us): 709000
UPDATE - Takes(s): 49.8, Count: 8009, OPS: 160.9, Avg(us): 6178, Min(us): 1046, Max(us): 708750, 99th(us): 39000, 99.9th(us): 218000, 99.99th(us): 709000
UPDATE - Takes(s): 59.8, Count: 8901, OPS: 148.9, Avg(us): 6725, Min(us): 1046, Max(us): 708750, 99th(us): 41000, 99.9th(us): 239000, 99.99th(us): 709000
UPDATE - Takes(s): 69.8, Count: 9897, OPS: 141.9, Avg(us): 7056, Min(us): 1046, Max(us): 708750, 99th(us): 42000, 99.9th(us): 239000, 99.99th(us): 709000
UPDATE - Takes(s): 79.8, Count: 11030, OPS: 138.3, Avg(us): 7204, Min(us): 1046, Max(us): 708750, 99th(us): 42000, 99.9th(us): 218000, 99.99th(us): 585000
UPDATE - Takes(s): 89.8, Count: 12000, OPS: 133.7, Avg(us): 7484, Min(us): 1046, Max(us): 708750, 99th(us): 43000, 99.9th(us): 234000, 99.99th(us): 585000
UPDATE - Takes(s): 99.8, Count: 12789, OPS: 128.2, Avg(us): 7804, Min(us): 1046, Max(us): 708750, 99th(us): 46000, 99.9th(us): 234000, 99.99th(us): 585000
UPDATE - Takes(s): 109.8, Count: 13553, OPS: 123.5, Avg(us): 8099, Min(us): 1046, Max(us): 708750, 99th(us): 48000, 99.9th(us): 233000, 99.99th(us): 585000
UPDATE - Takes(s): 119.8, Count: 14259, OPS: 119.1, Avg(us): 8400, Min(us): 1046, Max(us): 708750, 99th(us): 50000, 99.9th(us): 218000, 99.99th(us): 585000
UPDATE - Takes(s): 129.8, Count: 14953, OPS: 115.2, Avg(us): 8678, Min(us): 1046, Max(us): 708750, 99th(us): 52000, 99.9th(us): 218000, 99.99th(us): 585000
UPDATE - Takes(s): 139.8, Count: 15652, OPS: 112.0, Avg(us): 8929, Min(us): 1046, Max(us): 708750, 99th(us): 53000, 99.9th(us): 201000, 99.99th(us): 585000
UPDATE - Takes(s): 149.8, Count: 16328, OPS: 109.0, Avg(us): 9171, Min(us): 1046, Max(us): 708750, 99th(us): 56000, 99.9th(us): 194000, 99.99th(us): 585000
UPDATE - Takes(s): 159.8, Count: 16884, OPS: 105.7, Avg(us): 9461, Min(us): 1046, Max(us): 708750, 99th(us): 57000, 99.9th(us): 194000, 99.99th(us): 585000
UPDATE - Takes(s): 169.8, Count: 17415, OPS: 102.6, Avg(us): 9746, Min(us): 1046, Max(us): 708750, 99th(us): 59000, 99.9th(us): 179000, 99.99th(us): 585000
UPDATE - Takes(s): 179.8, Count: 17896, OPS: 99.6, Avg(us): 10042, Min(us): 1046, Max(us): 708750, 99th(us): 59000, 99.9th(us): 179000, 99.99th(us): 585000
UPDATE - Takes(s): 189.8, Count: 18323, OPS: 96.6, Avg(us): 10353, Min(us): 1046, Max(us): 708750, 99th(us): 60000, 99.9th(us): 172000, 99.99th(us): 585000
UPDATE - Takes(s): 199.8, Count: 18868, OPS: 94.5, Avg(us): 10584, Min(us): 1046, Max(us): 708750, 99th(us): 61000, 99.9th(us): 172000, 99.99th(us): 585000
UPDATE - Takes(s): 209.8, Count: 19622, OPS: 93.5, Avg(us): 10685, Min(us): 1046, Max(us): 708750, 99th(us): 64000, 99.9th(us): 172000, 99.99th(us): 585000
UPDATE - Takes(s): 219.8, Count: 20265, OPS: 92.2, Avg(us): 10837, Min(us): 1046, Max(us): 708750, 99th(us): 67000, 99.9th(us): 179000, 99.99th(us): 581000
UPDATE - Takes(s): 229.8, Count: 20918, OPS: 91.0, Avg(us): 10970, Min(us): 1046, Max(us): 708750, 99th(us): 72000, 99.9th(us): 183000, 99.99th(us): 581000
UPDATE - Takes(s): 239.8, Count: 21566, OPS: 89.9, Avg(us): 11109, Min(us): 1046, Max(us): 708750, 99th(us): 74000, 99.9th(us): 194000, 99.99th(us): 581000
UPDATE - Takes(s): 249.8, Count: 22013, OPS: 88.1, Avg(us): 11341, Min(us): 1046, Max(us): 708750, 99th(us): 76000, 99.9th(us): 194000, 99.99th(us): 581000
UPDATE - Takes(s): 259.8, Count: 22509, OPS: 86.7, Avg(us): 11534, Min(us): 1046, Max(us): 708750, 99th(us): 78000, 99.9th(us): 198000, 99.99th(us): 581000
UPDATE - Takes(s): 269.8, Count: 22995, OPS: 85.2, Avg(us): 11719, Min(us): 1046, Max(us): 708750, 99th(us): 81000, 99.9th(us): 198000, 99.99th(us): 581000
UPDATE - Takes(s): 279.8, Count: 23581, OPS: 84.3, Avg(us): 11858, Min(us): 1046, Max(us): 708750, 99th(us): 83000, 99.9th(us): 198000, 99.99th(us): 581000
