***************** properties *****************
"recordcount"="500000"
"readproportion"="0"
"workload"="core"
"operationcount"="500000"
"readallfields"="true"
"updateproportion"="1"
"dotransactions"="true"
"insertproportion"="0"
"requestdistribution"="uniform"
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 2504, OPS: 255.7, Avg(us): 3973, Min(us): 959, Max(us): 208912, 99th(us): 30000, 99.9th(us): 169000, 99.99th(us): 209000
UPDATE - Takes(s): 19.8, Count: 3926, OPS: 198.4, Avg(us): 5079, Min(us): 959, Max(us): 1126475, 99th(us): 33000, 99.9th(us): 209000, 99.99th(us): 1127000
UPDATE - Takes(s): 29.8, Count: 5328, OPS: 178.8, Avg(us): 5614, Min(us): 959, Max(us): 1126475, 99th(us): 33000, 99.9th(us): 209000, 99.99th(us): 1127000
UPDATE - Takes(s): 39.8, Count: 6541, OPS: 164.4, Avg(us): 6097, Min(us): 959, Max(us): 1126475, 99th(us): 38000, 99.9th(us): 231000, 99.99th(us): 1127000
UPDATE - Takes(s): 49.8, Count: 7680, OPS: 154.2, Avg(us): 6496, Min(us): 959, Max(us): 1126475, 99th(us): 39000, 99.9th(us): 340000, 99.99th(us): 1127000
UPDATE - Takes(s): 59.8, Count: 8809, OPS: 147.3, Avg(us): 6796, Min(us): 959, Max(us): 1126475, 99th(us): 40000, 99.9th(us): 340000, 99.99th(us): 1127000
UPDATE - Takes(s): 69.8, Count: 9757, OPS: 139.8, Avg(us): 7158, Min(us): 959, Max(us): 1126475, 99th(us): 41000, 99.9th(us): 340000, 99.99th(us): 1127000
UPDATE - Takes(s): 79.8, Count: 10426, OPS: 130.7, Avg(us): 7658, Min(us): 959, Max(us): 1126475, 99th(us): 44000, 99.9th(us): 281000, 99.99th(us): 626000
UPDATE - Takes(s): 89.8, Count: 11158, OPS: 124.3, Avg(us): 8051, Min(us): 959, Max(us): 1126475, 99th(us): 45000, 99.9th(us): 231000, 99.99th(us): 626000
UPDATE - Takes(s): 99.8, Count: 11982, OPS: 120.1, Avg(us): 8330, Min(us): 959, Max(us): 1126475, 99th(us): 46000, 99.9th(us): 231000, 99.99th(us): 626000
UPDATE - Takes(s): 109.8, Count: 12697, OPS: 115.6, Avg(us): 8649, Min(us): 959, Max(us): 1126475, 99th(us): 48000, 99.9th(us): 231000, 99.99th(us): 626000
UPDATE - Takes(s): 119.8, Count: 13474, OPS: 112.5, Avg(us): 8891, Min(us): 959, Max(us): 1126475, 99th(us): 49000, 99.9th(us): 211000, 99.99th(us): 626000
