***************** properties *****************
"insertproportion"="0"
"recordcount"="500000"
"readallfields"="true"
"dotransactions"="true"
"readproportion"="0"
"updateproportion"="1"
"scanproportion"="0"
"tikv.pd"="10.0.0.13:2379"
"requestdistribution"="uniform"
"operationcount"="500000"
"workload"="core"
**********************************************
UPDATE - Takes(s): 9.8, Count: 1323, OPS: 134.4, Avg(us): 7518, Min(us): 778, Max(us): 850566, 99th(us): 31000, 99.9th(us): 840000, 99.99th(us): 851000
UPDATE - Takes(s): 19.8, Count: 4754, OPS: 239.6, Avg(us): 4194, Min(us): 754, Max(us): 852140, 99th(us): 14000, 99.9th(us): 838000, 99.99th(us): 853000
UPDATE - Takes(s): 29.8, Count: 12085, OPS: 405.0, Avg(us): 2470, Min(us): 705, Max(us): 852140, 99th(us): 10000, 99.9th(us): 799000, 99.99th(us): 851000
UPDATE - Takes(s): 39.8, Count: 19371, OPS: 486.2, Avg(us): 2053, Min(us): 705, Max(us): 852140, 99th(us): 10000, 99.9th(us): 64000, 99.99th(us): 851000
UPDATE - Takes(s): 49.8, Count: 26051, OPS: 522.7, Avg(us): 1907, Min(us): 705, Max(us): 861298, 99th(us): 10000, 99.9th(us): 33000, 99.99th(us): 851000
UPDATE - Takes(s): 59.8, Count: 27391, OPS: 457.7, Avg(us): 2177, Min(us): 705, Max(us): 862922, 99th(us): 10000, 99.9th(us): 165000, 99.99th(us): 853000
UPDATE - Takes(s): 69.8, Count: 28643, OPS: 410.1, Avg(us): 2429, Min(us): 705, Max(us): 882446, 99th(us): 10000, 99.9th(us): 807000, 99.99th(us): 863000
UPDATE - Takes(s): 79.8, Count: 31082, OPS: 389.3, Avg(us): 2561, Min(us): 705, Max(us): 882446, 99th(us): 10000, 99.9th(us): 810000, 99.99th(us): 863000
UPDATE - Takes(s): 89.8, Count: 32705, OPS: 364.0, Avg(us): 2739, Min(us): 705, Max(us): 887820, 99th(us): 10000, 99.9th(us): 821000, 99.99th(us): 866000
UPDATE - Takes(s): 99.8, Count: 33708, OPS: 337.6, Avg(us): 2953, Min(us): 705, Max(us): 922617, 99th(us): 10000, 99.9th(us): 840000, 99.99th(us): 888000
UPDATE - Takes(s): 109.8, Count: 34641, OPS: 315.4, Avg(us): 3163, Min(us): 705, Max(us): 922617, 99th(us): 10000, 99.9th(us): 848000, 99.99th(us): 908000
UPDATE - Takes(s): 119.8, Count: 41310, OPS: 344.7, Avg(us): 2892, Min(us): 705, Max(us): 922617, 99th(us): 10000, 99.9th(us): 838000, 99.99th(us): 895000
UPDATE - Takes(s): 129.8, Count: 47680, OPS: 367.2, Avg(us): 2714, Min(us): 705, Max(us): 922617, 99th(us): 10000, 99.9th(us): 832000, 99.99th(us): 905000
UPDATE - Takes(s): 139.8, Count: 54066, OPS: 386.6, Avg(us): 2576, Min(us): 705, Max(us): 922617, 99th(us): 10000, 99.9th(us): 819000, 99.99th(us): 895000
UPDATE - Takes(s): 149.8, Count: 56283, OPS: 375.6, Avg(us): 2651, Min(us): 705, Max(us): 1968061, 99th(us): 10000, 99.9th(us): 819000, 99.99th(us): 923000
UPDATE - Takes(s): 159.8, Count: 57151, OPS: 357.5, Avg(us): 2784, Min(us): 705, Max(us): 1968061, 99th(us): 10000, 99.9th(us): 833000, 99.99th(us): 923000
UPDATE - Takes(s): 169.8, Count: 58051, OPS: 341.8, Avg(us): 2914, Min(us): 705, Max(us): 1968061, 99th(us): 10000, 99.9th(us): 842000, 99.99th(us): 923000
UPDATE - Takes(s): 179.8, Count: 58954, OPS: 327.8, Avg(us): 3039, Min(us): 705, Max(us): 1968061, 99th(us): 11000, 99.9th(us): 851000, 99.99th(us): 923000
UPDATE - Takes(s): 189.8, Count: 59766, OPS: 314.8, Avg(us): 3165, Min(us): 705, Max(us): 1968061, 99th(us): 11000, 99.9th(us): 854000, 99.99th(us): 923000
