***************** properties *****************
"recordcount"="500000"
"readproportion"="0"
"requestdistribution"="uniform"
"tikv.pd"="10.0.0.5:2379"
"workload"="core"
"readallfields"="true"
"updateproportion"="1"
"scanproportion"="0"
"insertproportion"="0"
"operationcount"="500000"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 5049, OPS: 516.2, Avg(us): 1969, Min(us): 979, Max(us): 219150, 99th(us): 10000, 99.9th(us): 27000, 99.99th(us): 220000
UPDATE - Takes(s): 19.8, Count: 10635, OPS: 537.6, Avg(us): 1869, Min(us): 961, Max(us): 219150, 99th(us): 9000, 99.9th(us): 25000, 99.99th(us): 199000
UPDATE - Takes(s): 29.8, Count: 16178, OPS: 543.2, Avg(us): 1843, Min(us): 940, Max(us): 219150, 99th(us): 9000, 99.9th(us): 24000, 99.99th(us): 199000
UPDATE - Takes(s): 39.8, Count: 21691, OPS: 545.3, Avg(us): 1833, Min(us): 937, Max(us): 219150, 99th(us): 9000, 99.9th(us): 24000, 99.99th(us): 46000
UPDATE - Takes(s): 49.8, Count: 27333, OPS: 549.1, Avg(us): 1816, Min(us): 929, Max(us): 219150, 99th(us): 9000, 99.9th(us): 22000, 99.99th(us): 46000
UPDATE - Takes(s): 59.8, Count: 33001, OPS: 552.0, Avg(us): 1807, Min(us): 929, Max(us): 219150, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 46000
UPDATE - Takes(s): 69.8, Count: 38514, OPS: 551.9, Avg(us): 1806, Min(us): 929, Max(us): 219150, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 46000
UPDATE - Takes(s): 79.8, Count: 44192, OPS: 553.9, Avg(us): 1799, Min(us): 929, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 41000
UPDATE - Takes(s): 89.8, Count: 49736, OPS: 554.0, Avg(us): 1798, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 46000
UPDATE - Takes(s): 99.8, Count: 55435, OPS: 555.6, Avg(us): 1793, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 41000
UPDATE - Takes(s): 109.8, Count: 61179, OPS: 557.3, Avg(us): 1787, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 41000
UPDATE - Takes(s): 119.8, Count: 66811, OPS: 557.8, Avg(us): 1785, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 41000
UPDATE - Takes(s): 129.8, Count: 72291, OPS: 557.0, Avg(us): 1787, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 41000
UPDATE - Takes(s): 139.8, Count: 77921, OPS: 557.5, Avg(us): 1785, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 41000
UPDATE - Takes(s): 149.8, Count: 83816, OPS: 559.6, Avg(us): 1778, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 45000
UPDATE - Takes(s): 159.8, Count: 89991, OPS: 563.2, Avg(us): 1767, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 46000
UPDATE - Takes(s): 169.8, Count: 96127, OPS: 566.2, Avg(us): 1757, Min(us): 903, Max(us): 219150, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 45000
