***************** properties *****************
"insertproportion"="0"
"requestdistribution"="uniform"
"readproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"scanproportion"="0"
"readallfields"="true"
"workload"="core"
"dotransactions"="true"
"operationcount"="500000"
"updateproportion"="1"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4297, OPS: 440.2, Avg(us): 2311, Min(us): 1366, Max(us): 238261, 99th(us): 10000, 99.9th(us): 33000, 99.99th(us): 239000
UPDATE - Takes(s): 19.8, Count: 8439, OPS: 427.0, Avg(us): 2355, Min(us): 1357, Max(us): 238261, 99th(us): 12000, 99.9th(us): 33000, 99.99th(us): 239000
UPDATE - Takes(s): 29.8, Count: 12176, OPS: 409.1, Avg(us): 2449, Min(us): 1357, Max(us): 238261, 99th(us): 14000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 39.8, Count: 15456, OPS: 388.7, Avg(us): 2573, Min(us): 1357, Max(us): 292071, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 239000
UPDATE - Takes(s): 49.8, Count: 19109, OPS: 384.0, Avg(us): 2602, Min(us): 1357, Max(us): 292071, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 239000
UPDATE - Takes(s): 59.8, Count: 22759, OPS: 380.8, Avg(us): 2621, Min(us): 1354, Max(us): 292071, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 45000
UPDATE - Takes(s): 69.8, Count: 26314, OPS: 377.2, Avg(us): 2645, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 79.8, Count: 29847, OPS: 374.2, Avg(us): 2665, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 55000
UPDATE - Takes(s): 89.8, Count: 33408, OPS: 372.2, Avg(us): 2679, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 45000
UPDATE - Takes(s): 99.8, Count: 36891, OPS: 369.8, Avg(us): 2696, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 45000
UPDATE - Takes(s): 109.8, Count: 40396, OPS: 368.0, Avg(us): 2708, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 42000
UPDATE - Takes(s): 119.8, Count: 43895, OPS: 366.5, Avg(us): 2719, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 42000
UPDATE - Takes(s): 129.8, Count: 47373, OPS: 365.1, Avg(us): 2729, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 42000
UPDATE - Takes(s): 139.8, Count: 50809, OPS: 363.5, Avg(us): 2740, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 42000
UPDATE - Takes(s): 149.8, Count: 54289, OPS: 362.5, Avg(us): 2748, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 42000
UPDATE - Takes(s): 159.8, Count: 57657, OPS: 360.9, Avg(us): 2760, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 42000
UPDATE - Takes(s): 169.8, Count: 61140, OPS: 360.2, Avg(us): 2765, Min(us): 1322, Max(us): 292071, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 42000
