***************** properties *****************
"readproportion"="0"
"scanproportion"="0"
"workload"="core"
"updateproportion"="1"
"requestdistribution"="uniform"
"insertproportion"="0"
"recordcount"="500000"
"operationcount"="500000"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"readallfields"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4359, OPS: 445.0, Avg(us): 2277, Min(us): 1096, Max(us): 224997, 99th(us): 16000, 99.9th(us): 42000, 99.99th(us): 225000
UPDATE - Takes(s): 19.8, Count: 9075, OPS: 458.5, Avg(us): 2189, Min(us): 1076, Max(us): 224997, 99th(us): 15000, 99.9th(us): 39000, 99.99th(us): 225000
UPDATE - Takes(s): 29.8, Count: 13494, OPS: 452.9, Avg(us): 2207, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 35000, 99.99th(us): 206000
UPDATE - Takes(s): 39.8, Count: 17873, OPS: 449.1, Avg(us): 2223, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 35000, 99.99th(us): 206000
UPDATE - Takes(s): 49.8, Count: 22143, OPS: 444.7, Avg(us): 2243, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 33000, 99.99th(us): 62000
UPDATE - Takes(s): 59.8, Count: 26530, OPS: 443.7, Avg(us): 2246, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 62000
UPDATE - Takes(s): 69.8, Count: 30994, OPS: 444.1, Avg(us): 2244, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 55000
UPDATE - Takes(s): 79.8, Count: 35426, OPS: 444.0, Avg(us): 2243, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 55000
UPDATE - Takes(s): 89.8, Count: 39895, OPS: 444.3, Avg(us): 2241, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 55000
UPDATE - Takes(s): 99.8, Count: 44471, OPS: 445.6, Avg(us): 2234, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 32000, 99.99th(us): 52000
UPDATE - Takes(s): 109.8, Count: 48974, OPS: 446.1, Avg(us): 2231, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 32000, 99.99th(us): 52000
UPDATE - Takes(s): 119.8, Count: 53491, OPS: 446.5, Avg(us): 2229, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 31000, 99.99th(us): 52000
UPDATE - Takes(s): 129.8, Count: 58023, OPS: 447.0, Avg(us): 2226, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 139.8, Count: 62454, OPS: 446.8, Avg(us): 2227, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 50000
UPDATE - Takes(s): 149.8, Count: 67046, OPS: 447.6, Avg(us): 2222, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 50000
UPDATE - Takes(s): 159.8, Count: 71505, OPS: 447.5, Avg(us): 2223, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 48000
UPDATE - Takes(s): 169.8, Count: 76130, OPS: 448.4, Avg(us): 2218, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 29000, 99.99th(us): 48000
UPDATE - Takes(s): 179.8, Count: 80606, OPS: 448.3, Avg(us): 2218, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 29000, 99.99th(us): 48000
UPDATE - Takes(s): 189.8, Count: 85050, OPS: 448.1, Avg(us): 2219, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 199.8, Count: 89503, OPS: 448.0, Avg(us): 2220, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 209.8, Count: 93997, OPS: 448.0, Avg(us): 2219, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 219.8, Count: 98436, OPS: 447.9, Avg(us): 2220, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 229.8, Count: 102852, OPS: 447.6, Avg(us): 2221, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 239.8, Count: 107353, OPS: 447.7, Avg(us): 2221, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 249.8, Count: 111748, OPS: 447.4, Avg(us): 2222, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 259.8, Count: 116252, OPS: 447.5, Avg(us): 2222, Min(us): 1060, Max(us): 224997, 99th(us): 14000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 269.8, Count: 120807, OPS: 447.8, Avg(us): 2220, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 28000, 99.99th(us): 48000
UPDATE - Takes(s): 279.8, Count: 125291, OPS: 447.8, Avg(us): 2220, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 28000, 99.99th(us): 49000
UPDATE - Takes(s): 289.8, Count: 129752, OPS: 447.7, Avg(us): 2220, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 50000
UPDATE - Takes(s): 299.8, Count: 134329, OPS: 448.1, Avg(us): 2219, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 49000
UPDATE - Takes(s): 309.8, Count: 138769, OPS: 447.9, Avg(us): 2219, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 50000
UPDATE - Takes(s): 319.8, Count: 143327, OPS: 448.2, Avg(us): 2218, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 50000
UPDATE - Takes(s): 329.8, Count: 147866, OPS: 448.4, Avg(us): 2217, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 52000
UPDATE - Takes(s): 339.8, Count: 152414, OPS: 448.5, Avg(us): 2216, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 52000
UPDATE - Takes(s): 349.8, Count: 156998, OPS: 448.8, Avg(us): 2215, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 52000
UPDATE - Takes(s): 359.8, Count: 161410, OPS: 448.6, Avg(us): 2216, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 29000, 99.99th(us): 51000
UPDATE - Takes(s): 369.8, Count: 165834, OPS: 448.4, Avg(us): 2216, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 379.8, Count: 170393, OPS: 448.6, Avg(us): 2215, Min(us): 1060, Max(us): 224997, 99th(us): 15000, 99.9th(us): 30000, 99.99th(us): 51000
UPDATE - Takes(s): 389.8, Count: 174929, OPS: 448.8, Avg(us): 2215, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 51000
UPDATE - Takes(s): 399.8, Count: 179377, OPS: 448.7, Avg(us): 2215, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 409.8, Count: 183895, OPS: 448.7, Avg(us): 2215, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 419.8, Count: 188493, OPS: 449.0, Avg(us): 2213, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 429.8, Count: 193007, OPS: 449.1, Avg(us): 2213, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 439.8, Count: 197563, OPS: 449.2, Avg(us): 2212, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 449.8, Count: 201957, OPS: 449.0, Avg(us): 2213, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 459.8, Count: 206523, OPS: 449.2, Avg(us): 2213, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 469.8, Count: 211061, OPS: 449.3, Avg(us): 2212, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 479.8, Count: 215464, OPS: 449.1, Avg(us): 2213, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 489.8, Count: 220192, OPS: 449.6, Avg(us): 2211, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 499.8, Count: 224700, OPS: 449.6, Avg(us): 2210, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 509.8, Count: 229335, OPS: 449.9, Avg(us): 2209, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 519.8, Count: 233834, OPS: 449.9, Avg(us): 2209, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 529.8, Count: 238409, OPS: 450.0, Avg(us): 2208, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 539.8, Count: 242930, OPS: 450.0, Avg(us): 2208, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 549.8, Count: 247203, OPS: 449.6, Avg(us): 2210, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 559.8, Count: 251819, OPS: 449.8, Avg(us): 2209, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 569.8, Count: 256397, OPS: 450.0, Avg(us): 2208, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 579.8, Count: 260899, OPS: 450.0, Avg(us): 2208, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
UPDATE - Takes(s): 589.8, Count: 265388, OPS: 450.0, Avg(us): 2208, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000

Got signal [interrupt] to exit.
Run finished, takes 9m59.953407447s
UPDATE - Takes(s): 599.7, Count: 269897, OPS: 450.0, Avg(us): 2208, Min(us): 1060, Max(us): 224997, 99th(us): 16000, 99.9th(us): 30000, 99.99th(us): 52000
