***************** properties *****************
"updateproportion"="1"
"recordcount"="500000"
"readproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"requestdistribution"="uniform"
"scanproportion"="0"
"insertproportion"="0"
"operationcount"="500000"
"readallfields"="true"
"workload"="core"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4227, OPS: 431.7, Avg(us): 2349, Min(us): 1036, Max(us): 209194, 99th(us): 20000, 99.9th(us): 38000, 99.99th(us): 210000
UPDATE - Takes(s): 19.8, Count: 8838, OPS: 446.6, Avg(us): 2246, Min(us): 1009, Max(us): 209194, 99th(us): 19000, 99.9th(us): 33000, 99.99th(us): 191000
UPDATE - Takes(s): 29.8, Count: 13385, OPS: 449.3, Avg(us): 2224, Min(us): 984, Max(us): 209194, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 191000
UPDATE - Takes(s): 39.8, Count: 17893, OPS: 449.7, Avg(us): 2218, Min(us): 951, Max(us): 219755, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 210000
UPDATE - Takes(s): 49.8, Count: 22585, OPS: 453.6, Avg(us): 2197, Min(us): 951, Max(us): 219755, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 191000
UPDATE - Takes(s): 59.8, Count: 27077, OPS: 452.9, Avg(us): 2199, Min(us): 951, Max(us): 219755, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 191000
UPDATE - Takes(s): 69.8, Count: 31606, OPS: 452.9, Avg(us): 2198, Min(us): 951, Max(us): 219755, 99th(us): 19000, 99.9th(us): 31000, 99.99th(us): 64000
UPDATE - Takes(s): 79.8, Count: 36306, OPS: 455.0, Avg(us): 2187, Min(us): 951, Max(us): 219755, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 64000
UPDATE - Takes(s): 89.8, Count: 40981, OPS: 456.4, Avg(us): 2179, Min(us): 951, Max(us): 219755, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 58000
UPDATE - Takes(s): 99.8, Count: 45278, OPS: 453.7, Avg(us): 2192, Min(us): 951, Max(us): 219755, 99th(us): 19000, 99.9th(us): 31000, 99.99th(us): 58000
UPDATE - Takes(s): 109.8, Count: 49767, OPS: 453.3, Avg(us): 2193, Min(us): 936, Max(us): 219755, 99th(us): 19000, 99.9th(us): 31000, 99.99th(us): 58000
