***************** properties *****************
"workload"="core"
"requestdistribution"="uniform"
"updateproportion"="1"
"recordcount"="500000"
"operationcount"="500000"
"scanproportion"="0"
"insertproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"readallfields"="true"
"readproportion"="0"
**********************************************
UPDATE - Takes(s): 9.8, Count: 7447, OPS: 758.0, Avg(us): 1327, Min(us): 858, Max(us): 175496, 99th(us): 4000, 99.9th(us): 11000, 99.99th(us): 18000
UPDATE - Takes(s): 19.8, Count: 15296, OPS: 771.5, Avg(us): 1292, Min(us): 795, Max(us): 175496, 99th(us): 4000, 99.9th(us): 11000, 99.99th(us): 17000
UPDATE - Takes(s): 29.8, Count: 23137, OPS: 775.8, Avg(us): 1281, Min(us): 795, Max(us): 175496, 99th(us): 5000, 99.9th(us): 11000, 99.99th(us): 20000
UPDATE - Takes(s): 39.8, Count: 30272, OPS: 760.1, Avg(us): 1306, Min(us): 795, Max(us): 270872, 99th(us): 5000, 99.9th(us): 18000, 99.99th(us): 41000
UPDATE - Takes(s): 49.8, Count: 37634, OPS: 755.3, Avg(us): 1314, Min(us): 795, Max(us): 270872, 99th(us): 5000, 99.9th(us): 22000, 99.99th(us): 41000
UPDATE - Takes(s): 59.8, Count: 44860, OPS: 749.9, Avg(us): 1322, Min(us): 795, Max(us): 270872, 99th(us): 6000, 99.9th(us): 23000, 99.99th(us): 42000
UPDATE - Takes(s): 69.8, Count: 51841, OPS: 742.4, Avg(us): 1335, Min(us): 795, Max(us): 270872, 99th(us): 6000, 99.9th(us): 24000, 99.99th(us): 41000
UPDATE - Takes(s): 79.8, Count: 58739, OPS: 735.8, Avg(us): 1347, Min(us): 795, Max(us): 270872, 99th(us): 7000, 99.9th(us): 24000, 99.99th(us): 41000
UPDATE - Takes(s): 89.8, Count: 66040, OPS: 735.2, Avg(us): 1348, Min(us): 789, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 38000
UPDATE - Takes(s): 99.8, Count: 72986, OPS: 731.1, Avg(us): 1355, Min(us): 789, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 41000
UPDATE - Takes(s): 109.8, Count: 80063, OPS: 729.0, Avg(us): 1359, Min(us): 789, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 43000
UPDATE - Takes(s): 119.8, Count: 87132, OPS: 727.2, Avg(us): 1362, Min(us): 789, Max(us): 270872, 99th(us): 7000, 99.9th(us): 26000, 99.99th(us): 43000
UPDATE - Takes(s): 129.8, Count: 94455, OPS: 727.6, Avg(us): 1361, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 26000, 99.99th(us): 43000
UPDATE - Takes(s): 139.8, Count: 101671, OPS: 727.1, Avg(us): 1362, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 26000, 99.99th(us): 42000
UPDATE - Takes(s): 149.8, Count: 108659, OPS: 725.2, Avg(us): 1365, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 26000, 99.99th(us): 46000
UPDATE - Takes(s): 159.8, Count: 116112, OPS: 726.5, Avg(us): 1363, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 45000
UPDATE - Takes(s): 169.8, Count: 123462, OPS: 727.0, Avg(us): 1362, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 43000
UPDATE - Takes(s): 179.8, Count: 131197, OPS: 729.6, Avg(us): 1357, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 42000
UPDATE - Takes(s): 189.8, Count: 138992, OPS: 732.2, Avg(us): 1352, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 45000
UPDATE - Takes(s): 199.8, Count: 146836, OPS: 734.8, Avg(us): 1347, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 43000
UPDATE - Takes(s): 209.8, Count: 154664, OPS: 737.1, Avg(us): 1343, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 43000
UPDATE - Takes(s): 219.8, Count: 162497, OPS: 739.2, Avg(us): 1339, Min(us): 769, Max(us): 270872, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 42000
UPDATE - Takes(s): 229.8, Count: 170557, OPS: 742.1, Avg(us): 1334, Min(us): 769, Max(us): 270872, 99th(us): 6000, 99.9th(us): 25000, 99.99th(us): 42000
UPDATE - Takes(s): 239.8, Count: 178364, OPS: 743.7, Avg(us): 1331, Min(us): 769, Max(us): 270872, 99th(us): 6000, 99.9th(us): 25000, 99.99th(us): 43000
UPDATE - Takes(s): 249.8, Count: 186470, OPS: 746.4, Avg(us): 1326, Min(us): 769, Max(us): 270872, 99th(us): 6000, 99.9th(us): 24000, 99.99th(us): 43000
UPDATE - Takes(s): 259.8, Count: 194664, OPS: 749.2, Avg(us): 1321, Min(us): 769, Max(us): 270872, 99th(us): 6000, 99.9th(us): 24000, 99.99th(us): 41000
UPDATE - Takes(s): 269.8, Count: 202730, OPS: 751.3, Avg(us): 1317, Min(us): 769, Max(us): 270872, 99th(us): 6000, 99.9th(us): 24000, 99.99th(us): 41000
UPDATE - Takes(s): 279.8, Count: 210846, OPS: 753.5, Avg(us): 1313, Min(us): 769, Max(us): 270872, 99th(us): 6000, 99.9th(us): 23000, 99.99th(us): 43000
UPDATE - Takes(s): 289.8, Count: 218877, OPS: 755.2, Avg(us): 1310, Min(us): 769, Max(us): 270872, 99th(us): 6000, 99.9th(us): 23000, 99.99th(us): 43000
