***************** properties *****************
"recordcount"="500000"
"workload"="core"
"insertproportion"="0"
"updateproportion"="1"
"scanproportion"="0"
"dotransactions"="true"
"operationcount"="500000"
"readallfields"="true"
"readproportion"="0"
"requestdistribution"="uniform"
"tikv.pd"="10.0.0.5:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 6328, OPS: 645.8, Avg(us): 1563, Min(us): 905, Max(us): 200971, 99th(us): 8000, 99.9th(us): 24000, 99.99th(us): 201000
UPDATE - Takes(s): 19.8, Count: 13061, OPS: 659.7, Avg(us): 1515, Min(us): 905, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 50000
UPDATE - Takes(s): 29.8, Count: 19592, OPS: 657.5, Avg(us): 1514, Min(us): 905, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 50000
UPDATE - Takes(s): 39.8, Count: 26351, OPS: 662.1, Avg(us): 1502, Min(us): 905, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 35000
UPDATE - Takes(s): 49.8, Count: 32959, OPS: 661.8, Avg(us): 1501, Min(us): 905, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 35000
UPDATE - Takes(s): 59.8, Count: 39554, OPS: 661.4, Avg(us): 1500, Min(us): 902, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 35000
UPDATE - Takes(s): 69.8, Count: 46166, OPS: 661.4, Avg(us): 1500, Min(us): 902, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 34000
UPDATE - Takes(s): 79.8, Count: 52929, OPS: 663.3, Avg(us): 1495, Min(us): 902, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 34000
UPDATE - Takes(s): 89.8, Count: 59656, OPS: 664.3, Avg(us): 1492, Min(us): 902, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 35000
UPDATE - Takes(s): 99.8, Count: 66301, OPS: 664.3, Avg(us): 1492, Min(us): 902, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 35000
UPDATE - Takes(s): 109.8, Count: 72984, OPS: 664.7, Avg(us): 1491, Min(us): 902, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 35000
UPDATE - Takes(s): 119.8, Count: 79861, OPS: 666.6, Avg(us): 1486, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 40000
UPDATE - Takes(s): 129.8, Count: 86403, OPS: 665.6, Avg(us): 1488, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 40000
UPDATE - Takes(s): 139.8, Count: 93075, OPS: 665.8, Avg(us): 1488, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 40000
UPDATE - Takes(s): 149.8, Count: 99727, OPS: 665.7, Avg(us): 1488, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 42000
UPDATE - Takes(s): 159.8, Count: 106265, OPS: 665.0, Avg(us): 1489, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 42000
UPDATE - Takes(s): 169.8, Count: 113057, OPS: 665.8, Avg(us): 1487, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 42000
UPDATE - Takes(s): 179.8, Count: 120024, OPS: 667.5, Avg(us): 1483, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 42000
UPDATE - Takes(s): 189.8, Count: 126813, OPS: 668.1, Avg(us): 1482, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 42000
UPDATE - Takes(s): 199.8, Count: 133326, OPS: 667.3, Avg(us): 1484, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 42000
UPDATE - Takes(s): 209.8, Count: 139919, OPS: 666.9, Avg(us): 1484, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 44000
UPDATE - Takes(s): 219.8, Count: 146550, OPS: 666.7, Avg(us): 1485, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 229.8, Count: 153201, OPS: 666.7, Avg(us): 1485, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 239.8, Count: 159968, OPS: 667.1, Avg(us): 1484, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 249.8, Count: 166803, OPS: 667.7, Avg(us): 1482, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 259.8, Count: 173487, OPS: 667.8, Avg(us): 1482, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 42000
UPDATE - Takes(s): 269.8, Count: 180283, OPS: 668.2, Avg(us): 1481, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 279.8, Count: 187069, OPS: 668.6, Avg(us): 1480, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 289.8, Count: 193757, OPS: 668.6, Avg(us): 1480, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 299.8, Count: 200379, OPS: 668.4, Avg(us): 1481, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 309.8, Count: 206966, OPS: 668.1, Avg(us): 1481, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 319.8, Count: 213528, OPS: 667.7, Avg(us): 1482, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 329.8, Count: 220204, OPS: 667.7, Avg(us): 1482, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 339.8, Count: 227051, OPS: 668.2, Avg(us): 1481, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 349.8, Count: 233780, OPS: 668.3, Avg(us): 1481, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 359.8, Count: 240523, OPS: 668.5, Avg(us): 1480, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 369.8, Count: 247113, OPS: 668.2, Avg(us): 1481, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 379.8, Count: 253878, OPS: 668.5, Avg(us): 1480, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 389.8, Count: 260781, OPS: 669.0, Avg(us): 1479, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 399.8, Count: 267670, OPS: 669.5, Avg(us): 1478, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 409.8, Count: 274332, OPS: 669.4, Avg(us): 1478, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 419.8, Count: 281018, OPS: 669.4, Avg(us): 1478, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 429.8, Count: 287719, OPS: 669.4, Avg(us): 1478, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 439.8, Count: 294495, OPS: 669.6, Avg(us): 1478, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 449.8, Count: 301429, OPS: 670.1, Avg(us): 1476, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 43000
UPDATE - Takes(s): 459.8, Count: 308268, OPS: 670.4, Avg(us): 1476, Min(us): 847, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 469.8, Count: 314803, OPS: 670.1, Avg(us): 1477, Min(us): 835, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 479.8, Count: 321520, OPS: 670.1, Avg(us): 1476, Min(us): 835, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 489.8, Count: 328210, OPS: 670.1, Avg(us): 1476, Min(us): 835, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 499.8, Count: 335105, OPS: 670.5, Avg(us): 1476, Min(us): 835, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 509.8, Count: 341729, OPS: 670.3, Avg(us): 1476, Min(us): 835, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 519.8, Count: 348382, OPS: 670.2, Avg(us): 1476, Min(us): 835, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
UPDATE - Takes(s): 529.8, Count: 354944, OPS: 670.0, Avg(us): 1477, Min(us): 835, Max(us): 200971, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 43000
