***************** properties *****************
"recordcount"="500000"
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"readallfields"="true"
"operationcount"="500000"
"workload"="core"
"insertproportion"="0"
"requestdistribution"="uniform"
"dotransactions"="true"
"readproportion"="0"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.8, Count: 6122, OPS: 625.6, Avg(us): 1619, Min(us): 1002, Max(us): 215242, 99th(us): 7000, 99.9th(us): 25000, 99.99th(us): 216000
UPDATE - Takes(s): 19.8, Count: 12285, OPS: 620.9, Avg(us): 1614, Min(us): 987, Max(us): 215242, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 39000
UPDATE - Takes(s): 29.8, Count: 18762, OPS: 629.9, Avg(us): 1585, Min(us): 969, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 58000
UPDATE - Takes(s): 39.8, Count: 24523, OPS: 616.4, Avg(us): 1617, Min(us): 969, Max(us): 215242, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 41000
UPDATE - Takes(s): 49.8, Count: 30213, OPS: 606.9, Avg(us): 1640, Min(us): 969, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 39000
UPDATE - Takes(s): 59.8, Count: 36167, OPS: 604.9, Avg(us): 1644, Min(us): 969, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 39000
UPDATE - Takes(s): 69.8, Count: 42023, OPS: 602.2, Avg(us): 1651, Min(us): 969, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 36000
UPDATE - Takes(s): 79.8, Count: 48030, OPS: 602.0, Avg(us): 1650, Min(us): 967, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 36000
UPDATE - Takes(s): 89.8, Count: 54110, OPS: 602.7, Avg(us): 1648, Min(us): 967, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 34000
UPDATE - Takes(s): 99.8, Count: 60185, OPS: 603.1, Avg(us): 1646, Min(us): 967, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 33000
UPDATE - Takes(s): 109.8, Count: 66119, OPS: 602.3, Avg(us): 1649, Min(us): 967, Max(us): 215242, 99th(us): 8000, 99.9th(us): 21000, 99.99th(us): 33000
