***************** properties *****************
"dotransactions"="true"
"operationcount"="500000"
"updateproportion"="1"
"scanproportion"="0"
"recordcount"="500000"
"readallfields"="true"
"readproportion"="0"
"insertproportion"="0"
"workload"="core"
"requestdistribution"="uniform"
"tikv.pd"="10.0.0.5:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4459, OPS: 454.4, Avg(us): 2226, Min(us): 1105, Max(us): 186959, 99th(us): 17000, 99.9th(us): 36000, 99.99th(us): 187000
UPDATE - Takes(s): 19.8, Count: 8910, OPS: 449.7, Avg(us): 2228, Min(us): 1063, Max(us): 186959, 99th(us): 18000, 99.9th(us): 36000, 99.99th(us): 187000
UPDATE - Takes(s): 29.8, Count: 13461, OPS: 451.5, Avg(us): 2212, Min(us): 1008, Max(us): 186959, 99th(us): 19000, 99.9th(us): 36000, 99.99th(us): 44000
UPDATE - Takes(s): 39.8, Count: 18054, OPS: 453.5, Avg(us): 2200, Min(us): 1008, Max(us): 186959, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 44000
UPDATE - Takes(s): 49.8, Count: 22513, OPS: 451.9, Avg(us): 2205, Min(us): 1008, Max(us): 186959, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 41000
UPDATE - Takes(s): 59.8, Count: 26775, OPS: 447.6, Avg(us): 2225, Min(us): 1008, Max(us): 186959, 99th(us): 18000, 99.9th(us): 34000, 99.99th(us): 41000
UPDATE - Takes(s): 69.8, Count: 31097, OPS: 445.4, Avg(us): 2235, Min(us): 1008, Max(us): 186959, 99th(us): 19000, 99.9th(us): 34000, 99.99th(us): 41000
UPDATE - Takes(s): 79.8, Count: 35461, OPS: 444.3, Avg(us): 2240, Min(us): 994, Max(us): 186959, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 41000
UPDATE - Takes(s): 89.8, Count: 39941, OPS: 444.7, Avg(us): 2238, Min(us): 994, Max(us): 186959, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 41000
UPDATE - Takes(s): 99.8, Count: 44552, OPS: 446.4, Avg(us): 2229, Min(us): 957, Max(us): 186959, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 41000
UPDATE - Takes(s): 109.8, Count: 49127, OPS: 447.4, Avg(us): 2224, Min(us): 957, Max(us): 186959, 99th(us): 19000, 99.9th(us): 35000, 99.99th(us): 41000
