***************** properties *****************
"readproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"insertproportion"="0"
"dotransactions"="true"
"readallfields"="true"
"operationcount"="500000"
"recordcount"="500000"
"updateproportion"="1"
"requestdistribution"="uniform"
"scanproportion"="0"
"workload"="core"
**********************************************
UPDATE - Takes(s): 9.8, Count: 6088, OPS: 618.9, Avg(us): 1625, Min(us): 971, Max(us): 162672, 99th(us): 7000, 99.9th(us): 18000, 99.99th(us): 163000
UPDATE - Takes(s): 19.8, Count: 12658, OPS: 638.1, Avg(us): 1562, Min(us): 851, Max(us): 162672, 99th(us): 7000, 99.9th(us): 18000, 99.99th(us): 46000
UPDATE - Takes(s): 29.8, Count: 18832, OPS: 631.2, Avg(us): 1576, Min(us): 851, Max(us): 162672, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 46000
UPDATE - Takes(s): 39.8, Count: 25040, OPS: 628.6, Avg(us): 1580, Min(us): 851, Max(us): 162672, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 36000
UPDATE - Takes(s): 49.8, Count: 31272, OPS: 627.5, Avg(us): 1582, Min(us): 851, Max(us): 162672, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 36000
UPDATE - Takes(s): 59.8, Count: 37543, OPS: 627.4, Avg(us): 1581, Min(us): 851, Max(us): 162672, 99th(us): 8000, 99.9th(us): 22000, 99.99th(us): 36000
UPDATE - Takes(s): 69.8, Count: 43993, OPS: 629.9, Avg(us): 1574, Min(us): 851, Max(us): 162672, 99th(us): 9000, 99.9th(us): 22000, 99.99th(us): 34000
UPDATE - Takes(s): 79.8, Count: 50277, OPS: 629.7, Avg(us): 1574, Min(us): 851, Max(us): 162672, 99th(us): 9000, 99.9th(us): 22000, 99.99th(us): 32000
UPDATE - Takes(s): 89.8, Count: 56609, OPS: 630.1, Avg(us): 1573, Min(us): 851, Max(us): 162672, 99th(us): 9000, 99.9th(us): 23000, 99.99th(us): 34000
UPDATE - Takes(s): 99.8, Count: 62961, OPS: 630.6, Avg(us): 1571, Min(us): 851, Max(us): 162672, 99th(us): 9000, 99.9th(us): 22000, 99.99th(us): 34000
UPDATE - Takes(s): 109.8, Count: 69448, OPS: 632.3, Avg(us): 1567, Min(us): 851, Max(us): 162672, 99th(us): 9000, 99.9th(us): 22000, 99.99th(us): 34000
