***************** properties *****************
"updateproportion"="1"
"recordcount"="500000"
"scanproportion"="0"
"requestdistribution"="uniform"
"workload"="core"
"insertproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"operationcount"="500000"
"readallfields"="true"
"readproportion"="0"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4809, OPS: 489.1, Avg(us): 2062, Min(us): 1002, Max(us): 167011, 99th(us): 15000, 99.9th(us): 25000, 99.99th(us): 168000
UPDATE - Takes(s): 19.8, Count: 9941, OPS: 501.2, Avg(us): 1995, Min(us): 969, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 168000
UPDATE - Takes(s): 29.8, Count: 15052, OPS: 504.5, Avg(us): 1976, Min(us): 969, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 39.8, Count: 20241, OPS: 508.1, Avg(us): 1959, Min(us): 969, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 49.8, Count: 25541, OPS: 512.5, Avg(us): 1941, Min(us): 959, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 59.8, Count: 30677, OPS: 512.7, Avg(us): 1939, Min(us): 959, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 69.8, Count: 35790, OPS: 512.5, Avg(us): 1939, Min(us): 955, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 79.8, Count: 40910, OPS: 512.4, Avg(us): 1938, Min(us): 955, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 89.8, Count: 46151, OPS: 513.7, Avg(us): 1933, Min(us): 955, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 99.8, Count: 51349, OPS: 514.3, Avg(us): 1930, Min(us): 955, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 109.8, Count: 56600, OPS: 515.3, Avg(us): 1926, Min(us): 955, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 119.8, Count: 61830, OPS: 516.0, Avg(us): 1924, Min(us): 933, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 129.8, Count: 67075, OPS: 516.6, Avg(us): 1921, Min(us): 933, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 139.8, Count: 72124, OPS: 515.8, Avg(us): 1924, Min(us): 933, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 32000
UPDATE - Takes(s): 149.8, Count: 77354, OPS: 516.3, Avg(us): 1922, Min(us): 933, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 159.8, Count: 82567, OPS: 516.6, Avg(us): 1921, Min(us): 933, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 169.8, Count: 87694, OPS: 516.4, Avg(us): 1922, Min(us): 933, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 179.8, Count: 92931, OPS: 516.8, Avg(us): 1920, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 189.8, Count: 98251, OPS: 517.6, Avg(us): 1917, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 199.8, Count: 103423, OPS: 517.5, Avg(us): 1917, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 209.8, Count: 108619, OPS: 517.6, Avg(us): 1917, Min(us): 875, Max(us): 167011, 99th(us): 13000, 99.9th(us): 23000, 99.99th(us): 34000
UPDATE - Takes(s): 219.8, Count: 113790, OPS: 517.6, Avg(us): 1917, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 23000, 99.99th(us): 34000
UPDATE - Takes(s): 229.8, Count: 118923, OPS: 517.4, Avg(us): 1917, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 34000
UPDATE - Takes(s): 239.8, Count: 123996, OPS: 517.0, Avg(us): 1919, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 34000
UPDATE - Takes(s): 249.8, Count: 129142, OPS: 516.9, Avg(us): 1919, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 34000
UPDATE - Takes(s): 259.8, Count: 134274, OPS: 516.8, Avg(us): 1919, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 34000
UPDATE - Takes(s): 269.8, Count: 139497, OPS: 517.0, Avg(us): 1919, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 34000
UPDATE - Takes(s): 279.8, Count: 144665, OPS: 517.0, Avg(us): 1919, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 34000
UPDATE - Takes(s): 289.8, Count: 149860, OPS: 517.1, Avg(us): 1918, Min(us): 875, Max(us): 167011, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 35000
