***************** properties *****************
"readproportion"="0"
"requestdistribution"="uniform"
"workload"="core"
"updateproportion"="1"
"recordcount"="500000"
"readallfields"="true"
"dotransactions"="true"
"scanproportion"="0"
"operationcount"="500000"
"insertproportion"="0"
"tikv.pd"="10.0.0.5:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 615, OPS: 62.9, Avg(us): 16054, Min(us): 1139, Max(us): 957368, 99th(us): 844000, 99.9th(us): 958000, 99.99th(us): 958000
UPDATE - Takes(s): 19.8, Count: 1242, OPS: 62.8, Avg(us): 15957, Min(us): 1061, Max(us): 957368, 99th(us): 856000, 99.9th(us): 921000, 99.99th(us): 958000
UPDATE - Takes(s): 29.8, Count: 1850, OPS: 62.1, Avg(us): 16129, Min(us): 1061, Max(us): 957368, 99th(us): 865000, 99.9th(us): 921000, 99.99th(us): 958000
UPDATE - Takes(s): 39.8, Count: 2379, OPS: 59.8, Avg(us): 16757, Min(us): 1061, Max(us): 957368, 99th(us): 871000, 99.9th(us): 929000, 99.99th(us): 958000
UPDATE - Takes(s): 49.8, Count: 3002, OPS: 60.3, Avg(us): 16592, Min(us): 1061, Max(us): 957368, 99th(us): 869000, 99.9th(us): 921000, 99.99th(us): 958000
UPDATE - Takes(s): 59.8, Count: 3558, OPS: 59.5, Avg(us): 16802, Min(us): 1058, Max(us): 957368, 99th(us): 873000, 99.9th(us): 929000, 99.99th(us): 958000
UPDATE - Takes(s): 69.8, Count: 4262, OPS: 61.1, Avg(us): 16381, Min(us): 1058, Max(us): 969614, 99th(us): 870000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 79.8, Count: 4914, OPS: 61.6, Avg(us): 16235, Min(us): 1058, Max(us): 969614, 99th(us): 866000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 89.8, Count: 5645, OPS: 62.9, Avg(us): 15889, Min(us): 1058, Max(us): 969614, 99th(us): 861000, 99.9th(us): 929000, 99.99th(us): 970000
UPDATE - Takes(s): 99.8, Count: 6228, OPS: 62.4, Avg(us): 16020, Min(us): 1028, Max(us): 969614, 99th(us): 863000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 109.8, Count: 6748, OPS: 61.5, Avg(us): 16254, Min(us): 1028, Max(us): 1003366, 99th(us): 864000, 99.9th(us): 935000, 99.99th(us): 1004000
UPDATE - Takes(s): 119.8, Count: 7394, OPS: 61.7, Avg(us): 16202, Min(us): 1028, Max(us): 1003366, 99th(us): 866000, 99.9th(us): 937000, 99.99th(us): 1004000
UPDATE - Takes(s): 129.8, Count: 8073, OPS: 62.2, Avg(us): 16071, Min(us): 1028, Max(us): 1003366, 99th(us): 864000, 99.9th(us): 935000, 99.99th(us): 1004000
UPDATE - Takes(s): 139.8, Count: 8739, OPS: 62.5, Avg(us): 15988, Min(us): 1028, Max(us): 1003366, 99th(us): 863000, 99.9th(us): 937000, 99.99th(us): 1004000
UPDATE - Takes(s): 149.8, Count: 9348, OPS: 62.4, Avg(us): 16015, Min(us): 1028, Max(us): 1003366, 99th(us): 864000, 99.9th(us): 935000, 99.99th(us): 1004000
UPDATE - Takes(s): 159.8, Count: 10050, OPS: 62.9, Avg(us): 15889, Min(us): 1028, Max(us): 1003366, 99th(us): 863000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 169.8, Count: 10743, OPS: 63.3, Avg(us): 15792, Min(us): 1028, Max(us): 1003366, 99th(us): 863000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 179.8, Count: 11368, OPS: 63.2, Avg(us): 15799, Min(us): 1028, Max(us): 1003366, 99th(us): 862000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 189.8, Count: 11990, OPS: 63.2, Avg(us): 15816, Min(us): 1028, Max(us): 1003366, 99th(us): 863000, 99.9th(us): 935000, 99.99th(us): 970000
UPDATE - Takes(s): 199.8, Count: 12700, OPS: 63.6, Avg(us): 15719, Min(us): 1028, Max(us): 1003366, 99th(us): 863000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 209.8, Count: 13323, OPS: 63.5, Avg(us): 15735, Min(us): 1028, Max(us): 1003366, 99th(us): 863000, 99.9th(us): 932000, 99.99th(us): 970000
UPDATE - Takes(s): 219.8, Count: 14006, OPS: 63.7, Avg(us): 15679, Min(us): 1028, Max(us): 1003366, 99th(us): 862000, 99.9th(us): 929000, 99.99th(us): 970000
UPDATE - Takes(s): 229.8, Count: 14677, OPS: 63.9, Avg(us): 15642, Min(us): 1028, Max(us): 1003366, 99th(us): 863000, 99.9th(us): 929000, 99.99th(us): 970000
UPDATE - Takes(s): 239.8, Count: 15430, OPS: 64.4, Avg(us): 15530, Min(us): 1028, Max(us): 1003366, 99th(us): 862000, 99.9th(us): 929000, 99.99th(us): 970000
