***************** properties *****************
"recordcount"="500000"
"workload"="core"
"operationcount"="500000"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"readproportion"="0"
"scanproportion"="0"
"insertproportion"="0"
"requestdistribution"="uniform"
"updateproportion"="1"
"readallfields"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 324, OPS: 32.9, Avg(us): 30646, Min(us): 1262, Max(us): 2312197, 99th(us): 162000, 99.9th(us): 2313000, 99.99th(us): 2313000
UPDATE - Takes(s): 19.8, Count: 811, OPS: 40.9, Avg(us): 24567, Min(us): 1211, Max(us): 2312197, 99th(us): 141000, 99.9th(us): 2313000, 99.99th(us): 2313000
UPDATE - Takes(s): 29.8, Count: 1284, OPS: 43.0, Avg(us): 23344, Min(us): 1123, Max(us): 2312197, 99th(us): 142000, 99.9th(us): 549000, 99.99th(us): 2313000
UPDATE - Takes(s): 39.8, Count: 1623, OPS: 40.7, Avg(us): 24616, Min(us): 1123, Max(us): 2312197, 99th(us): 151000, 99.9th(us): 549000, 99.99th(us): 2313000
UPDATE - Takes(s): 49.8, Count: 1984, OPS: 39.8, Avg(us): 25183, Min(us): 1123, Max(us): 2312197, 99th(us): 151000, 99.9th(us): 549000, 99.99th(us): 2313000
UPDATE - Takes(s): 59.8, Count: 2289, OPS: 38.3, Avg(us): 26178, Min(us): 1123, Max(us): 2312197, 99th(us): 152000, 99.9th(us): 488000, 99.99th(us): 2313000
UPDATE - Takes(s): 69.8, Count: 2718, OPS: 38.9, Avg(us): 25673, Min(us): 1123, Max(us): 2312197, 99th(us): 152000, 99.9th(us): 488000, 99.99th(us): 2313000
UPDATE - Takes(s): 79.8, Count: 3163, OPS: 39.6, Avg(us): 25261, Min(us): 1123, Max(us): 2312197, 99th(us): 152000, 99.9th(us): 488000, 99.99th(us): 2313000
UPDATE - Takes(s): 89.8, Count: 3634, OPS: 40.5, Avg(us): 24741, Min(us): 1123, Max(us): 2312197, 99th(us): 152000, 99.9th(us): 488000, 99.99th(us): 2313000
UPDATE - Takes(s): 99.8, Count: 4049, OPS: 40.6, Avg(us): 24669, Min(us): 1093, Max(us): 2312197, 99th(us): 152000, 99.9th(us): 300000, 99.99th(us): 2313000
UPDATE - Takes(s): 109.8, Count: 4410, OPS: 40.1, Avg(us): 24914, Min(us): 1093, Max(us): 2312197, 99th(us): 151000, 99.9th(us): 300000, 99.99th(us): 2313000
UPDATE - Takes(s): 119.8, Count: 4809, OPS: 40.1, Avg(us): 24931, Min(us): 1093, Max(us): 2312197, 99th(us): 150000, 99.9th(us): 300000, 99.99th(us): 2313000
UPDATE - Takes(s): 129.8, Count: 5134, OPS: 39.5, Avg(us): 25298, Min(us): 1093, Max(us): 2312197, 99th(us): 151000, 99.9th(us): 300000, 99.99th(us): 2313000
UPDATE - Takes(s): 139.8, Count: 5486, OPS: 39.2, Avg(us): 25485, Min(us): 1093, Max(us): 2312197, 99th(us): 151000, 99.9th(us): 300000, 99.99th(us): 2313000
UPDATE - Takes(s): 149.8, Count: 5867, OPS: 39.2, Avg(us): 25542, Min(us): 1093, Max(us): 2312197, 99th(us): 150000, 99.9th(us): 300000, 99.99th(us): 2313000
