***************** properties *****************
"insertproportion"="0"
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"requestdistribution"="uniform"
"operationcount"="500000"
"updateproportion"="1"
"readproportion"="0"
"workload"="core"
"readallfields"="true"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 5.7, Count: 16, OPS: 2.8, Avg(us): 6823582, Min(us): 1881, Max(us): 104284147, 99th(us): 104285000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 15.7, Count: 40, OPS: 2.5, Avg(us): 2971707, Min(us): 1762, Max(us): 104284147, 99th(us): 104285000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 25.7, Count: 56, OPS: 2.2, Avg(us): 2302800, Min(us): 1762, Max(us): 104284147, 99th(us): 104285000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 35.7, Count: 68, OPS: 1.9, Avg(us): 2056114, Min(us): 1762, Max(us): 104284147, 99th(us): 104285000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 45.7, Count: 83, OPS: 1.8, Avg(us): 1801099, Min(us): 1762, Max(us): 104284147, 99th(us): 104285000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 55.7, Count: 99, OPS: 1.8, Avg(us): 1607620, Min(us): 1762, Max(us): 104284147, 99th(us): 104285000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 65.7, Count: 122, OPS: 1.9, Avg(us): 1383978, Min(us): 1762, Max(us): 104284147, 99th(us): 1607000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 75.7, Count: 150, OPS: 2.0, Avg(us): 1192978, Min(us): 1762, Max(us): 104284147, 99th(us): 1607000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 85.7, Count: 166, OPS: 1.9, Avg(us): 1143388, Min(us): 1762, Max(us): 104284147, 99th(us): 1607000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 95.7, Count: 184, OPS: 1.9, Avg(us): 1086290, Min(us): 1762, Max(us): 104284147, 99th(us): 1607000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 105.7, Count: 196, OPS: 1.9, Avg(us): 1071094, Min(us): 1762, Max(us): 104284147, 99th(us): 1607000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 115.7, Count: 207, OPS: 1.8, Avg(us): 1056976, Min(us): 1762, Max(us): 104284147, 99th(us): 1606000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 125.7, Count: 222, OPS: 1.8, Avg(us): 1034489, Min(us): 1762, Max(us): 104284147, 99th(us): 1606000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 135.7, Count: 237, OPS: 1.7, Avg(us): 1011465, Min(us): 1762, Max(us): 104284147, 99th(us): 1606000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 145.7, Count: 252, OPS: 1.7, Avg(us): 991198, Min(us): 1762, Max(us): 104284147, 99th(us): 1606000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 155.7, Count: 266, OPS: 1.7, Avg(us): 975390, Min(us): 1762, Max(us): 104284147, 99th(us): 1606000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 165.7, Count: 281, OPS: 1.7, Avg(us): 959198, Min(us): 1762, Max(us): 104284147, 99th(us): 1606000, 99.9th(us): 104285000, 99.99th(us): 104285000
UPDATE - Takes(s): 175.7, Count: 303, OPS: 1.7, Avg(us): 922864, Min(us): 1762, Max(us): 104284147, 99th(us): 1606000, 99.9th(us): 104285000, 99.99th(us): 104285000
