***************** properties *****************
"scanproportion"="0"
"dotransactions"="true"
"requestdistribution"="uniform"
"workload"="core"
"readproportion"="0"
"insertproportion"="0"
"recordcount"="500000"
"operationcount"="500000"
"readallfields"="true"
"updateproportion"="1"
"tikv.pd"="10.0.0.5:2379"
**********************************************
UPDATE - Takes(s): 5.7, Count: 37, OPS: 6.5, Avg(us): 2959770, Min(us): 1356, Max(us): 104264482, 99th(us): 104265000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 15.7, Count: 84, OPS: 5.3, Avg(us): 1419188, Min(us): 1333, Max(us): 104264482, 99th(us): 104265000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 25.7, Count: 110, OPS: 4.3, Avg(us): 1171498, Min(us): 1333, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 35.7, Count: 144, OPS: 4.0, Avg(us): 970336, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 45.7, Count: 198, OPS: 4.3, Avg(us): 754696, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 55.7, Count: 226, OPS: 4.1, Avg(us): 703915, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 65.7, Count: 274, OPS: 4.2, Avg(us): 620387, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 75.7, Count: 309, OPS: 4.1, Avg(us): 581469, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 85.7, Count: 378, OPS: 4.4, Avg(us): 501105, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 95.7, Count: 421, OPS: 4.4, Avg(us): 472894, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 105.7, Count: 468, OPS: 4.4, Avg(us): 446171, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 115.7, Count: 510, OPS: 4.4, Avg(us): 430746, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 125.7, Count: 542, OPS: 4.3, Avg(us): 423139, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 135.7, Count: 573, OPS: 4.2, Avg(us): 417120, Min(us): 1085, Max(us): 104264482, 99th(us): 1204000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 145.7, Count: 593, OPS: 4.1, Avg(us): 421336, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 155.7, Count: 606, OPS: 3.9, Avg(us): 428190, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 165.7, Count: 621, OPS: 3.7, Avg(us): 433366, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 175.7, Count: 660, OPS: 3.8, Avg(us): 423032, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 185.7, Count: 705, OPS: 3.8, Avg(us): 409753, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 195.7, Count: 748, OPS: 3.8, Avg(us): 400744, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 205.7, Count: 759, OPS: 3.7, Avg(us): 407665, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 215.7, Count: 770, OPS: 3.6, Avg(us): 414342, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
UPDATE - Takes(s): 225.7, Count: 792, OPS: 3.5, Avg(us): 416548, Min(us): 1085, Max(us): 104264482, 99th(us): 1205000, 99.9th(us): 104265000, 99.99th(us): 104265000
