***************** properties *****************
"dotransactions"="true"
"readallfields"="true"
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"operationcount"="500000"
"insertproportion"="0"
"workload"="core"
"requestdistribution"="uniform"
"recordcount"="500000"
"readproportion"="0"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.8, Count: 3862, OPS: 393.9, Avg(us): 2575, Min(us): 1031, Max(us): 267357, 99th(us): 18000, 99.9th(us): 220000, 99.99th(us): 268000
UPDATE - Takes(s): 19.8, Count: 8441, OPS: 426.2, Avg(us): 2356, Min(us): 950, Max(us): 267357, 99th(us): 16000, 99.9th(us): 217000, 99.99th(us): 268000
UPDATE - Takes(s): 29.8, Count: 13697, OPS: 459.6, Avg(us): 2176, Min(us): 879, Max(us): 267357, 99th(us): 15000, 99.9th(us): 215000, 99.99th(us): 223000
UPDATE - Takes(s): 39.8, Count: 18736, OPS: 470.7, Avg(us): 2120, Min(us): 879, Max(us): 267357, 99th(us): 14000, 99.9th(us): 214000, 99.99th(us): 223000
UPDATE - Takes(s): 49.8, Count: 22579, OPS: 453.4, Avg(us): 2199, Min(us): 879, Max(us): 267357, 99th(us): 14000, 99.9th(us): 214000, 99.99th(us): 223000
UPDATE - Takes(s): 59.8, Count: 27253, OPS: 455.7, Avg(us): 2187, Min(us): 879, Max(us): 267357, 99th(us): 14000, 99.9th(us): 214000, 99.99th(us): 223000
UPDATE - Takes(s): 69.8, Count: 31808, OPS: 455.7, Avg(us): 2186, Min(us): 879, Max(us): 267357, 99th(us): 15000, 99.9th(us): 213000, 99.99th(us): 220000
UPDATE - Takes(s): 79.8, Count: 36403, OPS: 456.2, Avg(us): 2180, Min(us): 879, Max(us): 267357, 99th(us): 15000, 99.9th(us): 213000, 99.99th(us): 222000
UPDATE - Takes(s): 89.8, Count: 40937, OPS: 455.8, Avg(us): 2184, Min(us): 879, Max(us): 267357, 99th(us): 15000, 99.9th(us): 212000, 99.99th(us): 220000
UPDATE - Takes(s): 99.8, Count: 46166, OPS: 462.6, Avg(us): 2151, Min(us): 879, Max(us): 417430, 99th(us): 15000, 99.9th(us): 212000, 99.99th(us): 222000
UPDATE - Takes(s): 109.8, Count: 51542, OPS: 469.4, Avg(us): 2119, Min(us): 879, Max(us): 417430, 99th(us): 14000, 99.9th(us): 212000, 99.99th(us): 220000
UPDATE - Takes(s): 119.8, Count: 56873, OPS: 474.7, Avg(us): 2095, Min(us): 879, Max(us): 417430, 99th(us): 14000, 99.9th(us): 211000, 99.99th(us): 220000
UPDATE - Takes(s): 129.8, Count: 62215, OPS: 479.3, Avg(us): 2075, Min(us): 879, Max(us): 417430, 99th(us): 14000, 99.9th(us): 210000, 99.99th(us): 220000
UPDATE - Takes(s): 139.8, Count: 67248, OPS: 481.0, Avg(us): 2067, Min(us): 879, Max(us): 417430, 99th(us): 14000, 99.9th(us): 210000, 99.99th(us): 220000
