Adding shard node URL: jdbc:postgresql://10.0.0.34:26257/ycsb?sslmode=disable
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 876072
[OVERALL], Throughput(ops/sec), 570.7293464464108
[TOTAL_GCS_Copy], Count, 11
[TOTAL_GC_TIME_Copy], Time(ms), 66
[TOTAL_GC_TIME_%_Copy], Time(%), 0.007533627373092623
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 11
[TOTAL_GC_TIME], Time(ms), 66
[TOTAL_GC_TIME_%], Time(%), 0.007533627373092623
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 284.0
[CLEANUP], MinLatency(us), 284
[CLEANUP], MaxLatency(us), 284
[CLEANUP], 99thPercentileLatency(us), 284
[CLEANUP], 99.9PercentileLatency(us), 284
[UPDATE], Operations, 500000
[UPDATE], AverageLatency(us), 1746.643778
[UPDATE], MinLatency(us), 1049
[UPDATE], MaxLatency(us), 140415
[UPDATE], 99thPercentileLatency(us), 4027
[UPDATE], 99.9PercentileLatency(us), 20255
[UPDATE], Return=OK, 500000
