***************** properties *****************
"workload"="core"
"readproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"threadcount"="512"
"operationcount"="5000000"
"recordcount"="1200000"
"dotransactions"="true"
"requestdistribution"="zipfian"
"scanproportion"="0"
"readallfields"="true"
"updateproportion"="1"
"insertproportion"="0"
**********************************************
UPDATE - Takes(s): 9.7, Count: 71428, OPS: 7355.8, Avg(us): 71342, Min(us): 15419, Max(us): 390284, 99th(us): 123000, 99.9th(us): 372000, 99.99th(us): 385000
UPDATE - Takes(s): 19.7, Count: 131066, OPS: 6649.7, Avg(us): 77910, Min(us): 13895, Max(us): 1010546, 99th(us): 340000, 99.9th(us): 986000, 99.99th(us): 1002000
UPDATE - Takes(s): 29.7, Count: 193854, OPS: 6524.8, Avg(us): 77532, Min(us): 13895, Max(us): 1138196, 99th(us): 331000, 99.9th(us): 1080000, 99.99th(us): 1131000
UPDATE - Takes(s): 39.7, Count: 242392, OPS: 6104.0, Avg(us): 84361, Min(us): 13895, Max(us): 1144933, 99th(us): 746000, 99.9th(us): 1078000, 99.99th(us): 1143000
UPDATE - Takes(s): 49.7, Count: 307425, OPS: 6184.3, Avg(us): 83185, Min(us): 13895, Max(us): 1351904, 99th(us): 387000, 99.9th(us): 1293000, 99.99th(us): 1330000
UPDATE - Takes(s): 59.7, Count: 377192, OPS: 6316.9, Avg(us): 81386, Min(us): 13895, Max(us): 1351904, 99th(us): 354000, 99.9th(us): 1289000, 99.99th(us): 1329000
UPDATE - Takes(s): 69.7, Count: 438707, OPS: 6293.1, Avg(us): 81640, Min(us): 13895, Max(us): 1366092, 99th(us): 750000, 99.9th(us): 1307000, 99.99th(us): 1340000
UPDATE - Takes(s): 79.7, Count: 504753, OPS: 6332.3, Avg(us): 79929, Min(us): 13895, Max(us): 1366092, 99th(us): 340000, 99.9th(us): 1305000, 99.99th(us): 1340000
UPDATE - Takes(s): 89.7, Count: 549398, OPS: 6124.1, Avg(us): 83712, Min(us): 13895, Max(us): 1965227, 99th(us): 746000, 99.9th(us): 1329000, 99.99th(us): 1940000
UPDATE - Takes(s): 99.7, Count: 609944, OPS: 6117.1, Avg(us): 82873, Min(us): 13895, Max(us): 1965227, 99th(us): 426000, 99.9th(us): 1323000, 99.99th(us): 1937000
UPDATE - Takes(s): 109.7, Count: 662770, OPS: 6041.1, Avg(us): 84802, Min(us): 13895, Max(us): 1965227, 99th(us): 770000, 99.9th(us): 1320000, 99.99th(us): 1935000
