***************** properties *****************
"scanproportion"="0"
"updateproportion"="1"
"threadcount"="512"
"readallfields"="true"
"insertproportion"="0"
"workload"="core"
"requestdistribution"="zipfian"
"operationcount"="5000000"
"readproportion"="0"
"recordcount"="1200000"
"tikv.pd"="10.0.0.9:2379"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 64129, OPS: 6562.6, Avg(us): 79523, Min(us): 16507, Max(us): 345588, 99th(us): 149000, 99.9th(us): 332000, 99.99th(us): 340000
UPDATE - Takes(s): 19.8, Count: 119299, OPS: 6033.7, Avg(us): 85614, Min(us): 10131, Max(us): 1069352, 99th(us): 885000, 99.9th(us): 1021000, 99.99th(us): 1040000
UPDATE - Takes(s): 29.8, Count: 184900, OPS: 6210.5, Avg(us): 82489, Min(us): 10131, Max(us): 1312503, 99th(us): 873000, 99.9th(us): 1272000, 99.99th(us): 1290000
UPDATE - Takes(s): 39.8, Count: 222453, OPS: 5593.2, Avg(us): 91962, Min(us): 10131, Max(us): 1329841, 99th(us): 898000, 99.9th(us): 1303000, 99.99th(us): 1326000
UPDATE - Takes(s): 49.8, Count: 294227, OPS: 5911.4, Avg(us): 86541, Min(us): 10131, Max(us): 1329841, 99th(us): 764000, 99.9th(us): 1295000, 99.99th(us): 1325000
UPDATE - Takes(s): 59.8, Count: 346310, OPS: 5793.6, Avg(us): 88634, Min(us): 10131, Max(us): 1398596, 99th(us): 882000, 99.9th(us): 1316000, 99.99th(us): 1364000
UPDATE - Takes(s): 69.8, Count: 406071, OPS: 5819.9, Avg(us): 88046, Min(us): 10131, Max(us): 1398596, 99th(us): 875000, 99.9th(us): 1320000, 99.99th(us): 1363000
UPDATE - Takes(s): 79.8, Count: 442337, OPS: 5545.0, Avg(us): 92516, Min(us): 10131, Max(us): 1398596, 99th(us): 883000, 99.9th(us): 1321000, 99.99th(us): 1363000
UPDATE - Takes(s): 89.8, Count: 514986, OPS: 5736.6, Avg(us): 89344, Min(us): 10131, Max(us): 1398596, 99th(us): 844000, 99.9th(us): 1320000, 99.99th(us): 1362000
UPDATE - Takes(s): 99.8, Count: 566264, OPS: 5675.5, Avg(us): 90351, Min(us): 10131, Max(us): 1398596, 99th(us): 874000, 99.9th(us): 1321000, 99.99th(us): 1362000
UPDATE - Takes(s): 109.8, Count: 626725, OPS: 5709.3, Avg(us): 89128, Min(us): 10131, Max(us): 1398596, 99th(us): 870000, 99.9th(us): 1321000, 99.99th(us): 1362000
