***************** properties *****************
"readproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"readallfields"="true"
"scanproportion"="0"
"operationcount"="5000000"
"workload"="core"
"recordcount"="1200000"
"threadcount"="512"
"insertproportion"="0"
"requestdistribution"="zipfian"
"dotransactions"="true"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.1, Count: 1685, OPS: 185.0, Avg(us): 2554582, Min(us): 905383, Max(us): 5971980, 99th(us): 4983000, 99.9th(us): 5972000, 99.99th(us): 5972000
UPDATE - Takes(s): 19.1, Count: 3804, OPS: 199.1, Avg(us): 2583376, Min(us): 39139, Max(us): 6957192, 99th(us): 5009000, 99.9th(us): 6002000, 99.99th(us): 6958000
UPDATE - Takes(s): 29.1, Count: 5861, OPS: 201.4, Avg(us): 2539823, Min(us): 27146, Max(us): 7010654, 99th(us): 5965000, 99.9th(us): 6023000, 99.99th(us): 7011000
UPDATE - Takes(s): 39.1, Count: 7951, OPS: 203.3, Avg(us): 2522423, Min(us): 27146, Max(us): 7010654, 99th(us): 5964000, 99.9th(us): 6016000, 99.99th(us): 7011000
UPDATE - Takes(s): 49.1, Count: 10091, OPS: 205.5, Avg(us): 2488485, Min(us): 27146, Max(us): 7010654, 99th(us): 5037000, 99.9th(us): 6023000, 99.99th(us): 7007000
UPDATE - Takes(s): 59.1, Count: 12380, OPS: 209.5, Avg(us): 2445271, Min(us): 27146, Max(us): 7010654, 99th(us): 5022000, 99.9th(us): 6019000, 99.99th(us): 7007000
UPDATE - Takes(s): 69.1, Count: 14688, OPS: 212.5, Avg(us): 2405504, Min(us): 27146, Max(us): 7010654, 99th(us): 5019000, 99.9th(us): 6016000, 99.99th(us): 7007000
UPDATE - Takes(s): 79.1, Count: 17144, OPS: 216.7, Avg(us): 2369812, Min(us): 27146, Max(us): 7010654, 99th(us): 5016000, 99.9th(us): 6016000, 99.99th(us): 7007000
UPDATE - Takes(s): 89.1, Count: 19327, OPS: 216.9, Avg(us): 2362739, Min(us): 27146, Max(us): 7010654, 99th(us): 5014000, 99.9th(us): 6013000, 99.99th(us): 7007000
UPDATE - Takes(s): 99.1, Count: 21531, OPS: 217.3, Avg(us): 2354971, Min(us): 27146, Max(us): 7010654, 99th(us): 5015000, 99.9th(us): 6011000, 99.99th(us): 7006000
UPDATE - Takes(s): 109.1, Count: 24119, OPS: 221.1, Avg(us): 2318323, Min(us): 27146, Max(us): 7010654, 99th(us): 5011000, 99.9th(us): 6005000, 99.99th(us): 7006000
