***************** properties *****************
"threadcount"="512"
"operationcount"="5000000"
"requestdistribution"="zipfian"
"updateproportion"="1"
"scanproportion"="0"
"insertproportion"="0"
"workload"="core"
"recordcount"="1200000"
"dotransactions"="true"
"readallfields"="true"
"readproportion"="0"
"tikv.pd"="10.0.0.9:2379"
**********************************************
UPDATE - Takes(s): 7.7, Count: 2856, OPS: 371.5, Avg(us): 1685180, Min(us): 360615, Max(us): 4458749, 99th(us): 3370000, 99.9th(us): 3713000, 99.99th(us): 4459000
UPDATE - Takes(s): 17.7, Count: 5735, OPS: 324.2, Avg(us): 1687724, Min(us): 313442, Max(us): 4458749, 99th(us): 3414000, 99.9th(us): 3796000, 99.99th(us): 4092000
UPDATE - Takes(s): 27.7, Count: 8506, OPS: 307.2, Avg(us): 1732406, Min(us): 237725, Max(us): 5674122, 99th(us): 3820000, 99.9th(us): 5120000, 99.99th(us): 5675000
UPDATE - Takes(s): 37.7, Count: 11321, OPS: 300.4, Avg(us): 1754270, Min(us): 177086, Max(us): 6253052, 99th(us): 4272000, 99.9th(us): 5364000, 99.99th(us): 5724000
UPDATE - Takes(s): 47.7, Count: 14157, OPS: 296.9, Avg(us): 1767946, Min(us): 177086, Max(us): 6253052, 99th(us): 4307000, 99.9th(us): 5364000, 99.99th(us): 5724000
UPDATE - Takes(s): 57.7, Count: 17189, OPS: 298.0, Avg(us): 1756601, Min(us): 177086, Max(us): 6253052, 99th(us): 4272000, 99.9th(us): 5355000, 99.99th(us): 5724000
UPDATE - Takes(s): 67.7, Count: 20229, OPS: 298.9, Avg(us): 1740325, Min(us): 171969, Max(us): 6253052, 99th(us): 4201000, 99.9th(us): 5312000, 99.99th(us): 5711000
UPDATE - Takes(s): 77.7, Count: 23250, OPS: 299.3, Avg(us): 1737478, Min(us): 171969, Max(us): 6253052, 99th(us): 4214000, 99.9th(us): 5266000, 99.99th(us): 5724000
UPDATE - Takes(s): 87.7, Count: 26212, OPS: 298.9, Avg(us): 1739537, Min(us): 171969, Max(us): 6253052, 99th(us): 4211000, 99.9th(us): 5141000, 99.99th(us): 5724000
UPDATE - Takes(s): 97.7, Count: 29231, OPS: 299.2, Avg(us): 1734838, Min(us): 171969, Max(us): 6253052, 99th(us): 4212000, 99.9th(us): 5141000, 99.99th(us): 5724000
UPDATE - Takes(s): 107.7, Count: 32196, OPS: 299.0, Avg(us): 1731642, Min(us): 133626, Max(us): 6253052, 99th(us): 4229000, 99.9th(us): 5120000, 99.99th(us): 5711000
