***************** properties *****************
"readproportion"="0"
"updateproportion"="1"
"tikv.pd"="10.0.0.9:2379"
"threadcount"="512"
"operationcount"="5000000"
"readallfields"="true"
"insertproportion"="0"
"dotransactions"="true"
"recordcount"="1200000"
"scanproportion"="0"
"requestdistribution"="zipfian"
"workload"="core"
**********************************************
UPDATE - Takes(s): 7.7, Count: 1260, OPS: 164.4, Avg(us): 3229273, Min(us): 848602, Max(us): 4980183, 99th(us): 4842000, 99.9th(us): 4980000, 99.99th(us): 4981000
UPDATE - Takes(s): 17.7, Count: 2949, OPS: 166.9, Avg(us): 3168846, Min(us): 417085, Max(us): 6845107, 99th(us): 5601000, 99.9th(us): 6689000, 99.99th(us): 6846000
UPDATE - Takes(s): 27.7, Count: 4620, OPS: 167.0, Avg(us): 3174063, Min(us): 417085, Max(us): 8496771, 99th(us): 6169000, 99.9th(us): 7765000, 99.99th(us): 8497000
UPDATE - Takes(s): 37.7, Count: 6267, OPS: 166.4, Avg(us): 3116638, Min(us): 417085, Max(us): 8496771, 99th(us): 6329000, 99.9th(us): 7765000, 99.99th(us): 8497000
UPDATE - Takes(s): 47.7, Count: 7962, OPS: 167.0, Avg(us): 3102741, Min(us): 417085, Max(us): 8960534, 99th(us): 6643000, 99.9th(us): 7875000, 99.99th(us): 8961000
UPDATE - Takes(s): 57.7, Count: 9683, OPS: 167.9, Avg(us): 3052574, Min(us): 417085, Max(us): 9204734, 99th(us): 6702000, 99.9th(us): 8177000, 99.99th(us): 9205000
UPDATE - Takes(s): 67.7, Count: 11591, OPS: 171.3, Avg(us): 3020932, Min(us): 314502, Max(us): 9204734, 99th(us): 6662000, 99.9th(us): 7927000, 99.99th(us): 8961000
UPDATE - Takes(s): 77.7, Count: 13286, OPS: 171.1, Avg(us): 3006979, Min(us): 314502, Max(us): 9204734, 99th(us): 6768000, 99.9th(us): 8177000, 99.99th(us): 8961000
UPDATE - Takes(s): 87.7, Count: 14968, OPS: 170.7, Avg(us): 2994737, Min(us): 265118, Max(us): 10170194, 99th(us): 6865000, 99.9th(us): 8530000, 99.99th(us): 9205000
UPDATE - Takes(s): 97.7, Count: 16796, OPS: 172.0, Avg(us): 2997382, Min(us): 265118, Max(us): 10280442, 99th(us): 7012000, 99.9th(us): 8943000, 99.99th(us): 10171000
UPDATE - Takes(s): 107.7, Count: 18748, OPS: 174.1, Avg(us): 2984550, Min(us): 265118, Max(us): 10280442, 99th(us): 6917000, 99.9th(us): 8741000, 99.99th(us): 10171000
UPDATE - Takes(s): 117.7, Count: 20506, OPS: 174.3, Avg(us): 2954877, Min(us): 265118, Max(us): 10280442, 99th(us): 6846000, 99.9th(us): 8569000, 99.99th(us): 9909000
UPDATE - Takes(s): 127.7, Count: 22310, OPS: 174.8, Avg(us): 2937275, Min(us): 6867, Max(us): 10280442, 99th(us): 6777000, 99.9th(us): 8565000, 99.99th(us): 9909000
