***************** properties *****************
"updateproportion"="1"
"operationcount"="5000000"
"workload"="core"
"recordcount"="1200000"
"threadcount"="512"
"readproportion"="0"
"requestdistribution"="zipfian"
"insertproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"dotransactions"="true"
"scanproportion"="0"
"readallfields"="true"
**********************************************
UPDATE - Takes(s): 5.5, Count: 67, OPS: 12.3, Avg(us): 6270823, Min(us): 4528411, Max(us): 9393815, 99th(us): 9394000, 99.9th(us): 9394000, 99.99th(us): 9394000
UPDATE - Takes(s): 15.5, Count: 167, OPS: 10.8, Avg(us): 11722436, Min(us): 4528411, Max(us): 19644234, 99th(us): 19645000, 99.9th(us): 19645000, 99.99th(us): 19645000
UPDATE - Takes(s): 25.5, Count: 167, OPS: 6.6, Avg(us): 11722436, Min(us): 4528411, Max(us): 19644234, 99th(us): 19645000, 99.9th(us): 19645000, 99.99th(us): 19645000
UPDATE - Takes(s): 35.5, Count: 167, OPS: 4.7, Avg(us): 11722436, Min(us): 4528411, Max(us): 19644234, 99th(us): 19645000, 99.9th(us): 19645000, 99.99th(us): 19645000
UPDATE - Takes(s): 45.5, Count: 167, OPS: 3.7, Avg(us): 11722436, Min(us): 4528411, Max(us): 19644234, 99th(us): 19645000, 99.9th(us): 19645000, 99.99th(us): 19645000
UPDATE - Takes(s): 55.5, Count: 167, OPS: 3.0, Avg(us): 11722436, Min(us): 4528411, Max(us): 19644234, 99th(us): 19645000, 99.9th(us): 19645000, 99.99th(us): 19645000
UPDATE - Takes(s): 65.5, Count: 167, OPS: 2.6, Avg(us): 11722436, Min(us): 4528411, Max(us): 19644234, 99th(us): 19645000, 99.9th(us): 19645000, 99.99th(us): 19645000
UPDATE - Takes(s): 75.5, Count: 750, OPS: 9.9, Avg(us): 50564837, Min(us): 1442805, Max(us): 74618241, 99th(us): 74608000, 99.9th(us): 74619000, 99.99th(us): 74619000
UPDATE - Takes(s): 85.5, Count: 859, OPS: 10.1, Avg(us): 45753993, Min(us): 1442805, Max(us): 76308620, 99th(us): 74608000, 99.9th(us): 76309000, 99.99th(us): 76309000
UPDATE - Takes(s): 95.5, Count: 901, OPS: 9.4, Avg(us): 44458039, Min(us): 1442805, Max(us): 76308620, 99th(us): 74608000, 99.9th(us): 76309000, 99.99th(us): 76309000
UPDATE - Takes(s): 105.5, Count: 901, OPS: 8.5, Avg(us): 44458039, Min(us): 1442805, Max(us): 76308620, 99th(us): 74608000, 99.9th(us): 76309000, 99.99th(us): 76309000
UPDATE - Takes(s): 115.5, Count: 901, OPS: 7.8, Avg(us): 44458039, Min(us): 1442805, Max(us): 76308620, 99th(us): 74608000, 99.9th(us): 76309000, 99.99th(us): 76309000
UPDATE - Takes(s): 125.5, Count: 912, OPS: 7.3, Avg(us): 44230716, Min(us): 9251, Max(us): 76308620, 99th(us): 74608000, 99.9th(us): 76309000, 99.99th(us): 76309000
UPDATE - Takes(s): 135.5, Count: 1037, OPS: 7.7, Avg(us): 44404506, Min(us): 9153, Max(us): 76308620, 99th(us): 74074000, 99.9th(us): 74619000, 99.99th(us): 76309000
UPDATE - Takes(s): 145.5, Count: 1611, OPS: 11.1, Avg(us): 43588870, Min(us): 5666, Max(us): 124164060, 99th(us): 74616000, 99.9th(us): 76309000, 99.99th(us): 124165000
UPDATE - Takes(s): 155.5, Count: 1809, OPS: 11.6, Avg(us): 41762203, Min(us): 5666, Max(us): 124164060, 99th(us): 75108000, 99.9th(us): 76309000, 99.99th(us): 124165000
UPDATE - Takes(s): 165.5, Count: 1872, OPS: 11.3, Avg(us): 40890396, Min(us): 5666, Max(us): 124164060, 99th(us): 75114000, 99.9th(us): 79262000, 99.99th(us): 124165000
UPDATE - Takes(s): 175.5, Count: 1877, OPS: 10.7, Avg(us): 40824350, Min(us): 5666, Max(us): 124164060, 99th(us): 75114000, 99.9th(us): 79262000, 99.99th(us): 124165000
UPDATE - Takes(s): 185.5, Count: 1939, OPS: 10.5, Avg(us): 40328260, Min(us): 5666, Max(us): 124164060, 99th(us): 75108000, 99.9th(us): 79262000, 99.99th(us): 124165000
UPDATE - Takes(s): 195.5, Count: 1951, OPS: 10.0, Avg(us): 40286444, Min(us): 5666, Max(us): 124164060, 99th(us): 75108000, 99.9th(us): 79262000, 99.99th(us): 124165000
UPDATE - Takes(s): 205.5, Count: 2550, OPS: 12.4, Avg(us): 41150576, Min(us): 5666, Max(us): 124164060, 99th(us): 74929000, 99.9th(us): 121275000, 99.99th(us): 124165000
UPDATE - Takes(s): 215.5, Count: 2734, OPS: 12.7, Avg(us): 39435934, Min(us): 5666, Max(us): 124164060, 99th(us): 74925000, 99.9th(us): 121275000, 99.99th(us): 124165000
UPDATE - Takes(s): 225.5, Count: 2878, OPS: 12.8, Avg(us): 38090065, Min(us): 5666, Max(us): 137506092, 99th(us): 74925000, 99.9th(us): 122191000, 99.99th(us): 137507000
UPDATE - Takes(s): 235.5, Count: 2878, OPS: 12.2, Avg(us): 38090065, Min(us): 5666, Max(us): 137506092, 99th(us): 74925000, 99.9th(us): 122191000, 99.99th(us): 137507000
UPDATE - Takes(s): 245.5, Count: 2878, OPS: 11.7, Avg(us): 38090065, Min(us): 5666, Max(us): 137506092, 99th(us): 74925000, 99.9th(us): 122191000, 99.99th(us): 137507000
UPDATE - Takes(s): 255.5, Count: 2878, OPS: 11.3, Avg(us): 38090065, Min(us): 5666, Max(us): 137506092, 99th(us): 74925000, 99.9th(us): 122191000, 99.99th(us): 137507000
