***************** properties *****************
"insertproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"threadcount"="512"
"readallfields"="true"
"readproportion"="0"
"scanproportion"="0"
"operationcount"="5000000"
"workload"="core"
"dotransactions"="true"
"updateproportion"="1"
"requestdistribution"="zipfian"
"recordcount"="1200000"
**********************************************
UPDATE - Takes(s): 7.6, Count: 81, OPS: 10.7, Avg(us): 6283710, Min(us): 2422274, Max(us): 9397720, 99th(us): 9398000, 99.9th(us): 9398000, 99.99th(us): 9398000
UPDATE - Takes(s): 17.6, Count: 159, OPS: 9.0, Avg(us): 10027768, Min(us): 2422274, Max(us): 18738521, 99th(us): 18738000, 99.9th(us): 18739000, 99.99th(us): 18739000
UPDATE - Takes(s): 27.6, Count: 180, OPS: 6.5, Avg(us): 10790030, Min(us): 2422274, Max(us): 19681201, 99th(us): 19159000, 99.9th(us): 19682000, 99.99th(us): 19682000
UPDATE - Takes(s): 37.6, Count: 180, OPS: 4.8, Avg(us): 10790030, Min(us): 2422274, Max(us): 19681201, 99th(us): 19159000, 99.9th(us): 19682000, 99.99th(us): 19682000
UPDATE - Takes(s): 47.6, Count: 180, OPS: 3.8, Avg(us): 10790030, Min(us): 2422274, Max(us): 19681201, 99th(us): 19159000, 99.9th(us): 19682000, 99.99th(us): 19682000
UPDATE - Takes(s): 57.6, Count: 180, OPS: 3.1, Avg(us): 10790030, Min(us): 2422274, Max(us): 19681201, 99th(us): 19159000, 99.9th(us): 19682000, 99.99th(us): 19682000
UPDATE - Takes(s): 67.6, Count: 180, OPS: 2.7, Avg(us): 10790030, Min(us): 2422274, Max(us): 19681201, 99th(us): 19159000, 99.9th(us): 19682000, 99.99th(us): 19682000
UPDATE - Takes(s): 77.6, Count: 762, OPS: 9.8, Avg(us): 49740903, Min(us): 921686, Max(us): 74041083, 99th(us): 74040000, 99.9th(us): 74042000, 99.99th(us): 74042000
UPDATE - Takes(s): 87.6, Count: 858, OPS: 9.8, Avg(us): 45454856, Min(us): 921686, Max(us): 74041083, 99th(us): 74040000, 99.9th(us): 74042000, 99.99th(us): 74042000
UPDATE - Takes(s): 97.6, Count: 898, OPS: 9.2, Avg(us): 44240031, Min(us): 921686, Max(us): 74041083, 99th(us): 74040000, 99.9th(us): 74042000, 99.99th(us): 74042000
UPDATE - Takes(s): 107.6, Count: 898, OPS: 8.3, Avg(us): 44240031, Min(us): 921686, Max(us): 74041083, 99th(us): 74040000, 99.9th(us): 74042000, 99.99th(us): 74042000
