***************** properties *****************
"requestdistribution"="zipfian"
"scanproportion"="0"
"readproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"updateproportion"="1"
"recordcount"="1200000"
"insertproportion"="0"
"readallfields"="true"
"dotransactions"="true"
"threadcount"="512"
"operationcount"="5000000"
"workload"="core"
**********************************************
UPDATE - Takes(s): 9.8, Count: 71587, OPS: 7310.5, Avg(us): 68206, Min(us): 16386, Max(us): 482889, 99th(us): 143000, 99.9th(us): 455000, 99.99th(us): 464000
UPDATE - Takes(s): 19.8, Count: 136046, OPS: 6873.7, Avg(us): 75114, Min(us): 14519, Max(us): 1116366, 99th(us): 454000, 99.9th(us): 1085000, 99.99th(us): 1112000
UPDATE - Takes(s): 29.8, Count: 195011, OPS: 6545.6, Avg(us): 78273, Min(us): 12559, Max(us): 1288557, 99th(us): 748000, 99.9th(us): 1243000, 99.99th(us): 1280000
UPDATE - Takes(s): 39.8, Count: 253303, OPS: 6365.6, Avg(us): 80730, Min(us): 12453, Max(us): 1288557, 99th(us): 446000, 99.9th(us): 1234000, 99.99th(us): 1278000
UPDATE - Takes(s): 49.8, Count: 315227, OPS: 6330.8, Avg(us): 81106, Min(us): 12453, Max(us): 1325098, 99th(us): 477000, 99.9th(us): 1300000, 99.99th(us): 1321000
UPDATE - Takes(s): 59.8, Count: 391957, OPS: 6555.0, Avg(us): 78312, Min(us): 10484, Max(us): 1325098, 99th(us): 325000, 99.9th(us): 1290000, 99.99th(us): 1318000
UPDATE - Takes(s): 69.8, Count: 454096, OPS: 6506.4, Avg(us): 78874, Min(us): 10484, Max(us): 1402008, 99th(us): 449000, 99.9th(us): 1323000, 99.99th(us): 1381000
UPDATE - Takes(s): 79.8, Count: 509357, OPS: 6383.5, Avg(us): 80296, Min(us): 10484, Max(us): 1402008, 99th(us): 446000, 99.9th(us): 1318000, 99.99th(us): 1380000
UPDATE - Takes(s): 89.8, Count: 581321, OPS: 6474.1, Avg(us): 79224, Min(us): 10484, Max(us): 1402008, 99th(us): 404000, 99.9th(us): 1315000, 99.99th(us): 1380000
UPDATE - Takes(s): 99.8, Count: 644999, OPS: 6463.4, Avg(us): 79230, Min(us): 9288, Max(us): 1414136, 99th(us): 419000, 99.9th(us): 1333000, 99.99th(us): 1381000
UPDATE - Takes(s): 109.8, Count: 677842, OPS: 6173.8, Avg(us): 83026, Min(us): 9288, Max(us): 1414136, 99th(us): 445000, 99.9th(us): 1330000, 99.99th(us): 1381000
