***************** properties *****************
"requestdistribution"="zipfian"
"operationcount"="5000000"
"scanproportion"="0"
"threadcount"="512"
"updateproportion"="1"
"readproportion"="0"
"dotransactions"="true"
"workload"="core"
"readallfields"="true"
"insertproportion"="0"
"recordcount"="1200000"
"tikv.pd"="10.0.0.9:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 71128, OPS: 7249.3, Avg(us): 71768, Min(us): 23252, Max(us): 537378, 99th(us): 180000, 99.9th(us): 317000, 99.99th(us): 328000
UPDATE - Takes(s): 19.8, Count: 129287, OPS: 6525.8, Avg(us): 79096, Min(us): 18415, Max(us): 1971661, 99th(us): 822000, 99.9th(us): 1134000, 99.99th(us): 1957000
UPDATE - Takes(s): 29.8, Count: 193283, OPS: 6483.4, Avg(us): 77904, Min(us): 12506, Max(us): 1971661, 99th(us): 802000, 99.9th(us): 1232000, 99.99th(us): 1945000
UPDATE - Takes(s): 39.8, Count: 240402, OPS: 6038.4, Avg(us): 85114, Min(us): 12506, Max(us): 1971661, 99th(us): 821000, 99.9th(us): 1230000, 99.99th(us): 1943000
UPDATE - Takes(s): 49.8, Count: 298869, OPS: 6000.0, Avg(us): 85608, Min(us): 12506, Max(us): 2187477, 99th(us): 824000, 99.9th(us): 2165000, 99.99th(us): 2183000
UPDATE - Takes(s): 59.8, Count: 370996, OPS: 6202.7, Avg(us): 82744, Min(us): 12506, Max(us): 2187477, 99th(us): 802000, 99.9th(us): 2158000, 99.99th(us): 2183000
UPDATE - Takes(s): 69.8, Count: 410306, OPS: 5877.3, Avg(us): 87279, Min(us): 10644, Max(us): 2630949, 99th(us): 839000, 99.9th(us): 2166000, 99.99th(us): 2595000
UPDATE - Takes(s): 79.8, Count: 473055, OPS: 5927.1, Avg(us): 86538, Min(us): 10644, Max(us): 2630949, 99th(us): 827000, 99.9th(us): 2163000, 99.99th(us): 2595000
UPDATE - Takes(s): 89.8, Count: 532832, OPS: 5932.8, Avg(us): 86449, Min(us): 10644, Max(us): 2630949, 99th(us): 834000, 99.9th(us): 2180000, 99.99th(us): 2594000
UPDATE - Takes(s): 99.8, Count: 600518, OPS: 6016.5, Avg(us): 85160, Min(us): 9504, Max(us): 2630949, 99th(us): 803000, 99.9th(us): 2178000, 99.99th(us): 2593000
UPDATE - Takes(s): 109.8, Count: 654999, OPS: 5964.7, Avg(us): 85953, Min(us): 9504, Max(us): 2630949, 99th(us): 836000, 99.9th(us): 2177000, 99.99th(us): 2584000
