***************** properties *****************
"dotransactions"="true"
"recordcount"="1200000"
"readproportion"="0"
"scanproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"workload"="core"
"readallfields"="true"
"updateproportion"="1"
"insertproportion"="0"
"requestdistribution"="zipfian"
"threadcount"="512"
"operationcount"="5000000"
**********************************************
UPDATE - Takes(s): 9.7, Count: 73924, OPS: 7583.8, Avg(us): 66611, Min(us): 20187, Max(us): 524078, 99th(us): 258000, 99.9th(us): 355000, 99.99th(us): 455000
UPDATE - Takes(s): 19.7, Count: 145385, OPS: 7362.2, Avg(us): 70292, Min(us): 20187, Max(us): 1020354, 99th(us): 336000, 99.9th(us): 996000, 99.99th(us): 1019000
UPDATE - Takes(s): 29.7, Count: 199111, OPS: 6693.3, Avg(us): 76840, Min(us): 17704, Max(us): 1347955, 99th(us): 701000, 99.9th(us): 1325000, 99.99th(us): 1341000
UPDATE - Takes(s): 39.7, Count: 265265, OPS: 6673.8, Avg(us): 77112, Min(us): 13224, Max(us): 1347955, 99th(us): 369000, 99.9th(us): 1319000, 99.99th(us): 1335000
UPDATE - Takes(s): 49.7, Count: 309751, OPS: 6226.4, Avg(us): 81382, Min(us): 13224, Max(us): 1471074, 99th(us): 401000, 99.9th(us): 1328000, 99.99th(us): 1382000
UPDATE - Takes(s): 59.7, Count: 392647, OPS: 6571.8, Avg(us): 78165, Min(us): 13224, Max(us): 1471074, 99th(us): 341000, 99.9th(us): 1323000, 99.99th(us): 1380000
UPDATE - Takes(s): 69.7, Count: 459368, OPS: 6586.2, Avg(us): 77965, Min(us): 13224, Max(us): 1471074, 99th(us): 413000, 99.9th(us): 1319000, 99.99th(us): 1380000
UPDATE - Takes(s): 79.8, Count: 532614, OPS: 6678.4, Avg(us): 76854, Min(us): 13224, Max(us): 1471074, 99th(us): 354000, 99.9th(us): 1319000, 99.99th(us): 1378000
UPDATE - Takes(s): 89.7, Count: 608305, OPS: 6778.0, Avg(us): 75703, Min(us): 13224, Max(us): 1471074, 99th(us): 338000, 99.9th(us): 1318000, 99.99th(us): 1379000
UPDATE - Takes(s): 99.7, Count: 658741, OPS: 6604.1, Avg(us): 77433, Min(us): 13224, Max(us): 1471074, 99th(us): 736000, 99.9th(us): 1319000, 99.99th(us): 1379000
UPDATE - Takes(s): 109.7, Count: 699621, OPS: 6374.8, Avg(us): 80461, Min(us): 13224, Max(us): 1471074, 99th(us): 711000, 99.9th(us): 1318000, 99.99th(us): 1379000
UPDATE - Takes(s): 119.7, Count: 740363, OPS: 6182.7, Avg(us): 82910, Min(us): 13224, Max(us): 1471074, 99th(us): 796000, 99.9th(us): 1317000, 99.99th(us): 1378000
UPDATE - Takes(s): 129.7, Count: 797824, OPS: 6149.0, Avg(us): 83387, Min(us): 13224, Max(us): 1471074, 99th(us): 791000, 99.9th(us): 1317000, 99.99th(us): 1378000
UPDATE - Takes(s): 139.7, Count: 861910, OPS: 6167.6, Avg(us): 83122, Min(us): 13224, Max(us): 1471074, 99th(us): 796000, 99.9th(us): 1316000, 99.99th(us): 1378000
