***************** properties *****************
"readproportion"="0"
"requestdistribution"="zipfian"
"scanproportion"="0"
"updateproportion"="1"
"threadcount"="512"
"operationcount"="5000000"
"recordcount"="1200000"
"insertproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"dotransactions"="true"
"readallfields"="true"
"workload"="core"
**********************************************
UPDATE - Takes(s): 9.8, Count: 70738, OPS: 7254.0, Avg(us): 69726, Min(us): 11743, Max(us): 525147, 99th(us): 258000, 99.9th(us): 377000, 99.99th(us): 405000
UPDATE - Takes(s): 19.8, Count: 130166, OPS: 6590.2, Avg(us): 78487, Min(us): 11743, Max(us): 1063967, 99th(us): 767000, 99.9th(us): 1016000, 99.99th(us): 1053000
UPDATE - Takes(s): 29.8, Count: 191815, OPS: 6447.3, Avg(us): 79970, Min(us): 11743, Max(us): 1304713, 99th(us): 802000, 99.9th(us): 1292000, 99.99th(us): 1302000
UPDATE - Takes(s): 39.8, Count: 237802, OPS: 5982.2, Avg(us): 86013, Min(us): 11743, Max(us): 1304713, 99th(us): 781000, 99.9th(us): 1289000, 99.99th(us): 1302000
UPDATE - Takes(s): 49.8, Count: 297842, OPS: 5986.6, Avg(us): 85881, Min(us): 11743, Max(us): 1400876, 99th(us): 805000, 99.9th(us): 1334000, 99.99th(us): 1380000
UPDATE - Takes(s): 59.8, Count: 368883, OPS: 6173.6, Avg(us): 83204, Min(us): 11743, Max(us): 1400876, 99th(us): 799000, 99.9th(us): 1327000, 99.99th(us): 1379000
UPDATE - Takes(s): 69.8, Count: 411128, OPS: 5894.1, Avg(us): 87063, Min(us): 11743, Max(us): 1400876, 99th(us): 817000, 99.9th(us): 1329000, 99.99th(us): 1373000
UPDATE - Takes(s): 79.8, Count: 476257, OPS: 5971.7, Avg(us): 85952, Min(us): 11743, Max(us): 1400876, 99th(us): 807000, 99.9th(us): 1327000, 99.99th(us): 1374000
UPDATE - Takes(s): 89.8, Count: 538630, OPS: 6001.3, Avg(us): 85502, Min(us): 11743, Max(us): 1400876, 99th(us): 820000, 99.9th(us): 1328000, 99.99th(us): 1374000
UPDATE - Takes(s): 99.8, Count: 609402, OPS: 6109.2, Avg(us): 83970, Min(us): 11743, Max(us): 1400876, 99th(us): 810000, 99.9th(us): 1327000, 99.99th(us): 1374000
UPDATE - Takes(s): 109.8, Count: 659243, OPS: 6006.6, Avg(us): 85282, Min(us): 11743, Max(us): 1400876, 99th(us): 843000, 99.9th(us): 1326000, 99.99th(us): 1373000
UPDATE - Takes(s): 119.8, Count: 703058, OPS: 5870.8, Avg(us): 87350, Min(us): 11743, Max(us): 1400876, 99th(us): 830000, 99.9th(us): 1325000, 99.99th(us): 1373000
UPDATE - Takes(s): 129.8, Count: 765565, OPS: 5900.2, Avg(us): 86907, Min(us): 11743, Max(us): 1400876, 99th(us): 840000, 99.9th(us): 1324000, 99.99th(us): 1370000
