***************** properties *****************
"requestdistribution"="zipfian"
"scanproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"readallfields"="true"
"operationcount"="5000000"
"insertproportion"="0"
"workload"="core"
"threadcount"="512"
"recordcount"="1200000"
"updateproportion"="1"
"readproportion"="0"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 54351, OPS: 5561.9, Avg(us): 93625, Min(us): 25762, Max(us): 358645, 99th(us): 225000, 99.9th(us): 348000, 99.99th(us): 358000
UPDATE - Takes(s): 19.8, Count: 106350, OPS: 5378.8, Avg(us): 96019, Min(us): 20280, Max(us): 1185523, 99th(us): 350000, 99.9th(us): 1101000, 99.99th(us): 1156000
UPDATE - Takes(s): 29.8, Count: 168203, OPS: 5649.7, Avg(us): 91123, Min(us): 16605, Max(us): 1185523, 99th(us): 257000, 99.9th(us): 1075000, 99.99th(us): 1152000
UPDATE - Takes(s): 39.8, Count: 205031, OPS: 5155.1, Avg(us): 99467, Min(us): 16605, Max(us): 1185523, 99th(us): 420000, 99.9th(us): 1056000, 99.99th(us): 1150000
UPDATE - Takes(s): 49.8, Count: 264692, OPS: 5318.1, Avg(us): 96586, Min(us): 16605, Max(us): 1185523, 99th(us): 354000, 99.9th(us): 1038000, 99.99th(us): 1139000
UPDATE - Takes(s): 59.8, Count: 314869, OPS: 5267.8, Avg(us): 97471, Min(us): 16605, Max(us): 1185523, 99th(us): 448000, 99.9th(us): 1026000, 99.99th(us): 1132000
UPDATE - Takes(s): 69.8, Count: 376109, OPS: 5390.5, Avg(us): 95197, Min(us): 16605, Max(us): 1185523, 99th(us): 387000, 99.9th(us): 1003000, 99.99th(us): 1127000
UPDATE - Takes(s): 79.8, Count: 428023, OPS: 5365.6, Avg(us): 95628, Min(us): 16605, Max(us): 1185523, 99th(us): 459000, 99.9th(us): 973000, 99.99th(us): 1125000
UPDATE - Takes(s): 89.8, Count: 488111, OPS: 5437.2, Avg(us): 94114, Min(us): 16605, Max(us): 1185523, 99th(us): 423000, 99.9th(us): 954000, 99.99th(us): 1119000
UPDATE - Takes(s): 99.8, Count: 541585, OPS: 5428.2, Avg(us): 94315, Min(us): 16605, Max(us): 1185523, 99th(us): 444000, 99.9th(us): 912000, 99.99th(us): 1114000
UPDATE - Takes(s): 109.8, Count: 595687, OPS: 5426.5, Avg(us): 94425, Min(us): 16605, Max(us): 1185523, 99th(us): 444000, 99.9th(us): 894000, 99.99th(us): 1114000
UPDATE - Takes(s): 119.8, Count: 654873, OPS: 5467.6, Avg(us): 93769, Min(us): 16605, Max(us): 1185523, 99th(us): 412000, 99.9th(us): 883000, 99.99th(us): 1112000
UPDATE - Takes(s): 129.8, Count: 685300, OPS: 5280.8, Avg(us): 97055, Min(us): 16605, Max(us): 1185523, 99th(us): 423000, 99.9th(us): 884000, 99.99th(us): 1110000
UPDATE - Takes(s): 139.8, Count: 739652, OPS: 5291.8, Avg(us): 96867, Min(us): 16605, Max(us): 1185523, 99th(us): 396000, 99.9th(us): 880000, 99.99th(us): 1110000
