***************** properties *****************
"threadcount"="512"
"readproportion"="0"
"recordcount"="1200000"
"readallfields"="true"
"tikv.pd"="10.0.0.9:2379"
"updateproportion"="1"
"scanproportion"="0"
"dotransactions"="true"
"workload"="core"
"insertproportion"="0"
"operationcount"="5000000"
"requestdistribution"="zipfian"
**********************************************
UPDATE - Takes(s): 9.7, Count: 70443, OPS: 7238.9, Avg(us): 71255, Min(us): 23396, Max(us): 367379, 99th(us): 143000, 99.9th(us): 332000, 99.99th(us): 353000
UPDATE - Takes(s): 19.7, Count: 141299, OPS: 7161.4, Avg(us): 72278, Min(us): 14602, Max(us): 1001379, 99th(us): 256000, 99.9th(us): 989000, 99.99th(us): 999000
UPDATE - Takes(s): 29.7, Count: 198964, OPS: 6692.2, Avg(us): 77076, Min(us): 14602, Max(us): 1114017, 99th(us): 318000, 99.9th(us): 995000, 99.99th(us): 1094000
UPDATE - Takes(s): 39.7, Count: 266223, OPS: 6700.6, Avg(us): 76832, Min(us): 14602, Max(us): 1114017, 99th(us): 285000, 99.9th(us): 988000, 99.99th(us): 1091000
UPDATE - Takes(s): 49.7, Count: 332821, OPS: 6692.4, Avg(us): 76824, Min(us): 14602, Max(us): 1114017, 99th(us): 300000, 99.9th(us): 982000, 99.99th(us): 1090000
UPDATE - Takes(s): 59.7, Count: 407093, OPS: 6815.4, Avg(us): 75387, Min(us): 14602, Max(us): 1114017, 99th(us): 288000, 99.9th(us): 962000, 99.99th(us): 1084000
UPDATE - Takes(s): 69.7, Count: 479709, OPS: 6879.4, Avg(us): 74650, Min(us): 14602, Max(us): 1114017, 99th(us): 284000, 99.9th(us): 959000, 99.99th(us): 1082000
UPDATE - Takes(s): 79.7, Count: 543597, OPS: 6817.9, Avg(us): 75286, Min(us): 14602, Max(us): 1114017, 99th(us): 327000, 99.9th(us): 946000, 99.99th(us): 1077000
UPDATE - Takes(s): 89.7, Count: 611406, OPS: 6813.8, Avg(us): 75317, Min(us): 14602, Max(us): 1114017, 99th(us): 319000, 99.9th(us): 925000, 99.99th(us): 1073000
UPDATE - Takes(s): 99.7, Count: 665364, OPS: 6671.6, Avg(us): 76841, Min(us): 14602, Max(us): 1114017, 99th(us): 325000, 99.9th(us): 908000, 99.99th(us): 1067000
UPDATE - Takes(s): 109.7, Count: 712953, OPS: 6497.3, Avg(us): 78951, Min(us): 14602, Max(us): 1114017, 99th(us): 314000, 99.9th(us): 902000, 99.99th(us): 1066000
UPDATE - Takes(s): 119.7, Count: 780875, OPS: 6521.6, Avg(us): 78639, Min(us): 14602, Max(us): 1114017, 99th(us): 310000, 99.9th(us): 908000, 99.99th(us): 1048000
UPDATE - Takes(s): 129.7, Count: 848744, OPS: 6541.8, Avg(us): 78387, Min(us): 14602, Max(us): 1114017, 99th(us): 317000, 99.9th(us): 900000, 99.99th(us): 1045000
UPDATE - Takes(s): 139.7, Count: 916818, OPS: 6561.3, Avg(us): 78132, Min(us): 14602, Max(us): 1114017, 99th(us): 314000, 99.9th(us): 896000, 99.99th(us): 1045000
UPDATE - Takes(s): 149.7, Count: 990703, OPS: 6616.6, Avg(us): 77485, Min(us): 14602, Max(us): 1114017, 99th(us): 296000, 99.9th(us): 894000, 99.99th(us): 1044000
UPDATE - Takes(s): 159.7, Count: 1052392, OPS: 6588.5, Avg(us): 77809, Min(us): 14602, Max(us): 1114017, 99th(us): 305000, 99.9th(us): 897000, 99.99th(us): 1041000
UPDATE - Takes(s): 169.7, Count: 1122535, OPS: 6613.6, Avg(us): 77348, Min(us): 14602, Max(us): 1114017, 99th(us): 292000, 99.9th(us): 895000, 99.99th(us): 1038000
UPDATE - Takes(s): 179.7, Count: 1149448, OPS: 6395.3, Avg(us): 80104, Min(us): 14602, Max(us): 1114017, 99th(us): 313000, 99.9th(us): 893000, 99.99th(us): 997000
UPDATE - Takes(s): 189.7, Count: 1221370, OPS: 6437.4, Avg(us): 79611, Min(us): 14602, Max(us): 1114017, 99th(us): 304000, 99.9th(us): 892000, 99.99th(us): 999000
UPDATE - Takes(s): 199.7, Count: 1282938, OPS: 6423.3, Avg(us): 79790, Min(us): 14281, Max(us): 1114017, 99th(us): 316000, 99.9th(us): 892000, 99.99th(us): 999000
UPDATE - Takes(s): 209.7, Count: 1348283, OPS: 6428.6, Avg(us): 79719, Min(us): 14281, Max(us): 1114017, 99th(us): 324000, 99.9th(us): 891000, 99.99th(us): 998000
UPDATE - Takes(s): 219.7, Count: 1420309, OPS: 6463.9, Avg(us): 79276, Min(us): 14281, Max(us): 1114017, 99th(us): 319000, 99.9th(us): 891000, 99.99th(us): 998000
UPDATE - Takes(s): 229.7, Count: 1483862, OPS: 6459.1, Avg(us): 79332, Min(us): 14281, Max(us): 1114017, 99th(us): 354000, 99.9th(us): 889000, 99.99th(us): 997000
