***************** properties *****************
"requestdistribution"="zipfian"
"readallfields"="true"
"recordcount"="1200000"
"workload"="core"
"readproportion"="0"
"operationcount"="5000000"
"tikv.pd"="10.0.0.9:2379"
"insertproportion"="0"
"scanproportion"="0"
"dotransactions"="true"
"threadcount"="512"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.8, Count: 62019, OPS: 6354.5, Avg(us): 82245, Min(us): 24446, Max(us): 409753, 99th(us): 187000, 99.9th(us): 347000, 99.99th(us): 406000
UPDATE - Takes(s): 19.8, Count: 120488, OPS: 6097.6, Avg(us): 84817, Min(us): 19668, Max(us): 1046353, 99th(us): 321000, 99.9th(us): 1002000, 99.99th(us): 1037000
UPDATE - Takes(s): 29.8, Count: 187323, OPS: 6294.5, Avg(us): 81856, Min(us): 19668, Max(us): 1046353, 99th(us): 273000, 99.9th(us): 999000, 99.99th(us): 1037000
UPDATE - Takes(s): 39.8, Count: 230498, OPS: 5797.2, Avg(us): 88730, Min(us): 18648, Max(us): 1151728, 99th(us): 311000, 99.9th(us): 1115000, 99.99th(us): 1124000
UPDATE - Takes(s): 49.8, Count: 298212, OPS: 5993.0, Avg(us): 85758, Min(us): 18564, Max(us): 1151728, 99th(us): 282000, 99.9th(us): 1036000, 99.99th(us): 1124000
UPDATE - Takes(s): 59.8, Count: 361901, OPS: 6055.9, Avg(us): 84801, Min(us): 18564, Max(us): 1151728, 99th(us): 285000, 99.9th(us): 1015000, 99.99th(us): 1123000
UPDATE - Takes(s): 69.8, Count: 422445, OPS: 6055.7, Avg(us): 84772, Min(us): 18564, Max(us): 1151728, 99th(us): 327000, 99.9th(us): 1001000, 99.99th(us): 1123000
UPDATE - Takes(s): 79.8, Count: 484926, OPS: 6079.8, Avg(us): 84413, Min(us): 18375, Max(us): 1151728, 99th(us): 321000, 99.9th(us): 998000, 99.99th(us): 1122000
UPDATE - Takes(s): 89.8, Count: 542105, OPS: 6039.5, Avg(us): 84347, Min(us): 18375, Max(us): 1151728, 99th(us): 352000, 99.9th(us): 986000, 99.99th(us): 1122000
UPDATE - Takes(s): 99.8, Count: 607778, OPS: 6092.4, Avg(us): 84193, Min(us): 18375, Max(us): 1151728, 99th(us): 338000, 99.9th(us): 979000, 99.99th(us): 1121000
UPDATE - Takes(s): 109.8, Count: 664105, OPS: 6050.5, Avg(us): 84693, Min(us): 18375, Max(us): 1151728, 99th(us): 337000, 99.9th(us): 969000, 99.99th(us): 1121000
